Start Time,Frequency,Node Name,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575690061087,2500.01,169.254.199.205,d6:bf:32:14:c2:10,90.00B,90.00B,5.179214477539062e-06,4.717588424682617e-06,-4.616260528564452e-07
1575690061041,2500.004,169.254.92.29,fe:04:37:0e:fd:a3,90.00B,180.00B,4.707622528076172e-06,5.785608291625977e-06,1.0779857635498047e-06
1575690061101,2500.002,169.254.102.85,9a:30:42:1f:be:49,90.00B,90.00B,4.463005065917969e-06,4.356813430786133e-06,-1.0619163513183578e-07
1575690061094,2500.01,169.254.217.109,1a:bc:ff:1d:98:53,90.00B,90.00B,4.608726501464844e-06,4.310894012451172e-06,-2.978324890136723e-07
1575690061061,2500.01,169.254.156.21,86:b9:7a:5e:60:af,90.00B,90.00B,4.525327682495117e-06,4.272603988647461e-06,-2.5272369384765595e-07
1575690061104,2500.008,169.254.90.29,52:4a:f9:e2:11:b5,90.00B,90.00B,4.129552841186523e-06,4.131174087524414e-06,1.6212463378910817e-09
1575690061065,2500.008,169.254.73.221,8a:47:b2:b6:f1:83,90.00B,176.00B,4.600381851196289e-06,4.262399673461914e-06,-3.3798217773437505e-07
1575690061152,2500.002,169.254.22.93,42:a4:c8:cd:8c:8b,90.00B,90.00B,4.202079772949219e-06,4.056549072265625e-06,-1.4553070068359424e-07
1575690061086,2500.002,169.254.249.197,5e:c5:a2:85:09:b7,90.00B,90.00B,4.407262802124023e-06,4.415702819824219e-06,8.440017700195971e-09
1575690061102,2500.002,169.254.249.221,de:94:86:9b:77:78,90.00B,90.00B,4.305887222290039e-06,4.157257080078125e-06,-1.4863014221191326e-07
1575690061053,2500.01,169.254.199.197,56:d6:0f:b1:eb:8a,90.00B,176.00B,5.164337158203125e-06,4.669475555419922e-06,-4.948616027832026e-07
1575690061070,2500.002,169.254.102.53,3e:a3:23:e5:60:45,180.00B,90.00B,4.586982727050781e-06,4.513406753540039e-06,-7.357597351074266e-08
1575690061151,2500.002,169.254.155.133,56:b9:af:c9:0f:d5,90.00B,90.00B,4.3663501739501954e-06,4.4144630432128904e-06,4.811286926269499e-08
