In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685934163,42:2b:47:1d:bc:b2,90.00B,90.00B,23.90130066871643,17.89472007751465
Both,1575685934196,ea:b8:79:e7:5e:a9,90.00B,90.00B,23.92130732536316,17.914758443832397
Both,1575685934209,26:62:c8:f1:46:a3,90.00B,90.00B,23.90816354751587,17.901538610458374
Both,1575685934202,2e:dd:0d:40:47:21,90.00B,90.00B,23.92204213142395,17.915471076965332
Both,1575685934206,0e:19:ac:d5:c8:42,90.00B,266.00B,23.93229866027832,17.925671815872192
Both,1575685934206,7e:69:b2:4f:90:e1,90.00B,176.00B,23.93574810028076,17.929138660430908
Both,1575685934167,ee:5d:02:65:19:15,90.00B,90.00B,23.977540731430054,17.970961332321167
Both,1575685934168,aa:b6:60:9b:02:03,176.00B,90.00B,23.980927228927612,17.974341869354248
Both,1575685934172,2a:b1:41:89:1a:55,90.00B,90.00B,23.987627267837524,17.98083806037903
Both,1575685934207,e2:ac:3b:b0:6a:54,90.00B,90.00B,23.95676279067993,17.950191259384155
Both,1575685934167,a6:11:6b:25:e7:48,90.00B,90.00B,24.011704444885254,18.00503897666931
Both,1575685934166,3e:46:95:c9:5f:2f,90.00B,90.00B,24.01688861846924,18.01029634475708
Both,1575685934167,22:a1:50:94:e3:e4,90.00B,90.00B,24.04917860031128,18.04262948036194
Both,1575685934209,3a:00:9d:eb:b2:d9,90.00B,90.00B,24.009560108184814,18.002946853637695
Both,1575685934169,56:0a:a7:28:a7:11,90.00B,90.00B,24.109174728393555,18.102638959884644
Both,1575685934196,3a:6a:67:b1:4b:cd,90.00B,90.00B,24.083468675613403,18.07691502571106
Both,1575685934167,9a:d9:4c:38:8c:86,90.00B,90.00B,24.11417293548584,18.10761594772339
Both,1575685934203,86:dd:f0:41:cc:58,90.00B,90.00B,24.07909631729126,18.07252860069275
Both,1575685934161,72:19:b6:15:18:93,90.00B,90.00B,24.131044387817383,18.124463319778442
Both,1575685935284,02:da:23:7f:81:5b,90.00B,90.00B,23.011303186416626,17.00473952293396
Both,1575685934161,06:fe:de:3a:20:fe,90.00B,176.00B,24.139198541641235,18.132614612579346
Both,1575685934209,52:09:ba:9c:d0:02,90.00B,90.00B,24.092997074127197,18.086106777191162
Both,1575685934161,86:e6:cb:b2:41:24,90.00B,90.00B,24.146656036376953,18.140084505081177
Both,1575685934207,62:c1:15:b1:5d:8c,90.00B,90.00B,24.105846881866455,18.09908413887024
Both,1575685934206,de:8f:37:97:fe:46,90.00B,176.00B,24.124674797058105,18.11809229850769
Both,1575685934167,e2:fa:be:86:c6:5d,90.00B,90.00B,24.1647686958313,18.158194541931152
Both,1575685934164,02:19:89:e2:ae:bf,90.00B,90.00B,24.169447898864746,18.162877798080444
Both,1575685934176,5e:f2:1a:d0:e8:ee,90.00B,90.00B,24.167613744735718,18.160812854766846
Both,1575685934214,32:67:d6:41:82:09,176.00B,90.00B,24.14566946029663,18.139106273651123
Both,1575685934203,6e:1a:ea:7b:fb:d7,176.00B,90.00B,24.1657235622406,18.159148931503296
Both,1575685934211,0a:af:0d:0a:6c:8e,90.00B,90.00B,24.165366411209106,18.158751249313354
Both,1575685934210,fa:15:88:6b:e3:e5,90.00B,90.00B,24.173469066619873,18.166922092437744
Both,1575685935285,c2:2c:75:e9:ce:f6,90.00B,90.00B,23.100587368011475,17.09402823448181
Both,1575685934211,86:a9:2f:7c:c0:23,90.00B,90.00B,24.177369832992554,18.170783042907715
Both,1575685934214,36:23:ad:4b:fd:83,90.00B,90.00B,24.177445888519287,18.17090916633606
Both,1575685935292,86:1d:40:15:8b:f9,90.00B,90.00B,23.139461755752563,17.13286280632019
