In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685933385,e2:17:32:4a:4f:31,90.00B,90.00B,23.733901500701904,17.72735333442688
Both,1575685933429,4e:3d:f0:4c:b0:b0,90.00B,90.00B,23.696929931640625,17.69035792350769
Both,1575685933381,92:29:1d:c7:62:61,180.00B,90.00B,23.74855327606201,17.741878509521484
Both,1575685933349,da:08:87:27:10:37,90.00B,90.00B,23.786128282546997,17.782127141952515
Both,1575685933364,fa:87:f9:8b:cb:f0,90.00B,176.00B,23.77269458770752,17.76612377166748
Both,1575685933380,2e:10:5c:bb:8c:10,90.00B,90.00B,23.764970541000366,17.75841212272644
Both,1575685933342,a6:c1:79:d7:ed:2c,90.00B,90.00B,23.79815173149109,17.79076075553894
Both,1575685933375,f2:21:ed:9e:35:4e,90.00B,90.00B,23.776384353637695,17.774982213974
Both,1575685933357,c6:84:c3:62:03:d1,90.00B,90.00B,23.797460079193115,17.790749073028564
Both,1575685933378,ca:f1:ad:d8:25:91,90.00B,176.00B,23.779659509658813,17.773091316223145
Both,1575685933377,8a:65:23:0e:a7:51,90.00B,90.00B,23.787366151809692,17.78082537651062
Both,1575685933390,06:13:d6:71:c5:a4,90.00B,90.00B,23.78339171409607,17.776796340942383
Both,1575685933340,86:df:58:00:84:ba,90.00B,90.00B,23.836880683898926,17.83031177520752
Both,1575685933351,92:3a:ed:0d:d3:82,90.00B,90.00B,23.832400798797607,17.825849771499634
Both,1575685933378,3a:76:56:7f:94:a8,90.00B,90.00B,23.820646286010742,17.814035892486572
Both,1575685933340,9e:0a:0a:54:40:5d,90.00B,90.00B,23.867441654205322,17.860887050628662
Both,1575685933369,5e:ae:1f:5f:6a:d1,90.00B,90.00B,23.85415506362915,17.847591638565063
Both,1575685933360,52:1a:dc:3d:27:7c,90.00B,176.00B,23.86970615386963,17.863137006759644
Both,1575685933336,d2:bc:c2:05:3d:e6,90.00B,90.00B,23.894908905029297,17.89000153541565
Both,1575685933349,a6:59:c3:56:73:bf,90.00B,90.00B,23.893989324569702,17.88740849494934
Both,1575685933387,ce:73:81:29:fd:89,90.00B,90.00B,23.85465359687805,17.84810471534729
Both,1575685933364,82:ae:0f:bd:ba:20,90.00B,90.00B,23.875925302505493,17.869351625442505
Both,1575685933371,12:14:a3:8a:ec:6c,90.00B,90.00B,23.87322497367859,17.86664080619812
Both,1575685933349,36:9c:b1:c7:89:3e,90.00B,90.00B,23.89978837966919,17.8930766582489
Both,1575685933358,62:dc:53:8e:4b:63,90.00B,90.00B,23.89854097366333,17.89198589324951
Both,1575685933359,c6:45:18:1c:a5:73,180.00B,90.00B,23.90157914161682,17.89502263069153
Both,1575685933392,32:09:41:64:ee:d6,90.00B,90.00B,23.86964988708496,17.86299967765808
Both,1575685933351,f2:c1:74:d8:f9:ed,90.00B,90.00B,23.904040813446045,17.8974187374115
Both,1575685933364,e6:4c:c9:e9:8e:83,90.00B,90.00B,23.901521921157837,17.894845485687256
