Logs,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/05-21-13-57/log,5191af20-9ac5-4b82-be74-5556203856bb,A2:74:B1:E2:35:D1,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,351,fd7d5f16-ffdf-4564-9612-1712fd8b9f38,0,INVALID_STIME,-,-
out/05-21-13-57/log,dc072b9f-f389-4aaa-aebd-47164f98e2b8,DA:4F:84:CB:50:DF,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,211,d1ee246a-30fa-4c8f-9966-aa41712afb41,0,INVALID_STIME,-,-
out/05-21-13-57/log,7764d595-cb07-479c-8f0e-eed67a82af75,62:70:62:E4:07:72,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,261,d1dfc5f6-d4cc-4ba9-ad9c-f6a1c1fd2c90,0,INVALID_STIME,-,-
out/05-21-13-57/log,55791c2e-258c-4e38-932b-ddd0e34cd531,2A:20:33:E6:98:A7,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,331,5a5850e0-b17c-4aa3-bcaa-0fead8558530,0,INVALID_STIME,-,-
out/05-21-13-57/log,eac5ce25-d717-42f3-9000-ec106b1ba708,6A:CE:58:DA:86:09,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,101,585253ee-1446-44fe-97ff-9dd5d3b6d915,0,INVALID_STIME,-,-
out/05-21-13-57/log,ab56eb95-6676-4c24-803f-f8ec5ffd8554,7E:00:6A:67:2C:C7,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,311,af0136e6-70e3-45db-a91e-01f0a8201c8c,0,INVALID_STIME,-,-
out/05-21-13-57/log,010c4d1a-6b60-4335-bab4-9c2078d0a69f,6A:03:AA:1D:63:7A,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,121,1e9bb830-80a5-4999-9f2f-23a44850edda,0,INVALID_STIME,-,-
out/05-21-13-57/log,aae71730-dc4c-416b-86f1-e88a68f1c6e8,32:CD:E0:7E:CD:C4,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,71,d0aa3de8-aaba-4064-968e-8d99c1350308,0,INVALID_STIME,-,-
out/05-21-13-57/log,c95a45dd-6947-4a0a-a8dc-bb84f2dded1d,72:C9:EB:C8:D8:BD,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,301,db5d390c-c40c-4e7b-89c0-588c920b8d81,0,INVALID_STIME,-,-
out/05-21-13-57/log,dd29f06d-a2d8-40bc-8b7b-7a1008819db3,6A:73:A4:C5:8B:34,131,1,2020-05-21 20:56:57,2020-05-21 20:57:12,131,8cffb50d-38bb-4c36-b556-65b16ec970ca,1,,out/05-21-13-57/base_samples131,out/05-21-13-57/bit_samples131
out/05-21-13-57/log,777dffcb-4fdf-4a07-8309-c4188c0d54f0,46:05:54:38:A1:BA,391,1,2020-05-21 20:56:57,2020-05-21 20:57:12,391,627993ec-2d93-4e0c-adb1-7b5ed8e1bc19,1,,out/05-21-13-57/base_samples391,out/05-21-13-57/bit_samples391
out/05-21-13-57/log,5f24a2c2-9b77-4d51-9556-7293e966fffc,92:A2:42:CD:11:F5,481,1,2020-05-21 20:56:57,2020-05-21 20:57:12,481,43072f0d-73c2-4fe2-9d8a-49f64bf1595f,1,,out/05-21-13-57/base_samples481,out/05-21-13-57/bit_samples481
out/05-21-13-57/log,4bf2b9fe-18c4-4fdf-bcb0-3f088a2e45a2,EA:C1:41:AA:43:9A,51,1,2020-05-21 20:56:57,2020-05-21 20:57:12,51,c2492e7f-b362-45c9-b3dc-b4d94471e41e,1,,out/05-21-13-57/base_samples51,out/05-21-13-57/bit_samples51
out/05-21-13-57/log,f5817159-9f27-4928-b21e-7193dbbcb790,72:48:C0:5E:4B:59,181,1,2020-05-21 20:56:57,2020-05-21 20:57:12,181,c2ac24cb-6b33-445a-8589-1d8e9068cfbf,1,,out/05-21-13-57/base_samples181,out/05-21-13-57/bit_samples181
