MAC Addr,IP,Duration
75:20:9c:df:bc:10,localhost,43.21735620498657
0f:55:75:0d:93:e0,localhost,42.598737955093384
6b:98:83:ec:6a:01,localhost,43.58975315093994
59:f9:e5:48:56:c9,localhost,43.85958933830261
d7:ff:e7:81:5e:2b,localhost,42.30656862258911
4d:93:4b:78:4d:d7,localhost,42.630839109420776
1b:2e:f1:89:6d:27,localhost,43.168484926223755
fb:2e:60:de:62:22,localhost,43.66454458236694
55:7a:2d:17:75:b9,localhost,41.80797576904297
df:49:b4:1f:94:49,localhost,40.71191215515137
59:fb:c7:8f:c7:e5,localhost,41.841760873794556
53:e4:7f:0a:fa:33,localhost,40.625927686691284
ef:0e:5a:22:4e:ee,localhost,44.066888093948364
fb:3a:ca:9c:8d:65,localhost,44.15176701545715
f7:5a:44:5c:e0:6a,localhost,43.7619788646698
59:b5:67:09:d9:98,localhost,43.780086278915405
ed:d0:3a:51:50:89,localhost,43.6632137298584
d3:db:9c:30:18:3b,localhost,43.11497259140015
75:b8:d1:a4:07:dc,localhost,43.2877562046051
e1:eb:9a:07:84:38,localhost,43.89547395706177
5b:87:26:28:e4:e9,localhost,44.74069881439209
3d:94:36:0e:38:71,localhost,43.11594343185425
b7:27:e1:e8:ba:ea,localhost,43.509880781173706
dd:de:80:c3:ee:ff,localhost,42.686702489852905
19:54:b9:97:f6:89,localhost,42.79890441894531
db:fb:98:a7:21:03,localhost,42.60271215438843
09:69:8a:41:66:c4,localhost,44.268245220184326
db:da:16:f7:a6:f6,localhost,43.362447023391724
43:bb:57:05:ea:02,localhost,45.76078987121582
33:6a:e5:f7:8d:a7,localhost,44.82777285575867
cd:73:fb:37:2a:3f,localhost,44.614078998565674
c5:44:4a:d3:74:a1,localhost,47.775304079055786
8b:cd:0f:8d:39:69,localhost,45.1103630065918
35:ee:69:51:6f:7d,localhost,46.385443687438965
7f:92:3f:e6:c5:93,localhost,43.62206530570984
e7:ee:62:6b:62:7b,localhost,42.56941056251526
df:0d:a6:30:f8:57,localhost,46.11465382575989
15:48:42:5c:4d:0f,localhost,42.083744764328
55:0d:44:e2:48:0f,localhost,49.17044949531555
f9:c8:0a:6c:7d:3b,localhost,50.75824236869812
5d:ea:35:f4:59:3f,localhost,48.631852865219116
89:63:d9:15:7f:f2,localhost,47.81429982185364
53:ad:96:7a:fc:f0,localhost,50.9622688293457
83:68:98:a7:c6:f7,localhost,48.34331750869751
9f:d6:d7:f9:d9:18,localhost,49.34980320930481
cf:75:a3:1d:56:58,localhost,46.96450853347778
1f:94:da:20:0d:aa,localhost,51.272709369659424
df:e6:80:cb:f5:ae,localhost,51.37343430519104
ed:7a:29:cf:b8:75,localhost,47.255500078201294
e7:67:ac:c5:50:dc,localhost,47.69912934303284
f3:7e:9f:d0:0f:55,localhost,52.56328535079956
e5:c9:b1:3a:a1:85,localhost,51.744210958480835
17:55:d3:c1:90:78,localhost,51.79194116592407
3b:66:0a:d7:86:d3,localhost,53.24506449699402
ad:fd:70:b7:ed:3c,localhost,49.78020405769348
43:84:a5:ec:84:4e,localhost,54.016770124435425
17:05:0b:10:c0:f4,localhost,54.048885107040405
cf:1e:4f:b0:fa:8c,localhost,52.42650055885315
1f:99:14:7c:21:9e,localhost,55.04220700263977
3b:5f:94:25:87:52,localhost,59.93090796470642
a7:5b:cb:6f:c4:53,localhost,60.23738169670105
9f:07:4c:9c:d6:08,localhost,61.2444064617157
df:fd:9d:85:d1:0e,localhost,51.547484159469604
ef:ce:2c:ad:3d:be,localhost,49.52621579170227
1d:13:b7:d1:e5:20,localhost,53.41948461532593
91:3d:98:ba:95:91,localhost,65.59194731712341
bb:c5:e0:8a:80:0a,localhost,66.05809879302979
17:3f:56:8e:1d:84,localhost,66.63315606117249
27:b4:94:a9:b0:d8,localhost,67.2580258846283
b5:7f:bc:5d:47:bf,localhost,67.1962513923645
b5:87:f1:e9:5c:b9,localhost,67.70582437515259
