start_time,MAC Addr,IP,imax_value,iavg_value,fmax_value,favg_value
1575504856363,c9:f9:8f:a2:b4:05,localhost,0.0014600753784179688,2.0076274871826173e-05,0.0001430511474609375,1.4524221420288085e-05
1575504856564,b3:94:d3:63:2d:da,localhost,0.0002951622009277344,1.603412628173828e-05,0.001251220703125,1.7418146133422852e-05
1575504856440,91:0f:3a:5a:02:68,localhost,0.0024466514587402344,3.142547607421875e-05,0.002766132354736328,2.7810811996459962e-05
1575504856606,05:87:4b:b1:e0:33,localhost,0.0044209957122802734,2.6999473571777344e-05,0.002267122268676758,2.728271484375e-05
1575504855137,b9:aa:f4:18:d6:97,localhost,0.00041365623474121094,1.606583595275879e-05,0.005200386047363281,7.521891593933105e-05
1575504856817,f1:7b:64:28:ce:10,localhost,0.0027036666870117188,3.312993049621582e-05,0.0005156993865966797,1.785111427307129e-05
1575504856860,73:fc:28:ea:3a:46,localhost,0.00451350212097168,3.778982162475586e-05,0.0009713172912597656,1.770925521850586e-05
1575504855198,4d:ce:ba:b3:99:d4,localhost,0.0036683082580566406,2.1694421768188475e-05,0.01126861572265625,0.00012185192108154297
1575504857248,71:ba:92:80:b2:5b,localhost,0.002142190933227539,2.3843526840209962e-05,0.004634857177734375,3.8053274154663086e-05
1575504856835,21:44:94:2e:63:f5,localhost,0.005403041839599609,3.470230102539062e-05,0.0040323734283447266,3.9620876312255857e-05
1575504857516,b3:1c:e8:ce:26:9c,localhost,0.0005865097045898438,2.118682861328125e-05,0.0012753009796142578,1.8796682357788086e-05
1575504857144,eb:c8:d6:39:ee:f1,localhost,0.0036907196044921875,3.8650274276733396e-05,0.0030755996704101562,2.309250831604004e-05
1575504857424,9d:af:92:d1:6a:f7,localhost,0.001699686050415039,2.6448249816894532e-05,0.0007810592651367188,1.8843650817871094e-05
1575504855230,a3:5b:91:55:d3:cd,localhost,0.0017240047454833984,2.932906150817871e-05,0.03247690200805664,0.0001359415054321289
1575504855764,19:44:16:11:04:8f,localhost,0.008820295333862305,0.0001140739917755127,0.0037910938262939453,2.635669708251953e-05
1575504857429,93:9c:06:93:8f:d4,localhost,0.005640745162963867,2.875947952270508e-05,0.0012750625610351562,2.666640281677246e-05
1575504857497,59:94:fb:73:12:e7,localhost,0.004896640777587891,3.702473640441895e-05,0.0012784004211425781,2.1990299224853514e-05
1575504856476,a1:bf:85:e2:74:36,localhost,0.003802061080932617,4.429841041564941e-05,0.007245540618896484,7.325339317321778e-05
1575504856673,67:07:96:9b:f6:db,localhost,0.003634929656982422,3.742694854736328e-05,0.006069660186767578,8.859801292419434e-05
1575504857951,19:5a:85:c9:7a:6e,localhost,0.0023250579833984375,2.2031784057617188e-05,0.002095937728881836,2.495574951171875e-05
1575504858105,09:62:4c:14:26:d6,localhost,0.005465984344482422,3.929901123046875e-05,0.0015175342559814453,2.102351188659668e-05
1575504856910,07:66:c9:44:b5:ef,localhost,0.004074573516845703,3.7792205810546875e-05,0.006508588790893555,7.04936981201172e-05
1575504856804,c5:4c:80:23:46:26,localhost,0.003196239471435547,4.1633367538452146e-05,0.006525993347167969,4.8175334930419925e-05
1575504857379,61:e2:55:a9:8b:5c,localhost,0.00252532958984375,4.2862892150878907e-05,0.01246953010559082,8.393263816833496e-05
1575504857560,9b:00:89:07:90:df,localhost,0.004912853240966797,5.137491226196289e-05,0.004339933395385742,5.1159858703613284e-05
1575504857508,31:05:55:a6:19:e5,localhost,0.005316734313964844,3.394985198974609e-05,0.00934290885925293,5.5895805358886716e-05
1575504858748,19:c5:91:6c:9d:88,localhost,0.00678706169128418,3.2995939254760745e-05,0.002907276153564453,1.817798614501953e-05
