Logs,Boot ID,MAC Address,Bit-1 Sample,Base Sample,Phase 3,Bit-0 Sample,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-10-00-28/log,92e32013-1be7-401e-9f89-fcec1c0ec284,A6:6B:21:0F:65:50,out/09-10-00-28/bit1_samples863,out/09-10-00-28/base_samples863,863,out/09-10-00-28/bit0_samples863,863,863,3,2020-09-10 07:28:56,2020-09-10 07:30:01,863,ae9904a1-5bff-4571-8621-734f156acd15,1,
out/09-10-00-28/log,d358dced-a88d-4ba9-b1db-05d69a765d1a,FA:B7:6D:71:93:09,out/09-10-00-28/bit1_samples591,out/09-10-00-28/base_samples591,591,out/09-10-00-28/bit0_samples591,591,728,3,2020-09-10 07:28:40,2020-09-10 07:30:01,591,ca2c13d0-59a4-4c23-94dc-95b18541736b,1,
out/09-10-00-28/log,711e1e54-3c12-4218-aaa4-6457e36b60d6,C6:75:A1:15:29:26,out/09-10-00-28/bit1_samples231,out/09-10-00-28/base_samples231,257,out/09-10-00-28/bit0_samples231,517,231,3,2020-09-10 07:28:31,2020-09-10 07:30:01,231,518ee799-ce07-471a-b0eb-0e6bd70c459c,1,
out/09-10-00-28/log,8503496c-0008-43cd-9876-5762b583a693,3A:82:36:08:6D:EB,out/09-10-00-28/bit1_samples242,out/09-10-00-28/base_samples242,243,out/09-10-00-28/bit0_samples242,675,313,3,2020-09-10 07:28:31,2020-09-10 07:30:00,242,516aad60-8aed-41eb-8aa9-451f9e6b3ce1,1,
out/09-10-00-28/log,fc20d942-b8a7-48e2-ae4b-7c8d8ee52034,2E:68:CF:6A:41:30,out/09-10-00-28/bit1_samples542,out/09-10-00-28/base_samples542,998,out/09-10-00-28/bit0_samples542,576,888,3,2020-09-10 07:28:49,2020-09-10 07:30:00,542,4f51a4f5-d7f8-41ec-81b3-25744549aee0,1,
out/09-10-00-28/log,7c1f6ed2-8055-417a-935c-3a04cbae33b0,E2:86:BC:12:B0:83,out/09-10-00-28/bit1_samples823,out/09-10-00-28/base_samples823,932,out/09-10-00-28/bit0_samples823,823,978,3,2020-09-10 07:28:37,2020-09-10 07:30:01,823,8f4056c5-b933-4076-bc65-3887a4295257,1,
out/09-10-00-28/log,8a73ad10-89c9-4893-8f26-fe0ba25fe4a1,F2:5F:0D:F8:39:C0,out/09-10-00-28/bit1_samples249,out/09-10-00-28/base_samples249,249,out/09-10-00-28/bit0_samples249,870,499,3,2020-09-10 07:28:31,2020-09-10 07:30:01,249,1dbc60bb-f34c-4d4a-9fb4-1fc55383d371,1,
out/09-10-00-28/log,87e85adf-51ad-4ed9-b5bf-25317ffc66c8,52:6F:1C:76:E8:DA,out/09-10-00-28/bit1_samples615,out/09-10-00-28/base_samples615,615,out/09-10-00-28/bit0_samples615,688,928,3,2020-09-10 07:28:36,2020-09-10 07:30:01,615,bc100d96-e2b9-41a8-b922-ab116441cdc7,1,
out/09-10-00-28/log,820edf9e-8d0d-4ed5-b618-dc10462477c1,C6:E9:F0:B4:5D:F0,out/09-10-00-28/bit1_samples682,out/09-10-00-28/base_samples682,682,out/09-10-00-28/bit0_samples682,688,712,3,2020-09-10 07:28:38,2020-09-10 07:30:00,682,61d1c3f8-bbd9-4765-a7cb-d69e6fba2fb5,1,
out/09-10-00-28/log,1661ea26-48c7-4eb5-a3d4-9e009f8c2280,E2:F2:7B:B6:F4:FF,out/09-10-00-28/bit1_samples633,out/09-10-00-28/base_samples633,914,out/09-10-00-28/bit0_samples633,872,986,3,2020-09-10 07:28:47,2020-09-10 07:30:01,633,f1a5f28c-d4a5-4b55-961e-cb4b1573721c,1,
out/09-10-00-28/log,3088800e-831e-40ff-9e5c-b895c4c5717a,FA:BD:F6:EA:C8:AC,out/09-10-00-28/bit1_samples735,out/09-10-00-28/base_samples735,740,out/09-10-00-28/bit0_samples735,736,976,3,2020-09-10 07:28:49,2020-09-10 07:30:01,735,6b386efa-a8b7-401a-bec6-d1932ed4886f,1,
out/09-10-00-28/log,a3d1b081-3666-486f-a460-3aed92286f6b,12:9E:A5:61:D5:91,out/09-10-00-28/bit1_samples700,out/09-10-00-28/base_samples700,814,out/09-10-00-28/bit0_samples700,861,1013,3,2020-09-10 07:28:42,2020-09-10 07:30:00,700,0b03263f-5dc8-475b-b40f-2434e69eff78,1,
out/09-10-00-28/log,b634391c-edd3-49e7-8c41-cfcb5e14bc18,42:43:A5:9F:3A:58,out/09-10-00-28/bit1_samples866,out/09-10-00-28/base_samples866,867,out/09-10-00-28/bit0_samples866,963,1018,3,2020-09-10 07:28:42,2020-09-10 07:30:00,866,b3ecd72a-f77b-47bf-815f-e95675eaabc1,1,
out/09-10-00-28/log,814928bf-1475-47da-b986-a24c7382b311,96:80:8B:AB:56:8C,out/09-10-00-28/bit1_samples960,out/09-10-00-28/base_samples960,1008,out/09-10-00-28/bit0_samples960,960,984,3,2020-09-10 07:28:41,2020-09-10 07:30:00,960,6baf265a-f1e4-4a94-8c8d-0ca790d2be12,1,
out/09-10-00-28/log,23be8048-3b03-4255-b371-6d079b76024c,32:AF:3B:62:FD:27,out/09-10-00-28/bit1_samples919,out/09-10-00-28/base_samples919,942,out/09-10-00-28/bit0_samples919,937,993,3,2020-09-10 07:28:44,2020-09-10 07:30:01,919,d44db4b5-dc40-4797-af90-b7139f1ca4ce,1,
out/09-10-00-28/log,824cc9c3-baa4-4c24-902d-5de662576b04,42:CB:AF:3C:C4:51,out/09-10-00-28/bit1_samples762,out/09-10-00-28/base_samples762,762,out/09-10-00-28/bit0_samples762,762,762,3,2020-09-10 07:28:55,2020-09-10 07:30:00,762,af7e926a-0342-4611-ac03-8aa1a05fd357,1,
out/09-10-00-28/log,4012ba11-cf09-4e23-8953-035c19f2f0cc,C2:E8:59:67:B5:3C,out/09-10-00-28/bit1_samples782,out/09-10-00-28/base_samples782,840,out/09-10-00-28/bit0_samples782,848,819,3,2020-09-10 07:28:57,2020-09-10 07:30:00,782,98895531-e1d1-4308-8a1e-993aef8970ca,1,
out/09-10-00-28/log,be0ac9f7-993c-4aab-8611-5b30506bd3d5,E2:E2:B1:4C:D6:CB,out/09-10-00-28/bit1_samples750,out/09-10-00-28/base_samples750,767,out/09-10-00-28/bit0_samples750,827,750,3,2020-09-10 07:28:39,2020-09-10 07:30:00,750,9d49c8e4-276c-404d-95cd-9f9313d2a4e3,1,
out/09-10-00-28/log,c73e8f6f-b10b-46a2-93a0-50f599dcd9d5,12:4A:92:D8:FF:60,out/09-10-00-28/bit1_samples147,out/09-10-00-28/base_samples147,946,out/09-10-00-28/bit0_samples147,996,397,3,2020-09-10 07:28:31,2020-09-10 07:30:01,147,800f9ae8-14f8-447c-bd80-e0d6ae31dcad,1,
out/09-10-00-28/log,e9d5dd50-6627-4a65-810c-d30143f26aeb,6A:46:4C:84:94:8B,out/09-10-00-28/bit1_samples351,out/09-10-00-28/base_samples351,526,out/09-10-00-28/bit0_samples351,904,464,3,2020-09-10 07:28:31,2020-09-10 07:30:01,351,c78a250f-2d1b-44ff-9e07-28faf5d30185,1,
out/09-10-00-28/log,a288595f-6393-4afe-99db-ba771575f1b2,EE:B1:C2:32:33:E3,out/09-10-00-28/bit1_samples474,out/09-10-00-28/base_samples474,474,out/09-10-00-28/bit0_samples474,1000,474,3,2020-09-10 07:28:35,2020-09-10 07:30:00,474,12085348-da5c-4b49-9d98-eb1177f32154,1,
out/09-10-00-28/log,48cda9d1-4261-4988-a1be-242c060e6798,DE:B6:5C:57:B4:E9,out/09-10-00-28/bit1_samples94,out/09-10-00-28/base_samples94,735,out/09-10-00-28/bit0_samples94,319,1023,3,2020-09-10 07:28:31,2020-09-10 07:30:00,94,db714d33-8a79-45d1-88c3-cda4bf47cecc,1,
out/09-10-00-28/log,be257ed6-3533-4f69-bbd6-9b213c208c0d,56:89:3A:E8:64:99,out/09-10-00-28/bit1_samples270,out/09-10-00-28/base_samples270,458,out/09-10-00-28/bit0_samples270,387,426,3,2020-09-10 07:28:31,2020-09-10 07:30:00,270,e19d20f8-0812-4607-a599-de4f9c488aab,1,
out/09-10-00-28/log,2ac0091b-6a27-48fa-bb06-21e0cdbe9a57,42:EE:C5:ED:0D:1B,out/09-10-00-28/bit1_samples188,out/09-10-00-28/base_samples188,232,out/09-10-00-28/bit0_samples188,189,190,3,2020-09-10 07:28:31,2020-09-10 07:30:00,188,fbedca6c-bb9e-4715-a523-a3fb97bf8b0f,1,
out/09-10-00-28/log,d7426cf9-24dd-4553-a02a-346449d63b21,12:CB:0F:C9:7F:7C,out/09-10-00-28/bit1_samples6,out/09-10-00-28/base_samples6,48,out/09-10-00-28/bit0_samples6,556,16,3,2020-09-10 07:28:31,2020-09-10 07:30:00,6,794f637d-6f3e-46bf-9eb7-9495dbc8306a,1,
out/09-10-00-28/log,050ce7e7-99ac-4b9e-a7f8-b67ae71d7198,2A:B2:42:A5:AE:CA,out/09-10-00-28/bit1_samples693,out/09-10-00-28/base_samples693,693,out/09-10-00-28/bit0_samples693,880,869,3,2020-09-10 07:28:47,2020-09-10 07:30:01,693,ee20ef5b-e2db-4926-8a5f-a069df3d6067,1,
out/09-10-00-28/log,82215301-951c-4fe9-86db-f319e2084fed,06:CE:60:9B:28:35,out/09-10-00-28/bit1_samples61,out/09-10-00-28/base_samples61,343,out/09-10-00-28/bit0_samples61,917,111,3,2020-09-10 07:28:31,2020-09-10 07:30:01,61,70b4ce55-cc00-4657-9743-3ecc2284aa90,1,
out/09-10-00-28/log,0e69836e-1f9b-4540-a4a9-2f64ea36dfd0,CE:E9:31:17:C8:1D,out/09-10-00-28/bit1_samples77,out/09-10-00-28/base_samples77,642,out/09-10-00-28/bit0_samples77,646,855,3,2020-09-10 07:28:31,2020-09-10 07:30:01,77,0c47f1cd-8a51-42bc-8ebb-1200caf34a33,1,
out/09-10-00-28/log,772f8a59-26f4-410a-a768-f64dcf0b1184,C2:66:29:AD:E3:7D,out/09-10-00-28/bit1_samples93,out/09-10-00-28/base_samples93,711,out/09-10-00-28/bit0_samples93,197,711,3,2020-09-10 07:28:31,2020-09-10 07:30:01,93,1ff0c6f7-37b2-431f-9401-cfc473024a89,1,
out/09-10-00-28/log,9e6c4363-4949-48c4-9148-7e1552e6de3b,BA:0D:6E:42:23:46,out/09-10-00-28/bit1_samples778,out/09-10-00-28/base_samples778,867,out/09-10-00-28/bit0_samples778,955,960,3,2020-09-10 07:28:58,2020-09-10 07:30:00,778,6a386a6f-1b6d-4461-bf97-90b01729a865,1,
out/09-10-00-28/log,5e5e0ea2-8ce8-4f63-b6ce-169c74a23a79,6E:FD:22:5C:03:9D,out/09-10-00-28/bit1_samples833,out/09-10-00-28/base_samples833,923,out/09-10-00-28/bit0_samples833,838,850,3,2020-09-10 07:28:37,2020-09-10 07:30:01,833,9a983c4e-7495-4e54-8a51-c8c3693a7d3b,1,
out/09-10-00-28/log,b1f5b044-0f6a-4079-9537-a2e827b6cac8,CE:AB:9D:F7:75:35,out/09-10-00-28/bit1_samples675,out/09-10-00-28/base_samples675,675,out/09-10-00-28/bit0_samples675,914,675,3,2020-09-10 07:28:44,2020-09-10 07:30:01,675,68c33187-b84b-47d3-8671-a7b65dd62b10,1,
out/09-10-00-28/log,80d88e2d-10b5-4e74-8ca7-cd74a72af6ad,86:F5:63:01:72:3A,out/09-10-00-28/bit1_samples976,out/09-10-00-28/base_samples976,1014,out/09-10-00-28/bit0_samples976,1012,978,3,2020-09-10 07:28:43,2020-09-10 07:30:00,976,50d51c88-88b9-428b-9c9c-0c0e9c634d90,1,
out/09-10-00-28/log,a9844e1a-fcab-40c3-be8c-35e527cd945e,D6:F1:4C:91:DB:BB,out/09-10-00-28/bit1_samples857,out/09-10-00-28/base_samples857,864,out/09-10-00-28/bit0_samples857,860,858,3,2020-09-10 07:29:00,2020-09-10 07:30:01,857,244198d9-6464-4fe7-8bc6-7c1bc06e20ef,1,
out/09-10-00-28/log,3acb8ae3-e70b-45bb-b3f0-f2911f7a5c2c,12:CA:1B:C6:D5:6D,out/09-10-00-28/bit1_samples755,out/09-10-00-28/base_samples755,828,out/09-10-00-28/bit0_samples755,755,755,3,2020-09-10 07:28:45,2020-09-10 07:30:01,755,216cc082-ade8-4aaa-8883-88ce70e3d66c,1,
out/09-10-00-28/log,0ea0fc78-6b92-4f7c-8f5d-f7c0db31264e,6A:04:B6:AF:77:2A,out/09-10-00-28/bit1_samples383,out/09-10-00-28/base_samples383,649,out/09-10-00-28/bit0_samples383,919,866,3,2020-09-10 07:28:32,2020-09-10 07:30:01,383,492ef3e2-3fb0-4942-850c-9e5683fbc7aa,1,
out/09-10-00-28/log,733dace9-a125-4f12-8d30-cc13ec779def,66:B2:B0:35:47:5E,out/09-10-00-28/bit1_samples155,out/09-10-00-28/base_samples155,223,out/09-10-00-28/bit0_samples155,670,319,3,2020-09-10 07:28:31,2020-09-10 07:30:01,155,7c5581af-a875-461f-852e-c950628ef0aa,1,
