Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Channel,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-17-08/log,02-03-17-08-51,,169.254.76.1,1,51,7.978206,AE:F6:F7:F1:86:EC,582c7c62-9bac-400b-bb11-5d1bf5097b5b,2021-02-04 01:08:08,30,2,67,51,-1,2021-02-04 01:09:01,f28bd9bf-ddf6-4739-8d57-caf840a1b42b,02-03-17-06-30,-,out/02-03-17-08/bit1_samples51,-,Yes,DEFAULT,21,-,-
out/02-03-17-08/log,02-03-17-08-12,,169.254.76.1,1,12,7.799108,46:73:ED:88:B0:B6,e5743966-2566-4c8b-b55b-1e07618bd066,2021-02-04 01:08:08,30,2,49,12,-1,2021-02-04 01:09:01,f250b445-6cba-4a74-992e-4ac9e16fbbb7,02-03-17-06-93,-,out/02-03-17-08/bit1_samples12,-,Yes,DEFAULT,5,-,-
out/02-03-17-08/log,02-03-17-08-57,,169.254.76.1,1,57,7.908334,02:02:30:6F:55:11,37cad63f-a227-4976-a497-06335286abcd,2021-02-04 01:08:08,30,3,81,57,27,2021-02-04 01:09:02,7d9de3b9-4e94-4326-84cd-74100d2ece9a,02-03-17-06-3,-,out/02-03-17-08/bit1_samples57,-,Yes,DEFAULT,22,-,-
out/02-03-17-08/log,02-03-17-08-11,,169.254.76.1,1,11,7.953407,0E:19:6D:78:9E:F5,16762c2d-811e-45a8-964d-a400007168d6,2021-02-04 01:08:08,30,2,43,11,-1,2021-02-04 01:09:01,191df763-b34c-4b21-8aa0-39b177d1b621,02-03-17-06-19,-,out/02-03-17-08/bit1_samples11,-,Yes,DEFAULT,20,-,-
out/02-03-17-08/log,02-03-17-08-55,,169.254.76.1,1,55,7.816551,7A:5D:E1:D6:73:F4,d446b921-fed2-46ac-b16a-69a14f2f90f8,2021-02-04 01:08:08,30,3,96,90,89,2021-02-04 01:08:52,1581be0d-123e-4f1e-8934-e37ad01e23d1,02-03-17-06-99,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-59,,169.254.76.1,1,59,7.747202,A2:01:03:E8:A6:C0,eef0c1a8-cdb3-4b63-9e17-67d5fb762953,2021-02-04 01:08:08,30,3,88,59,18,2021-02-04 01:09:01,dcc3c6ed-bca5-4552-8465-889996dbc456,02-03-17-06-87,-,out/02-03-17-08/bit1_samples59,-,Yes,DEFAULT,23,-,-
out/02-03-17-08/log,02-03-17-08-81,,169.254.76.1,1,81,7.978789,4E:9D:A5:49:DA:75,4ab1fb55-9539-4935-86c4-155f7c02908a,2021-02-04 01:08:08,30,3,81,57,27,2021-02-04 01:09:01,2f95ff9f-b6c0-4eec-8603-42ef1e3365bb,02-03-17-06-63,-,-,out/02-03-17-08/bit0_samples81,Yes,DEFAULT,22,-,-
out/02-03-17-08/log,02-03-17-08-77,,169.254.76.1,1,77,8.191459,4E:35:30:70:E0:56,103c47ea-290f-467a-a65e-6c13509664a9,2021-02-04 01:08:08,30,3,97,77,69,2021-02-04 01:09:01,7c45c94e-a086-4ba7-ab1d-0e12e7891b51,02-03-17-06-4,-,out/02-03-17-08/bit1_samples77,-,Yes,DEFAULT,16,-,-
out/02-03-17-08/log,02-03-17-08-83,,169.254.76.1,1,83,7.857572,F6:60:22:36:BF:7E,926e20ac-bce6-4141-b2a3-b41a58dcc26f,2021-02-04 01:08:08,30,3,83,64,61,2021-02-04 01:09:01,c76b234a-0c42-471b-aff8-cfc34de4f0ec,02-03-17-06-45,-,-,out/02-03-17-08/bit0_samples83,Yes,DEFAULT,8,-,-
out/02-03-17-08/log,02-03-17-08-9,,169.254.76.1,1,9,7.696946,66:AB:C8:C1:C1:B6,c34d8dfd-ab25-467a-8272-c263e712bf3d,2021-02-04 01:08:08,20,1,9,-1,-1,2021-02-04 01:08:42,e0436c33-75a0-410c-be52-31a5763f911b,02-03-17-06-14,-,-,-,Yes,DEFAULT,-,-,-
