GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
10-05-23-03-634,1,634,f037c387-48a4-484c-af08-46c98659b3df,2020-10-06 06:05:08,da9bee1c-1e7e-4c3b-9727-5d700ebb623b,2020-10-06 06:03:09,3,785,785,785,out/10-05-23-03/log,out/10-05-23-03/base_samples634,,out/10-05-23-03/bit1_samples634,out/10-05-23-03/bit0_samples634,5.41531156574772,,0.227251658138623,62:05:F2:78:A7:4A,No
10-05-23-03-53,1,53,32b76261-2c68-4f5b-95e3-da62a1ccbed5,2020-10-06 06:05:08,72caa862-adeb-4620-8fa3-6baf2f668229,2020-10-06 06:03:09,3,824,824,824,out/10-05-23-03/log,out/10-05-23-03/base_samples53,,out/10-05-23-03/bit1_samples53,out/10-05-23-03/bit0_samples53,7.91712135256937,,0.440784870687581,8E:FC:70:F1:47:C5,No
10-05-23-03-421,1,421,7e02c41f-790c-4468-82d0-297ac157a892,2020-10-06 06:05:08,1e3a753d-feec-4ee8-8192-2d219689b015,2020-10-06 06:03:19,3,985,985,985,out/10-05-23-03/log,out/10-05-23-03/base_samples421,,out/10-05-23-03/bit1_samples421,out/10-05-23-03/bit0_samples421,6.59476901109266,,0.721847376666961,3A:12:52:34:5C:F7,No
10-05-23-03-406,1,406,0bcf9132-2a95-41fd-bba1-c5563c90d115,2020-10-06 06:05:08,2d08b4dd-f2ee-4af9-b4d7-2353302cfba9,2020-10-06 06:03:18,3,792,792,792,out/10-05-23-03/log,out/10-05-23-03/base_samples406,,out/10-05-23-03/bit1_samples406,out/10-05-23-03/bit0_samples406,7.03096874220827,,0.835076446590139,A2:3E:1A:98:76:85,No
10-05-23-03-120,1,120,e6d7fce5-19f8-4c3c-b15c-ad9ac7ca9c35,2020-10-06 06:05:08,db62f1dd-73b7-4d5a-bb64-6240c69dafd2,2020-10-06 06:03:35,3,672,672,672,out/10-05-23-03/log,out/10-05-23-03/base_samples120,,out/10-05-23-03/bit1_samples120,out/10-05-23-03/bit0_samples120,8.47817142693436,,0.557032028447374,F2:BE:7A:FF:1E:01,No
10-05-23-03-731,1,731,ca9ac500-d4bb-4659-9399-7ed38c650399,2020-10-06 06:05:08,14914394-b0af-41be-8f50-57fe579da28c,2020-10-06 06:03:17,3,959,959,959,out/10-05-23-03/log,out/10-05-23-03/base_samples731,,out/10-05-23-03/bit1_samples731,out/10-05-23-03/bit0_samples731,7.54094562022884,,0.308064761700878,62:5F:92:C6:E2:08,No
10-05-23-03-625,1,625,3015a94d-1de5-4c40-90b3-96dfe7f34da4,2020-10-06 06:05:08,75c220c9-a403-4794-bde7-6cfb2f8f5ad9,2020-10-06 06:03:09,3,632,632,632,out/10-05-23-03/log,out/10-05-23-03/base_samples625,,out/10-05-23-03/bit1_samples625,out/10-05-23-03/bit0_samples625,6.04935719660632,,0.345036603906405,D2:C6:EE:5E:60:30,No
10-05-23-03-785,1,785,ce8724c6-71bb-4ded-af31-b43aa5a38ad3,2020-10-06 06:05:08,1a83bfbf-8973-484e-a972-4a30499f5201,2020-10-06 06:03:16,3,785,785,785,out/10-05-23-03/log,out/10-05-23-03/base_samples785,,out/10-05-23-03/bit1_samples785,out/10-05-23-03/bit0_samples785,0,,0.334136900439501,F2:AA:9B:30:37:E4,No
10-05-23-03-288,1,288,2cfe933f-08e4-4b85-9574-675c6233d6d1,2020-10-06 06:05:08,0f0f401b-3df6-4a0a-83d1-4f6429b0a43a,2020-10-06 06:03:21,3,980,980,980,out/10-05-23-03/log,out/10-05-23-03/base_samples288,,out/10-05-23-03/bit1_samples288,out/10-05-23-03/bit0_samples288,7.78467857049575,,0.221691590314727,86:21:CC:FE:4D:5F,No
10-05-23-03-402,1,402,9291329c-7edc-42b2-b06e-b378d0d27a9a,2020-10-06 06:05:08,97d6f5df-3fa5-458d-868d-4f9090fd3f70,2020-10-06 06:03:20,3,847,847,847,out/10-05-23-03/log,out/10-05-23-03/base_samples402,,out/10-05-23-03/bit1_samples402,out/10-05-23-03/bit0_samples402,8.86145638321541,,0.300717601954059,F2:8D:BE:6B:0A:B2,No
10-05-23-03-130,1,130,bb9e2fc1-adb3-4336-9e46-71d402cd3765,2020-10-06 06:05:08,79d2448c-a32d-48a8-a9d0-1c72debe13e0,2020-10-06 06:03:14,3,1000,1000,1000,out/10-05-23-03/log,out/10-05-23-03/base_samples130,,out/10-05-23-03/bit1_samples130,out/10-05-23-03/bit0_samples130,8.97066696923815,,1.06082760781784,F6:45:98:51:EA:A0,No
10-05-23-03-730,1,730,dccb5e8d-59dd-4ca7-966d-d962087c396e,2020-10-06 06:05:08,42470b55-9e82-4ad8-b4ca-31626213a33d,2020-10-06 06:03:23,3,917,917,917,out/10-05-23-03/log,out/10-05-23-03/base_samples730,,out/10-05-23-03/bit1_samples730,out/10-05-23-03/bit0_samples730,7.80531286161632,,0.232201042590054,1A:7E:79:8F:44:91,No
10-05-23-03-22,1,22,a84580fe-906d-464d-806b-db6e24331342,2020-10-06 06:05:08,b2fe2b83-314a-45c2-8ec2-00ae6e6b50b7,2020-10-06 06:03:09,3,835,835,835,out/10-05-23-03/log,out/10-05-23-03/base_samples22,,out/10-05-23-03/bit1_samples22,out/10-05-23-03/bit0_samples22,8.64363000813275,,0.244264027100195,72:FA:9B:81:12:06,No
10-05-23-03-988,1,988,c65ef451-50cf-4b21-b7f1-82b20689be7a,2020-10-06 06:05:08,47bebfd6-9945-44f3-9413-b4601afc0a34,2020-10-06 06:03:26,3,988,988,988,out/10-05-23-03/log,out/10-05-23-03/base_samples988,,out/10-05-23-03/bit1_samples988,out/10-05-23-03/bit0_samples988,0,,0.360818451781082,7A:2F:42:2B:B7:CB,No
10-05-23-03-661,1,661,4e73ac8c-178c-438b-80b1-b157e2c6828d,2020-10-06 06:05:08,4d43c685-e89c-4b4c-9892-ad07ae5c5cb9,2020-10-06 06:03:17,3,763,763,763,out/10-05-23-03/log,out/10-05-23-03/base_samples661,,out/10-05-23-03/bit1_samples661,out/10-05-23-03/bit0_samples661,6.01339698648204,,0.309733971053366,1A:39:C8:66:92:44,No
10-05-23-03-850,1,850,8518cfb8-3ece-48dc-88bf-0599239f6405,2020-10-06 06:05:08,6d58c6d2-5388-4b82-9b76-ac90cdc889af,2020-10-06 06:03:17,3,958,958,958,out/10-05-23-03/log,out/10-05-23-03/base_samples850,,out/10-05-23-03/bit1_samples850,out/10-05-23-03/bit0_samples850,5.56412440031636,,0.211696503941215,4A:65:39:72:26:35,No
10-05-23-03-326,1,326,b00dc007-196a-46f1-a36b-1f2a2688bc43,2020-10-06 06:05:08,45d2f539-32c2-4648-a4d9-a9536b9e1288,2020-10-06 06:03:09,3,868,868,868,out/10-05-23-03/log,out/10-05-23-03/base_samples326,,out/10-05-23-03/bit1_samples326,out/10-05-23-03/bit0_samples326,8.21144841113511,,0.183527764386358,26:83:50:E8:57:16,No
10-05-23-03-116,1,116,47c455e8-0522-4749-a153-133365b577a6,2020-10-06 06:05:08,2efc1b90-fb66-4cf1-ba0d-55a922060ae5,2020-10-06 06:03:10,3,607,607,607,out/10-05-23-03/log,out/10-05-23-03/base_samples116,,out/10-05-23-03/bit1_samples116,out/10-05-23-03/bit0_samples116,8.25646728463358,,0.278367357293362,5E:2F:FE:95:F0:78,No
10-05-23-03-662,1,662,d19c106e-6870-44fc-a0d5-7eeb3e90ad93,2020-10-06 06:05:08,4f77e068-c69f-4ac4-9418-527cf2772cf1,2020-10-06 06:03:09,3,956,956,956,out/10-05-23-03/log,out/10-05-23-03/base_samples662,,out/10-05-23-03/bit1_samples662,out/10-05-23-03/bit0_samples662,8.38479348672178,,0.309717513173774,62:A8:D0:36:2A:FD,No
10-05-23-03-71,1,71,b3948122-bea6-4bed-979c-c4061892f254,2020-10-06 06:05:08,ed79ea55-8817-43b7-88be-7258c6469b7d,2020-10-06 06:03:09,3,760,760,760,out/10-05-23-03/log,out/10-05-23-03/base_samples71,,out/10-05-23-03/bit1_samples71,out/10-05-23-03/bit0_samples71,5.57293632712578,,0.331370853093429,92:79:6D:8A:0E:13,No
10-05-23-03-799,1,799,822c64db-181a-44e4-ae60-7e1b6e595d47,2020-10-06 06:05:08,f57de5c8-136e-44f7-a9de-ddf7989ddd6f,2020-10-06 06:03:26,3,998,998,998,out/10-05-23-03/log,out/10-05-23-03/base_samples799,,out/10-05-23-03/bit1_samples799,out/10-05-23-03/bit0_samples799,5.89491908321376,,0.120025365743777,AE:73:8C:70:FC:26,No
10-05-23-03-615,1,615,384f357f-f6cc-4758-9c85-e7f5f9487c13,2020-10-06 06:05:08,b64cbb96-d58d-404f-9db9-dbb52ad830f9,2020-10-06 06:03:10,3,968,968,968,out/10-05-23-03/log,out/10-05-23-03/base_samples615,,out/10-05-23-03/bit1_samples615,out/10-05-23-03/bit0_samples615,8.3853739658835,,0.50227192202954,9A:17:E8:98:E5:5B,No
10-05-23-03-635,1,635,dba84599-2448-4555-a05a-524cc8311fbb,2020-10-06 06:05:08,67456235-d0cf-4eb5-8e20-f23acc7fa245,2020-10-06 06:03:09,3,740,740,740,out/10-05-23-03/log,out/10-05-23-03/base_samples635,,out/10-05-23-03/bit1_samples635,out/10-05-23-03/bit0_samples635,7.78494230045579,,0.388115692986076,C2:3B:74:F4:3D:2D,No
10-05-23-03-632,1,632,ec21dd40-c1d4-47f0-9725-17199b5ecaf6,2020-10-06 06:05:08,f778da71-ad9d-46f2-a970-ead75ca92c92,2020-10-06 06:03:09,3,632,632,632,out/10-05-23-03/log,out/10-05-23-03/base_samples632,,out/10-05-23-03/bit1_samples632,out/10-05-23-03/bit0_samples632,0,,0.324108883971076,86:3D:C3:F2:79:94,No
10-05-23-03-447,1,447,84f241bb-0229-40b4-a9e2-f2887b783328,2020-10-06 06:05:08,a5335555-6c6e-4a8b-87ea-a829e1287c48,2020-10-06 06:03:31,3,952,952,952,out/10-05-23-03/log,out/10-05-23-03/base_samples447,,out/10-05-23-03/bit1_samples447,out/10-05-23-03/bit0_samples447,6.70626060696144,,0.805746190434297,A2:D5:7B:18:9B:CB,No
10-05-23-03-267,1,267,58fce638-2a07-46b4-8312-6dc27dd46594,2020-10-06 06:05:08,2134c11b-7306-415d-988f-c33ef7b8ccae,2020-10-06 06:03:25,3,977,977,977,out/10-05-23-03/log,out/10-05-23-03/base_samples267,,out/10-05-23-03/bit1_samples267,out/10-05-23-03/bit0_samples267,7.96295098409652,,0.482762664439267,0A:0F:99:39:BC:26,No
10-05-23-03-698,1,698,2f1235a3-f11a-4855-9416-b9bdee096f7b,2020-10-06 06:05:08,8a97ca98-3758-4745-8400-70869d4060a5,2020-10-06 06:03:15,3,964,964,964,out/10-05-23-03/log,out/10-05-23-03/base_samples698,,out/10-05-23-03/bit1_samples698,out/10-05-23-03/bit0_samples698,5.64918799148087,,0.214474783527702,CE:88:D8:DC:1C:47,No
10-05-23-03-954,1,954,900ec046-52f0-447e-9ccb-921f92528dda,2020-10-06 06:05:08,9e13108b-791f-4052-aafb-55de9b202913,2020-10-06 06:03:19,3,954,954,954,out/10-05-23-03/log,out/10-05-23-03/base_samples954,,out/10-05-23-03/bit1_samples954,out/10-05-23-03/bit0_samples954,0,,0.145811888113071,86:D7:37:50:5B:5F,No
10-05-23-03-550,1,550,99093f09-9100-498b-9b44-07e5ae58c3bf,2020-10-06 06:05:08,53a1dec8-ea8a-4e91-942b-775178a74c72,2020-10-06 06:03:09,3,681,681,681,out/10-05-23-03/log,out/10-05-23-03/base_samples550,,out/10-05-23-03/bit1_samples550,out/10-05-23-03/bit0_samples550,5.81469265002829,,0.368074839468606,8A:92:CF:CB:C3:4F,No
