Logs,Boot ID,MAC Address,Bit-1 Sample,Base Sample,Phase 3,Bit-0 Sample,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-09-23-28/log,b2be5357-5904-49d2-88ac-7b3ce0569d46,FA:45:7E:63:FD:BF,out/09-09-23-28/bit1_samples28,out/09-09-23-28/base_samples28,28,out/09-09-23-28/bit0_samples28,30,28,3,2020-09-10 06:28:17,2020-09-10 06:29:16,28,1d7417cd-8ad3-4a42-b76f-58512a805c2f,1,
out/09-09-23-28/log,25606995-f8f0-4830-afb3-d229b56b8f85,4E:7B:31:D7:36:14,out/09-09-23-28/bit1_samples94,out/09-09-23-28/base_samples94,94,out/09-09-23-28/bit0_samples94,94,94,3,2020-09-10 06:28:17,2020-09-10 06:29:16,94,e536f8bf-2884-4fb9-85e8-5cf38fdc9b15,1,
out/09-09-23-28/log,7802c420-3a85-4118-95ae-c4be80bbe65c,F2:69:D5:51:BB:79,out/09-09-23-28/bit1_samples16,out/09-09-23-28/base_samples16,16,out/09-09-23-28/bit0_samples16,16,33,3,2020-09-10 06:28:17,2020-09-10 06:29:16,16,1776e340-99bd-439d-8a0d-f4b4079e693e,1,
out/09-09-23-28/log,32616abf-a98b-4248-9282-bde89dff7e81,9E:BC:86:D2:8A:BF,out/09-09-23-28/bit1_samples12,out/09-09-23-28/base_samples12,12,out/09-09-23-28/bit0_samples12,12,12,3,2020-09-10 06:28:17,2020-09-10 06:29:16,12,d7f90039-4616-4611-bcc2-14f821a380e8,1,
out/09-09-23-28/log,e43f851e-cb23-447c-b83e-260f9ebe8078,3A:4E:9C:9B:3E:C4,out/09-09-23-28/bit1_samples33,out/09-09-23-28/base_samples33,33,out/09-09-23-28/bit0_samples33,33,33,3,2020-09-10 06:28:17,2020-09-10 06:29:17,33,055b72ed-e2f5-4031-93b2-20bd7e124294,1,
out/09-09-23-28/log,e1d0055e-9a39-4a05-b5a0-e119467c9c00,0E:D2:C1:F8:24:D4,out/09-09-23-28/bit1_samples95,out/09-09-23-28/base_samples95,95,out/09-09-23-28/bit0_samples95,95,95,3,2020-09-10 06:28:17,2020-09-10 06:29:17,95,94718509-f9db-4ef3-ab9d-3be8c9f29622,1,
out/09-09-23-28/log,7d89c1ea-b447-49b4-8c2e-c108f066360b,B6:DD:88:B0:D2:03,out/09-09-23-28/bit1_samples29,out/09-09-23-28/base_samples29,68,out/09-09-23-28/bit0_samples29,64,68,3,2020-09-10 06:28:22,2020-09-10 06:29:17,29,3dfccabf-5bf7-442e-8e29-78f659064822,1,
out/09-09-23-28/log,aa21b9a2-0b07-4473-816f-786cc88ef580,86:96:AD:2B:DA:95,out/09-09-23-28/bit1_samples25,out/09-09-23-28/base_samples25,25,out/09-09-23-28/bit0_samples25,25,25,3,2020-09-10 06:28:17,2020-09-10 06:29:17,25,b0f5db44-8291-4646-aa18-47f510fd7902,1,
out/09-09-23-28/log,01062ed2-f600-42e5-9fc3-c92305c47e52,52:26:56:9E:E1:9D,out/09-09-23-28/bit1_samples41,out/09-09-23-28/base_samples41,41,out/09-09-23-28/bit0_samples41,41,41,3,2020-09-10 06:28:22,2020-09-10 06:29:17,41,aca26b79-3989-4bb2-b0b4-a357402462bc,1,
out/09-09-23-28/log,9d9c6052-3238-43ff-8cef-29ae321dbef0,5E:F9:AE:B7:C5:B0,out/09-09-23-28/bit1_samples83,out/09-09-23-28/base_samples83,83,out/09-09-23-28/bit0_samples83,83,83,3,2020-09-10 06:28:17,2020-09-10 06:29:17,83,37e37881-c4a9-429d-a08c-6ea12478bfba,1,
out/09-09-23-28/log,ffcf274d-ed78-4573-aaae-d51f58bc0665,12:4A:3B:37:70:89,out/09-09-23-28/bit1_samples2,out/09-09-23-28/base_samples2,2,out/09-09-23-28/bit0_samples2,2,2,3,2020-09-10 06:28:17,2020-09-10 06:29:16,2,38659421-9ea2-40da-b374-4121575798c8,1,
out/09-09-23-28/log,1ac69e25-06ca-4111-9d4d-7ac2ef268932,2A:D2:05:9C:79:13,out/09-09-23-28/bit1_samples86,out/09-09-23-28/base_samples86,86,out/09-09-23-28/bit0_samples86,86,86,3,2020-09-10 06:28:17,2020-09-10 06:29:16,86,5d3de325-7e67-4493-b436-53fcc5fb3256,1,
out/09-09-23-28/log,c27abd61-fcf4-4cbf-bba0-36e37decf8a4,D2:55:E9:E4:FD:2B,out/09-09-23-28/bit1_samples73,out/09-09-23-28/base_samples73,78,out/09-09-23-28/bit0_samples73,73,75,3,2020-09-10 06:28:17,2020-09-10 06:29:17,73,40280668-5086-4564-a072-025552ab592a,1,
out/09-09-23-28/log,d82eba12-56a8-4a38-96e7-9d7eb0987ea7,0E:6D:26:9E:C8:7F,out/09-09-23-28/bit1_samples92,out/09-09-23-28/base_samples92,92,out/09-09-23-28/bit0_samples92,92,92,3,2020-09-10 06:28:17,2020-09-10 06:29:16,92,29305be9-140f-4fe4-a8b0-449ca9a81f7d,1,
out/09-09-23-28/log,5e467a93-4f63-44ba-b84c-bb640a1dd3c6,E2:91:9D:39:C6:19,out/09-09-23-28/bit1_samples38,out/09-09-23-28/base_samples38,38,out/09-09-23-28/bit0_samples38,38,38,3,2020-09-10 06:28:17,2020-09-10 06:29:16,38,0774a075-9d8f-4826-83e8-bd597a74b3d0,1,
out/09-09-23-28/log,12ba88ad-08be-43b4-8c74-76142a12aad4,DA:2F:01:8C:DA:17,out/09-09-23-28/bit1_samples76,out/09-09-23-28/base_samples76,76,out/09-09-23-28/bit0_samples76,76,76,3,2020-09-10 06:28:17,2020-09-10 06:29:16,76,ac5c46b2-e263-452e-9799-848481485197,1,
out/09-09-23-28/log,94248822-2dae-4985-b86f-0f1d4db1fcfe,FE:A4:B4:80:FD:F0,out/09-09-23-28/bit1_samples53,out/09-09-23-28/base_samples53,65,out/09-09-23-28/bit0_samples53,65,65,3,2020-09-10 06:28:17,2020-09-10 06:29:17,53,38d30d2b-bbca-4913-9f92-34ae874503c3,1,
