GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-17-02-39-48,1,48,bf075977-97f1-4ddc-9bd3-d52761476919,2020-09-17 09:39:23,1,48,out/09-17-02-39/log,out/09-17-02-39/base_samples48,0,out/09-17-02-39/bit0_samples48,,0.467481802915882,36:CF:50:75:CE:2D,2020-09-17 09:40:01,be1116ab-4978-46cd-945d-cf802480ef5c,out/09-17-02-39/bit1_samples48,,No
09-17-02-39-43,1,43,4a1934d1-7ea4-4d4c-84a6-e3a39775d7f1,2020-09-17 09:39:23,1,43,out/09-17-02-39/log,out/09-17-02-39/base_samples43,0,out/09-17-02-39/bit0_samples43,,0.243104816466286,62:4E:64:7B:04:14,2020-09-17 09:40:01,085940de-8cd9-424c-8176-dd717c7adc27,out/09-17-02-39/bit1_samples43,,No
09-17-02-39-86,1,86,b0583e84-f36a-45bc-8d78-4f9fece4ac61,2020-09-17 09:39:23,1,86,out/09-17-02-39/log,out/09-17-02-39/base_samples86,0,out/09-17-02-39/bit0_samples86,,0.114831385418501,F2:74:DC:8D:A8:94,2020-09-17 09:40:01,c5741004-8365-4a57-bd4a-50df2be3601a,out/09-17-02-39/bit1_samples86,,No
09-17-02-39-66,1,66,3d64bc26-ed2e-43b5-b049-4ad2dc514cd1,2020-09-17 09:39:23,1,66,out/09-17-02-39/log,out/09-17-02-39/base_samples66,0,out/09-17-02-39/bit0_samples66,,0.316893625251918,F6:A9:C7:24:17:15,2020-09-17 09:40:01,ed1a804f-b761-49a0-a4d6-e380c83ec2e5,out/09-17-02-39/bit1_samples66,,No
09-17-02-39-75,1,75,c65ce7a0-9058-44e5-8f33-6e57b7c15337,2020-09-17 09:39:23,1,75,out/09-17-02-39/log,out/09-17-02-39/base_samples75,0,out/09-17-02-39/bit0_samples75,,0.302808316715284,3E:E7:51:A6:43:59,2020-09-17 09:40:01,23dbb388-87d3-4567-a2aa-4ac6ac883416,out/09-17-02-39/bit1_samples75,,No
09-17-02-39-3,1,3,39f81fb0-f026-4c75-81c2-e81c7e6c5a47,2020-09-17 09:39:23,1,3,out/09-17-02-39/log,out/09-17-02-39/base_samples3,0,out/09-17-02-39/bit0_samples3,,0.280794943184205,F6:D9:E2:D3:A4:32,2020-09-17 09:40:01,739f5bef-6d9d-4f03-9fa8-dd8dea99e1af,out/09-17-02-39/bit1_samples3,,No
09-17-02-39-74,1,74,0d5467dc-4318-4fd6-9ea0-cb60f1fcd27e,2020-09-17 09:39:23,1,74,out/09-17-02-39/log,out/09-17-02-39/base_samples74,0,out/09-17-02-39/bit0_samples74,,0.625324239619086,42:F5:73:99:A0:42,2020-09-17 09:40:01,1a02676b-cc60-45b2-b366-49ee023cde34,out/09-17-02-39/bit1_samples74,,No
09-17-02-39-91,1,91,5362c4eb-9d37-47c5-bcb4-5d779c802c60,2020-09-17 09:39:23,1,91,out/09-17-02-39/log,out/09-17-02-39/base_samples91,0,out/09-17-02-39/bit0_samples91,,0.320469533266274,8E:CD:A8:D4:AA:10,2020-09-17 09:40:01,8d63cd37-72d5-4065-aff3-13c2107e29f5,out/09-17-02-39/bit1_samples91,,No
09-17-02-39-38,1,38,7a6226bd-5c69-435b-b604-73729752a6f2,2020-09-17 09:39:23,1,38,out/09-17-02-39/log,out/09-17-02-39/base_samples38,0,out/09-17-02-39/bit0_samples38,,0.610596109494367,66:F6:98:27:59:27,2020-09-17 09:40:01,36f4411a-b203-4c5e-a81a-da354d639c2c,out/09-17-02-39/bit1_samples38,,No
09-17-02-39-14,1,14,e9508ac5-386e-472a-86e2-40740bfd6a39,2020-09-17 09:39:23,1,14,out/09-17-02-39/log,out/09-17-02-39/base_samples14,0,out/09-17-02-39/bit0_samples14,,0.887088412604018,EE:73:07:81:2D:38,2020-09-17 09:40:01,abebcb6f-e7e9-49a2-874e-4dcfd7e557cd,out/09-17-02-39/bit1_samples14,,No
