Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address
1,39,e4271c29-bc29-463a-8262-18d609db0e45,2020-09-10 22:20:58,a5c919e2-8b3a-4baa-adbe-b9760508d376,2020-09-10 22:19:27,3,39,39,46,out/09-10-15-19/log,out/09-10-15-19/base_samples39,out/09-10-15-19/bit1_samples39,out/09-10-15-19/bit0_samples39,-3.81365692364683,,1.006316085166,7A:6C:3F:B2:86:0B
1,16,7f60204a-4835-45af-a12b-05558e662f49,2020-09-10 22:20:57,c326a695-3bc6-4d26-aefe-720ee56c7f6f,2020-09-10 22:19:27,3,16,16,16,out/09-10-15-19/log,out/09-10-15-19/base_samples16,out/09-10-15-19/bit1_samples16,out/09-10-15-19/bit0_samples16,0,,1.00045667725275,12:40:7E:9B:04:E2
1,75,79c13f48-9209-4299-8c36-99caea1ff5be,2020-09-10 22:20:58,4c276ad5-7bf0-4abf-965b-a88cf0cea65f,2020-09-10 22:19:27,3,75,75,75,out/09-10-15-19/log,out/09-10-15-19/base_samples75,out/09-10-15-19/bit1_samples75,out/09-10-15-19/bit0_samples75,0,,1.00323106562394,3E:CC:18:B4:6C:CA
1,54,a421ba33-61ca-4fe4-82a6-f08ae3a1ec81,2020-09-10 22:20:57,54a70e26-bf0e-459f-968a-d9302cec3faf,2020-09-10 22:19:27,3,54,54,54,out/09-10-15-19/log,out/09-10-15-19/base_samples54,out/09-10-15-19/bit1_samples54,out/09-10-15-19/bit0_samples54,0,,1.00695633658106,CE:00:CF:9B:4A:C1
1,33,25e28f8a-85b8-45e0-bc4c-63520b74c5ff,2020-09-10 22:20:58,b5b92a9c-ab27-4488-911d-da2ef6318b7b,2020-09-10 22:19:27,3,33,33,36,out/09-10-15-19/log,out/09-10-15-19/base_samples33,out/09-10-15-19/bit1_samples33,out/09-10-15-19/bit0_samples33,-1.68584064239385,,1.00000514703811,56:41:6F:40:FE:3C
1,94,6e2a57cb-ef6d-4e9a-8684-264a7de4f99b,2020-09-10 22:20:57,724b8a91-a0d6-4e24-8f09-4181972c36db,2020-09-10 22:19:27,3,94,94,94,out/09-10-15-19/log,out/09-10-15-19/base_samples94,out/09-10-15-19/bit1_samples94,out/09-10-15-19/bit0_samples94,0,,1.00421058820222,32:91:34:46:09:5E
1,50,9006f98e-75e5-41bc-b36b-b76e40e723ef,2020-09-10 22:20:57,1b9c86b1-598c-4bc1-8211-6ce9b5988bef,2020-09-10 22:19:27,3,50,50,50,out/09-10-15-19/log,out/09-10-15-19/base_samples50,out/09-10-15-19/bit1_samples50,out/09-10-15-19/bit0_samples50,0,,1.00267430794937,F2:67:5B:DE:75:18
1,21,92fe5119-ce88-498a-a1f2-a207bd9c952c,2020-09-10 22:20:58,6475bc57-f8f2-4705-872e-5c020f8bdc83,2020-09-10 22:19:27,3,64,64,66,out/09-10-15-19/log,out/09-10-15-19/base_samples21,out/09-10-15-19/bit1_samples21,out/09-10-15-19/bit0_samples21,-1.33701275305512,,1.00939948898742,1E:31:FE:9B:95:39
1,73,b98d224c-084d-44e2-87b1-c61b8c88cfd5,2020-09-10 22:20:58,cf22ecca-e0f0-49a5-a7c0-50956d05601d,2020-09-10 22:19:27,3,73,73,73,out/09-10-15-19/log,out/09-10-15-19/base_samples73,out/09-10-15-19/bit1_samples73,out/09-10-15-19/bit0_samples73,0,,1.00053036348113,46:41:BB:33:FA:2A
1,12,923e1227-6636-447b-95f1-7c041e45787f,2020-09-10 22:20:57,cdc9c17a-d4d7-4dac-8776-467a61d5c10c,2020-09-10 22:19:27,3,12,12,12,out/09-10-15-19/log,out/09-10-15-19/base_samples12,out/09-10-15-19/bit1_samples12,out/09-10-15-19/bit0_samples12,0,,1.00046931084654,56:66:EF:FC:A1:B8
1,1,8846d095-6b43-4b69-a28a-8305277a877a,2020-09-10 22:20:58,ad0c0791-da16-41b6-97fc-0144aee5c1ae,2020-09-10 22:19:27,3,1,1,1,out/09-10-15-19/log,out/09-10-15-19/base_samples1,out/09-10-15-19/bit1_samples1,out/09-10-15-19/bit0_samples1,0,,1.00003522404181,9E:CB:D0:59:79:82
1,18,b80219ef-20c1-4490-a65d-769cd40827d4,2020-09-10 22:20:57,4e9100e9-03ee-404c-a3f9-09ac369ba1e9,2020-09-10 22:19:27,3,18,18,18,out/09-10-15-19/log,out/09-10-15-19/base_samples18,out/09-10-15-19/bit1_samples18,out/09-10-15-19/bit0_samples18,0,,1.00011550589412,C6:4F:56:C9:76:B6
1,74,4661a53f-2e72-4806-88b5-bba4b9ef96cb,2020-09-10 22:20:57,08fb6691-3897-43a8-916b-c1f323bd6ac6,2020-09-10 22:19:27,3,74,74,74,out/09-10-15-19/log,out/09-10-15-19/base_samples74,out/09-10-15-19/bit1_samples74,out/09-10-15-19/bit0_samples74,0,,1.01860466399575,C6:94:14:91:F3:FD
1,68,b9d44c9b-bf42-49db-8785-470f777bddad,2020-09-10 22:20:57,dc5553d3-af56-4db7-905d-4a958374e7b5,2020-09-10 22:19:27,3,68,68,68,out/09-10-15-19/log,out/09-10-15-19/base_samples68,out/09-10-15-19/bit1_samples68,out/09-10-15-19/bit0_samples68,0,,1.00112729114099,7E:6E:00:63:A9:D2
1,62,b135781e-4bf8-4d5b-9686-3a841ef1aeae,2020-09-10 22:20:57,57c019cc-d735-403c-b9c4-c3cf2ae74fda,2020-09-10 22:19:27,3,62,62,62,out/09-10-15-19/log,out/09-10-15-19/base_samples62,out/09-10-15-19/bit1_samples62,out/09-10-15-19/bit0_samples62,0,,1.00671410751596,2E:81:30:66:40:C4
1,10,489a7d36-5e15-4652-a636-6228f5578f56,2020-09-10 22:20:57,233a0558-fe3f-42fa-b747-98a17eb07c93,2020-09-10 22:19:27,3,10,10,12,out/09-10-15-19/log,out/09-10-15-19/base_samples10,out/09-10-15-19/bit1_samples10,out/09-10-15-19/bit0_samples10,-4.38924261750157,,1.00531034410948,A6:74:BF:8E:EE:B2
1,15,16cd55db-e47c-477c-b9f2-9ef3431d0097,2020-09-10 22:20:58,2a34c175-67cf-4425-bea5-9ff3e30ea201,2020-09-10 22:19:27,3,15,15,15,out/09-10-15-19/log,out/09-10-15-19/base_samples15,out/09-10-15-19/bit1_samples15,out/09-10-15-19/bit0_samples15,0,,1.01338119552824,CE:52:95:E5:D5:0B
1,4,c909c510-0bff-40b8-88a1-0bfb2339e006,2020-09-10 22:20:57,51f8cc36-520f-40c4-bcfb-bb852802959f,2020-09-10 22:19:27,3,4,4,4,out/09-10-15-19/log,out/09-10-15-19/base_samples4,out/09-10-15-19/bit1_samples4,out/09-10-15-19/bit0_samples4,0,,1.00267706411339,62:C7:9F:7C:95:BD
1,90,2389a887-b100-4320-bf7a-fd10c966980f,2020-09-10 22:20:57,29882d9d-488e-4828-a660-5bb564223a2c,2020-09-10 22:19:27,3,90,90,90,out/09-10-15-19/log,out/09-10-15-19/base_samples90,out/09-10-15-19/bit1_samples90,out/09-10-15-19/bit0_samples90,0,,1.00000333354022,76:E6:D2:E4:45:52
1,43,b0a3b935-9aa5-4628-a15a-cb2a31bdd2a3,2020-09-10 22:20:58,a9fff8d8-f7c2-4398-ba08-3047f2883518,2020-09-10 22:19:27,3,43,43,43,out/09-10-15-19/log,out/09-10-15-19/base_samples43,out/09-10-15-19/bit1_samples43,out/09-10-15-19/bit0_samples43,0,,1.00499959454458,7A:61:9F:E6:78:C1
1,19,9a427790-b8ad-4741-a146-405d93202017,2020-09-10 22:20:58,65f04a4f-f643-4406-8b4a-db7e74712967,2020-09-10 22:19:27,3,19,19,19,out/09-10-15-19/log,out/09-10-15-19/base_samples19,out/09-10-15-19/bit1_samples19,out/09-10-15-19/bit0_samples19,0,,1.00000019695637,D2:FB:B4:80:17:3D
1,80,7a8d3621-6d84-407c-b9a7-3b4e47a1b4a9,2020-09-10 22:20:57,cd9d57f1-3134-4d46-891c-739818d7a0f2,2020-09-10 22:19:27,3,80,80,80,out/09-10-15-19/log,out/09-10-15-19/base_samples80,out/09-10-15-19/bit1_samples80,out/09-10-15-19/bit0_samples80,0,,1.00395035570819,72:A9:13:DB:28:41
1,48,fc4f988a-0d2f-4f77-b01b-886683efcdc5,2020-09-10 22:20:57,2b8bc87f-21e0-4072-a897-695083d95df3,2020-09-10 22:19:27,3,49,48,48,out/09-10-15-19/log,out/09-10-15-19/base_samples48,out/09-10-15-19/bit1_samples48,out/09-10-15-19/bit0_samples48,-363.283784183967,,1.00659039919582,72:C8:D1:F8:1A:CB
1,32,0613d188-5b89-46ef-a5cc-14146b5658bf,2020-09-10 22:20:57,6366bcc7-9be8-49b5-8f24-bfe6cbb0e0a0,2020-09-10 22:19:27,3,32,32,32,out/09-10-15-19/log,out/09-10-15-19/base_samples32,out/09-10-15-19/bit1_samples32,out/09-10-15-19/bit0_samples32,0,,1.01314571916019,CE:B3:10:63:5C:BF
1,100,d700b172-c6db-4338-a0d0-cb36abbe304a,2020-09-10 22:20:57,c85c1b6b-db50-409f-9055-d62b724b7ec4,2020-09-10 22:19:27,3,100,100,100,out/09-10-15-19/log,out/09-10-15-19/base_samples100,out/09-10-15-19/bit1_samples100,out/09-10-15-19/bit0_samples100,0,,1.00017255822598,AA:0F:91:7F:48:9C
1,72,ca622f32-6bce-4620-81c3-3e5aa983c846,2020-09-10 22:20:57,65e25add-5cd3-409e-88e0-7e345887461c,2020-09-10 22:19:27,3,72,72,72,out/09-10-15-19/log,out/09-10-15-19/base_samples72,out/09-10-15-19/bit1_samples72,out/09-10-15-19/bit0_samples72,-14.429841263161,,1.00022709561104,F2:95:C1:71:43:0A
1,46,a328f6b8-d0ea-484b-ac20-959bf9226bd6,2020-09-10 22:20:57,88f34679-b167-4e25-9425-edbd67cf8b18,2020-09-10 22:19:27,3,46,46,46,out/09-10-15-19/log,out/09-10-15-19/base_samples46,out/09-10-15-19/bit1_samples46,out/09-10-15-19/bit0_samples46,0,,1.00636386823504,66:C6:D9:23:B8:F6
1,78,d47c0d79-f782-4095-bcb5-22800fbb3d87,2020-09-10 22:20:57,7c734a92-7fee-40b2-b3dd-f060aa46aa88,2020-09-10 22:19:27,3,78,78,78,out/09-10-15-19/log,out/09-10-15-19/base_samples78,out/09-10-15-19/bit1_samples78,out/09-10-15-19/bit0_samples78,0,,1.0000811787382,FE:A0:8B:12:86:76
1,61,bf0d1d17-c533-4330-b72c-54784e8d739e,2020-09-10 22:20:58,424447ef-d3f2-4d6d-b016-3e267d3598d3,2020-09-10 22:19:27,3,80,61,62,out/09-10-15-19/log,out/09-10-15-19/base_samples61,out/09-10-15-19/bit1_samples61,out/09-10-15-19/bit0_samples61,-0.198154791114178,,1.00132396309537,9E:29:86:F1:D2:97
1,35,a9e9c80f-b2b6-45d7-bf01-a056b635eb41,2020-09-10 22:20:58,9a966201-2b11-4ae0-918c-aebbc272b99b,2020-09-10 22:19:27,3,35,35,48,out/09-10-15-19/log,out/09-10-15-19/base_samples35,out/09-10-15-19/bit1_samples35,out/09-10-15-19/bit0_samples35,-6.73322424400144,,1.00572257924679,92:76:D6:99:E3:A4
1,77,ef833194-7bdb-4e52-9a5e-1a2ffaa6c382,2020-09-10 22:20:58,1f759bb2-2bd9-44de-885e-be4ed8b058d6,2020-09-10 22:19:27,3,77,77,77,out/09-10-15-19/log,out/09-10-15-19/base_samples77,out/09-10-15-19/bit1_samples77,out/09-10-15-19/bit0_samples77,0,,0.301422214240666,16:E2:AE:54:D8:8F
1,27,28fc716f-fcd8-4330-b009-ca7e3e719179,2020-09-10 22:20:58,46ca69e0-396b-4c2f-af6a-c0a2086ab3d1,2020-09-10 22:19:27,3,27,27,27,out/09-10-15-19/log,out/09-10-15-19/base_samples27,out/09-10-15-19/bit1_samples27,out/09-10-15-19/bit0_samples27,0,,1.00231427156996,9A:BD:1B:48:9E:F2
1,82,91f0909f-540c-4a89-8b08-93b6fb451c14,2020-09-10 22:20:57,ece09de7-35a1-46e2-93b7-52039e516b54,2020-09-10 22:19:27,3,82,82,82,out/09-10-15-19/log,out/09-10-15-19/base_samples82,out/09-10-15-19/bit1_samples82,out/09-10-15-19/bit0_samples82,-4.02116794646816,,1.00000279710554,D6:4B:24:7A:F9:E4
1,49,020593e1-90b1-4efb-92e4-7dc8b387139b,2020-09-10 22:20:58,7a6beffe-4303-45c9-91f2-5a05077c606d,2020-09-10 22:19:27,3,49,49,49,out/09-10-15-19/log,out/09-10-15-19/base_samples49,out/09-10-15-19/bit1_samples49,out/09-10-15-19/bit0_samples49,0,,1.00354180825313,52:F3:4A:4F:7B:5C
1,24,f2057e4a-30b6-44fc-86d4-9f117b0177d1,2020-09-10 22:20:57,aea531ca-4b14-4d0d-9247-44aebd610cd3,2020-09-10 22:19:27,3,24,24,24,out/09-10-15-19/log,out/09-10-15-19/base_samples24,out/09-10-15-19/bit1_samples24,out/09-10-15-19/bit0_samples24,0,,1.00049335585045,96:42:66:09:47:8A
1,83,d3179e91-43b0-463f-b4bf-a2cc854589fc,2020-09-10 22:20:58,4476cb18-5efc-45e4-8915-dea76aae8c34,2020-09-10 22:19:27,3,83,83,84,out/09-10-15-19/log,out/09-10-15-19/base_samples83,out/09-10-15-19/bit1_samples83,out/09-10-15-19/bit0_samples83,-8.40580442157664,,1.00064612485784,6A:9B:18:60:AF:D6
1,79,ee187abb-5978-4d39-a4aa-5fe3f0318e07,2020-09-10 22:20:58,01fdd63f-1f02-4815-9c5a-c33d0800c3aa,2020-09-10 22:19:27,3,79,79,79,out/09-10-15-19/log,out/09-10-15-19/base_samples79,out/09-10-15-19/bit1_samples79,out/09-10-15-19/bit0_samples79,0,,1.0063090359208,0E:75:65:9A:D8:92
1,60,5764c7e7-6c5c-40e7-928f-d2bcee9ccbf7,2020-09-10 22:20:57,8a084975-c7e0-4921-8d90-3ea79a3fce3f,2020-09-10 22:19:27,3,60,60,60,out/09-10-15-19/log,out/09-10-15-19/base_samples60,out/09-10-15-19/bit1_samples60,out/09-10-15-19/bit0_samples60,0,,1.0043958792153,2A:9C:83:67:D7:11
1,86,b351d09a-e3be-416e-b2e8-43821834b090,2020-09-10 22:20:57,aa6625dc-f3b3-4402-92b9-cf5164874f14,2020-09-10 22:19:27,3,86,86,86,out/09-10-15-19/log,out/09-10-15-19/base_samples86,out/09-10-15-19/bit1_samples86,out/09-10-15-19/bit0_samples86,0,,1.01379070930421,46:B4:58:80:44:D0
1,8,1d43987d-c8dd-4788-aec7-a723aac2e745,2020-09-10 22:20:57,9977f6c2-894a-43cc-a06b-4fb1419fd29a,2020-09-10 22:19:27,3,8,8,8,out/09-10-15-19/log,out/09-10-15-19/base_samples8,out/09-10-15-19/bit1_samples8,out/09-10-15-19/bit0_samples8,0,,1.00461447795207,7E:E5:CC:5F:BC:0A
1,56,f33f2b1e-ce67-427e-8f4b-80effd311c3b,2020-09-10 22:20:57,dd632585-2b19-49dc-949a-f447a6ce5298,2020-09-10 22:19:27,3,56,56,56,out/09-10-15-19/log,out/09-10-15-19/base_samples56,out/09-10-15-19/bit1_samples56,out/09-10-15-19/bit0_samples56,0,,1.0042419607471,2A:F6:6B:AF:52:B0
1,69,285de14a-7411-41f6-9172-5b819f6910da,2020-09-10 22:20:58,0a6418b8-e479-4a89-a029-5a59fe7891e0,2020-09-10 22:19:27,3,69,69,69,out/09-10-15-19/log,out/09-10-15-19/base_samples69,out/09-10-15-19/bit1_samples69,out/09-10-15-19/bit0_samples69,0,,1.00124227859005,42:E2:1A:2D:76:AA
1,88,1c596349-c5b0-4773-b36d-e44c433b2440,2020-09-10 22:20:57,b51a488e-91fc-4693-8c09-88c77518f2d0,2020-09-10 22:19:27,3,88,88,88,out/09-10-15-19/log,out/09-10-15-19/base_samples88,out/09-10-15-19/bit1_samples88,out/09-10-15-19/bit0_samples88,0,,1.0022126955747,76:D5:61:9F:39:5B
