Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-20-13-49/log,de3bc103-18b7-451e-a5c7-14a209405e1e,E2:33:B2:B9:EB:DE,197,197,197,197,5,2020-08-20 20:50:08,197,2020-08-20 20:51:17,197,72f6a6f5-613e-41fc-b74c-755b8f6b735d,1,,-,-
out/08-20-13-49/log,277b2777-4f97-4123-a38c-3d0a8c9b6089,E6:B4:03:67:B9:23,193,193,193,193,5,2020-08-20 20:50:06,193,2020-08-20 20:51:17,193,ee1a9cc8-21de-437d-8b13-677939ac9173,1,,-,-
out/08-20-13-49/log,a7e42ca7-4152-4870-a206-c5a91914bb5b,26:34:32:B5:B6:65,617,617,775,617,5,2020-08-20 20:49:57,769,2020-08-20 20:51:17,617,1b0dc68e-6d97-4df9-a42c-d2303db31a61,1,,-,-
out/08-20-13-49/log,f9858d5f-edf5-4a9c-a6cc-016ed9f1eb8b,86:F5:3E:60:0B:D6,672,681,649,609,5,2020-08-20 20:50:10,904,2020-08-20 20:51:16,582,82588cc8-1445-4d7f-b8ca-7f7a18151a18,1,,-,-
out/08-20-13-49/log,1c345583-820f-44aa-926b-f6b04a12d251,92:C3:5C:BB:C0:15,618,618,618,618,5,2020-08-20 20:50:13,618,2020-08-20 20:51:16,618,0bca2f6b-3f99-49c2-a028-a89137184131,1,,-,-
out/08-20-13-49/log,c9f3dac4-c706-4cc7-8015-bcce765b7bb5,BE:49:8D:09:E3:55,795,796,948,795,5,2020-08-20 20:50:21,952,2020-08-20 20:51:17,795,ff795a44-694c-466a-ac6a-619271d4ecd5,1,,-,-
out/08-20-13-49/log,6a864908-d912-4f2c-8f09-a5bbf4eb7cf0,52:EB:EA:C2:CF:7C,471,471,471,471,5,2020-08-20 20:50:20,471,2020-08-20 20:51:17,471,3ad34c88-3d19-414e-97b3-44872b8e523f,1,,-,-
out/08-20-13-49/log,07bb8a86-0bc5-4ce1-a43d-8ec64aae18d6,06:E7:5D:79:4E:86,773,773,773,773,5,2020-08-20 20:50:19,773,2020-08-20 20:51:17,773,cf7f42c5-f35f-4aed-9be8-40b05792ea76,1,,-,-
out/08-20-13-49/log,720bde29-fa52-4da9-b599-796503e22aca,06:94:F0:2A:78:9B,370,370,376,370,5,2020-08-20 20:50:02,370,2020-08-20 20:51:16,370,971e5c0b-6a34-4a0c-a2c0-589f9737a98d,1,,-,-
out/08-20-13-49/log,18b284c3-9630-4a8e-9c1d-702e573f65ed,72:40:71:3C:DF:09,577,577,577,577,5,2020-08-20 20:50:19,577,2020-08-20 20:51:17,577,beaf8483-3545-4513-bc9e-c3c547866609,1,,-,-
out/08-20-13-49/log,da538fa8-c2c8-4fd8-a80e-a4024c000da2,56:9E:45:83:FB:B0,678,678,678,678,5,2020-08-20 20:49:57,678,2020-08-20 20:51:16,678,0cd74724-ac56-495b-964c-72630f72c207,1,,-,-
out/08-20-13-49/log,ad037996-44e2-40e0-bf3c-3c8168b1825b,C6:EE:FB:F0:FC:54,758,758,758,758,5,2020-08-20 20:50:21,758,2020-08-20 20:51:16,758,9295ffaf-ed0f-466d-9c6f-ef86e3268f56,1,,-,-
out/08-20-13-49/log,4da191be-83a4-4582-a627-038699ae91fd,56:7E:B6:91:24:24,496,496,496,496,5,2020-08-20 20:50:11,496,2020-08-20 20:51:16,496,f7765db6-99bf-45f8-a95f-5597fc192dc2,1,,-,-
out/08-20-13-49/log,2b4fe39f-7e91-4969-8e5d-75b72dff8824,52:54:6F:AB:FB:67,512,670,603,591,5,2020-08-20 20:50:22,644,2020-08-20 20:51:16,498,45028e84-5c69-4364-9dbd-decf13900073,1,,-,-
out/08-20-13-49/log,d8b98ecc-49da-4b34-9829-1210a7d31df1,16:3C:69:47:9C:EF,441,441,441,441,5,2020-08-20 20:50:08,441,2020-08-20 20:51:17,441,3cd9f4f4-88e4-4521-961f-ef0cfbe124a7,1,,-,-
out/08-20-13-49/log,6d618625-682f-4b80-b3a2-24e134c7bdbf,0E:E6:DD:26:03:25,175,175,175,175,5,2020-08-20 20:49:58,175,2020-08-20 20:51:17,175,b547fec8-b1ab-4c64-8097-a7dbf79c6220,1,,-,-
out/08-20-13-49/log,bfb7b809-7427-447b-811a-58c901cf9f81,E2:B2:24:CC:F5:31,614,614,614,614,5,2020-08-20 20:50:13,614,2020-08-20 20:51:16,614,03ffbf88-b7d3-4656-b992-a13280abeda9,1,,-,-
out/08-20-13-49/log,c03300b0-4efe-4b9b-861a-a65e6398934a,A2:CD:02:D6:50:C0,713,713,713,713,5,2020-08-20 20:49:57,713,2020-08-20 20:51:17,713,32fd8f76-69b1-4f47-a4a2-32b8ebf52482,1,,-,-
out/08-20-13-49/log,7e4e1ac5-ac89-439d-b4ad-8c5377e8c39b,02:EE:22:64:02:F6,329,329,329,329,5,2020-08-20 20:50:07,329,2020-08-20 20:51:17,329,eb7377fe-d8c3-44a5-82c9-2618930c8d71,1,,-,-
out/08-20-13-49/log,34dc0fad-c3d8-4b9c-a5dc-2212d67fef18,A2:E8:B6:AF:09:FE,426,426,426,426,5,2020-08-20 20:50:24,426,2020-08-20 20:51:16,426,a647000d-608d-49f1-a071-ad63dab41b42,1,,-,-
out/08-20-13-49/log,4e53932e-44e2-4b46-a7d8-9b82b468ceeb,6E:A3:AB:1C:C4:06,928,952,936,952,5,2020-08-20 20:50:09,952,2020-08-20 20:51:17,235,0164f9b5-0fcd-4ce8-a918-9b63e7e2053b,1,,-,-
out/08-20-13-49/log,c4c454a8-deb7-4055-97e3-f903777037b1,32:4D:D5:CA:EF:9E,642,642,642,642,5,2020-08-20 20:50:21,642,2020-08-20 20:51:16,642,7ad8ccaa-a2c4-4c99-b512-335cf4da1a1e,1,,-,-
out/08-20-13-49/log,24e9bd1d-9606-41c6-bf51-a8242e27e61f,32:36:1E:FB:85:96,502,760,502,632,5,2020-08-20 20:50:14,617,2020-08-20 20:51:16,502,11378a2a-49ee-4af8-b30c-b93c23482cc4,1,,-,-
out/08-20-13-49/log,bee43f0e-18e5-4d0a-bad2-c3150f8c4e90,BA:5B:FA:03:33:46,125,125,125,125,5,2020-08-20 20:50:01,125,2020-08-20 20:51:17,125,7edb663b-7b7e-4397-8cf7-ddc0e0a830ed,1,,-,-
out/08-20-13-49/log,99ee6e44-4e74-43eb-aa89-48a0d76de322,72:CA:23:58:69:B0,241,241,241,241,5,2020-08-20 20:50:09,241,2020-08-20 20:51:17,241,bc8d3c50-36c8-482a-8940-61bf85377e30,1,,-,-
out/08-20-13-49/log,f847e224-082c-4321-80e6-0f714eeaef1b,E2:AC:AE:7A:37:99,85,85,85,85,5,2020-08-20 20:50:02,85,2020-08-20 20:51:17,85,b5f9f782-de07-47e5-9b23-14027ee3d100,1,,-,-
out/08-20-13-49/log,7f333b5b-3d4f-4d0b-b315-a885464506cd,76:23:9C:20:92:DE,458,458,458,458,5,2020-08-20 20:50:22,458,2020-08-20 20:51:16,458,ede97f42-2320-44ff-8e41-d93de386c6b0,1,,-,-
out/08-20-13-49/log,763fbc65-8148-4448-85cd-8c440815c2a1,16:91:3B:40:4B:16,966,966,1008,966,5,2020-08-20 20:50:02,1000,2020-08-20 20:51:16,966,8192c85b-1782-4d03-a879-6baec6baa5c3,1,,-,-
out/08-20-13-49/log,c5efecdb-b6e8-4ed1-862c-8e3464cfeae3,F2:4E:C3:68:46:E7,389,389,389,389,5,2020-08-20 20:49:57,389,2020-08-20 20:51:17,389,e2dd39a4-5263-414f-94cc-0953a9ca3d25,1,,-,-
out/08-20-13-49/log,79789879-3be4-442f-b1a8-f8d930e1f418,82:63:40:19:48:38,507,507,507,507,5,2020-08-20 20:50:09,507,2020-08-20 20:51:17,507,8e30d680-b6f1-4928-8438-4d79a1c4a9ae,1,,-,-
out/08-20-13-49/log,da7acf35-c050-4bbf-a442-165277e1793c,46:00:CE:EC:C9:EF,888,888,888,888,5,2020-08-20 20:49:57,888,2020-08-20 20:51:16,888,339f1ce4-fcb0-4d9e-be97-b2f90fc52b3e,1,,-,-
out/08-20-13-49/log,32ad1c66-16ce-4cd2-9476-bf22a638051d,DE:52:29:76:FE:7E,996,976,976,976,5,2020-08-20 20:49:58,976,2020-08-20 20:51:16,976,3af477d3-b93f-4522-860b-d96229a8de6a,1,,-,-
out/08-20-13-49/log,fc6908e3-5837-4e56-a6fe-42841b8f260d,86:81:D0:A4:65:53,305,305,305,305,5,2020-08-20 20:50:08,305,2020-08-20 20:51:17,305,6f190f1f-7516-423a-b0cd-097023add9d9,1,,-,-
