Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
604,82,0,0,1958,6622,4639,1959,15061,92675,1.061025425882629,8439
557,75,0,2,1999,11848,228064,1932,20290,286132,1.002078939947679,8442
2808,452,0,5,1943,7320,10417,1924,15763,138638,1.017971888618116,8443
1601,238,0,8,2000,6669,4232,1947,15114,161065,1.016976890483724,8445
401,53,0,8,1975,6111,3262,2000,14603,98443,1.110981879467795,8492
1432,206,0,2,1951,6547,4213,1945,15043,153781,1.018468375674633,8496
811,115,0,0,2000,6347,4396,2000,14848,138526,1.053266232620959,8501
1116,158,0,6,1959,7006,5347,1993,15508,225743,1.016821038351156,8502
680,93,0,5,2000,6537,4890,1969,15044,48875,1.305366353626924,8507
1023,146,0,0,1948,6291,3745,1955,14804,72127,1.101380085652663,8513
2442,384,0,0,2000,6873,4805,1931,15386,189796,1.01048515527269,8513
1420,204,0,4,2000,6667,4780,2000,15182,75083,1.206487296979198,8515
2069,313,0,4,1994,6758,9918,1960,15285,82211,1.078704847716426,8527
1943,293,0,6,1957,6404,3760,1951,14932,82400,1.072630774180955,8528
2315,355,0,4,1921,6611,9981,1943,15148,114415,1.032754479581238,8537
1543,227,0,0,2000,6668,4666,2000,15206,101572,1.104451819015597,8538
2256,345,0,1,1937,11654,228593,1954,20198,49636,1.006737996820718,8544
2822,455,0,5,2000,12158,227005,1980,20703,21438,1.018931524587838,8545
1985,300,0,0,1945,6570,4203,2000,15128,86444,1.150822658335012,8558
2605,411,0,2,1981,6659,5398,2000,15239,89939,1.137985798403088,8580
1626,244,0,0,1981,6713,4868,1923,15311,102641,1.034595749226414,8598
2590,408,0,1,2000,6774,4889,1957,15390,50127,1.243835682536021,8616
681,93,0,7,2000,6537,4890,1976,15175,68823,1.157834845747044,8638
1525,224,0,0,1947,6589,4460,1953,15259,119667,1.035217248281111,8670
1460,211,0,0,2000,6599,4486,2000,15270,111312,1.088538167642828,8671
4,1,0,3,1991,6546,4317,2000,15252,69838,1.260915479187498,8706
1884,285,0,1,1982,6907,4917,2000,15643,99795,1.114160297078866,8736
2332,358,0,7,1995,11688,226743,2000,20431,341684,1.003475209424675,8743
2174,331,0,2,2000,6580,5200,1960,15328,14870,-1.265567957489345,8748
2564,403,0,2,1893,6252,3820,1983,15006,114320,1.060703569240502,8754
715,99,0,2,1969,6777,5461,2000,15552,102576,1.108308970196425,8775
355,47,0,6,2000,6282,3704,2000,15060,79556,1.194629734809684,8778
2901,472,0,2,2000,6772,4898,2000,15587,88495,1.152638390528161,8815
2539,398,0,5,1945,6175,3549,2000,15010,17727,-0.508638054149143,8835
2178,331,0,7,2000,6580,5200,1958,15432,120435,1.038523367665477,8852
124,16,0,1,2000,7134,9274,1973,15987,127930,1.041282286506735,8853
2346,361,0,4,1995,6685,4572,1943,15556,141559,1.023354512113291,8871
2730,435,0,2,2000,7022,11333,1948,15893,136257,1.026227173096186,8871
626,85,0,0,2000,6464,4225,1979,15347,162129,1.028317015022698,8883
1085,154,0,4,2000,6619,5041,1964,15520,81323,1.096665194454638,8901
948,135,0,8,1976,6552,4708,1992,15461,86130,1.13836852031284,8909
2172,331,0,0,2000,6580,5200,1950,15521,167314,1.018237766685168,8941
1966,296,0,7,2000,6856,8638,1963,15831,147327,1.027738813610329,8975
1276,181,0,6,1960,6811,9114,2000,15789,103186,1.110586688949196,8978
2295,352,0,4,1945,6681,5045,1943,15707,90857,1.060443666921668,9026
1983,299,0,7,2000,6590,4550,1947,15619,131349,1.029495680243641,9029
792,112,0,1,1976,6220,3179,1983,15257,42610,1.764460724217779,9037
608,82,0,4,1958,6622,4639,1995,15664,189500,1.02838402920414,9042
1519,222,0,5,1997,6576,4642,1956,15660,34610,1.788518578519585,9084
914,131,0,1,2000,6914,5493,1984,16005,152418,1.036575754328703,9091
782,110,0,0,1983,6570,4380,2000,15678,225264,1.022489261671062,9108
2001,302,0,4,2000,6718,4404,2000,15880,138430,1.062499910282044,9162
931,133,0,3,1994,6515,3955,1983,15679,114237,1.067011252162276,9164
1529,224,0,4,1947,6589,4460,1931,15762,24344,2.992797298935852,9173
2607,411,0,6,1981,6659,5398,1987,15834,147060,1.042330424661295,9175
1087,154,0,6,2000,6619,5041,1983,15806,112510,1.069422373558633,9187
2550,400,0,4,1996,6442,3599,1932,15630,90615,1.05640481857185,9188
2834,458,0,0,2000,6462,4174,2000,15650,188994,1.032831378089919,9188
263,34,0,6,2000,6619,4532,2000,15808,118163,1.088254726948911,9189
644,87,0,8,2000,6848,10010,1952,16080,108585,1.047531691505067,9232
2698,428,0,0,2000,6581,4781,2000,15814,46875,2.026973271777712,9233
2446,384,0,4,2000,6873,4805,2000,16108,152552,1.051762080532267,9235
416,56,0,2,1993,6641,6223,1978,15884,20920,-2.590123809579977,9243
2316,355,0,7,1921,6611,9981,1924,15854,239482,1.007224710322347,9243
2676,423,0,6,1976,6524,4266,1944,15789,104990,1.047837953533301,9265
114,14,0,6,2000,6907,8509,1958,16175,135860,1.03280395240938,9268
1032,147,0,3,1892,6826,10606,2000,16097,102482,1.119287294357783,9271
1795,271,0,4,1908,6553,5143,2000,15848,179911,1.037194174296062,9295
1194,169,0,7,1966,6424,4221,1992,15773,137187,1.056061147847997,9349
1355,194,0,1,2000,6524,4553,1999,15878,174542,1.039269630787551,9354
2634,416,0,2,1948,6637,7462,1956,16057,81119,1.097242363762694,9420
245,32,0,3,2000,11434,226267,1907,20869,264870,1.002713176615038,9435
1203,170,0,6,1979,6899,4897,2000,16335,26730,-1.923992583888908,9436
973,138,0,6,2000,6824,5196,1956,16272,133929,1.034550858954816,9448
481,65,0,3,1974,6584,4431,1988,16038,139690,1.05117040421316,9454
117,15,0,4,2000,6620,7539,1951,16077,81870,1.090293850169012,9457
1123,160,0,0,2000,6267,3640,2000,15726,151498,1.055317057384162,9459
515,69,0,5,1934,6990,6181,2000,16522,235457,1.022523661363923,9532
2243,343,0,0,1981,6905,5304,1987,16460,160725,1.03831664630313,9555
2774,446,0,6,2000,7435,11322,1974,16997,238006,1.013865323360352,9562
2399,372,0,5,1991,6350,5941,1981,15915,94536,1.10614039593272,9565
1547,227,0,4,2000,6668,4666,2000,16237,159667,1.05070148865195,9569
