Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-12-23-59/log,09-12-23-59-274,,158cfb9a-422f-4e51-a86e-2fda3b466ad3,76:45:4A:A9:BA:98,274,1,2020-09-13 06:59:33,2020-09-13 07:00:41,274,b3173fc3-2688-4189-92b4-d7a249dd6e04,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-254,,b85ecf8f-35bb-4a38-93ff-e812e2cb5a45,22:F1:4C:90:CD:D7,254,1,2020-09-13 06:59:33,2020-09-13 07:00:41,254,52883799-b1ed-4091-b360-f6ab575c9f41,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-166,,a826a403-ac52-4a3b-88ec-72096122eb6f,22:CE:A0:05:DA:70,166,1,2020-09-13 06:59:33,2020-09-13 07:00:41,166,a5bc9f8c-5003-4205-9814-10f90e44e138,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-497,,fb0d6cc6-ee7d-460f-b720-c967e7c403e8,8A:CD:2B:DF:6C:A6,497,1,2020-09-13 06:59:33,2020-09-13 07:00:41,497,a4e08af1-a46e-4f29-8a5b-29d7e4b6b3d7,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-405,,97d579a2-891e-4fae-991e-f524bf94667d,EA:7B:8D:4C:6F:FB,405,1,2020-09-13 06:59:33,2020-09-13 07:00:41,405,09d9e2b8-d454-455b-be5a-a3ddfae43190,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-183,,0355e3a1-72e1-4015-b8e4-7c6351eb02dd,0A:27:85:35:CA:84,183,1,2020-09-13 06:59:33,2020-09-13 07:00:41,183,8eb08d7b-09d5-4b80-9d7d-6592e351e4e5,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-276,,a51627ec-82da-4240-9340-1cb26226a85c,E2:B7:C5:53:52:C0,276,1,2020-09-13 06:59:33,2020-09-13 07:00:41,276,63108de7-2442-4b05-9356-167ae225acd3,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-58,,9145d569-3941-4ef6-b85c-0b9560a4ecef,9E:3E:23:47:A8:79,58,1,2020-09-13 06:59:33,2020-09-13 07:00:41,58,35d96494-f2c6-4154-bcc2-981185a7e32d,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-180,,5767bf33-eb4a-4603-b684-379549499c91,2A:2D:71:1C:99:5E,180,1,2020-09-13 06:59:33,2020-09-13 07:00:41,180,406b7d6e-b6d5-40da-a4a3-a9790c088bf5,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-311,,f4e5f55b-2eaa-4d1c-861e-79a108c9a595,B6:FF:25:CE:37:92,311,1,2020-09-13 06:59:33,2020-09-13 07:00:41,311,9d01e30b-5d9c-4ee1-a4b1-84055fb5d04b,1,,-,-,-,No
