Logs,Predecessors,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-12-01-16/log,,77fdebfb-320b-4628-bd76-d79feffa2ba8,AA:6D:B5:E4:F4:26,736,1,2020-09-12 08:17:04,2020-09-12 08:17:52,736,a7d6c4ce-e80b-4b7b-81ec-0d9462d1ef0f,1,,-,-,-,No
out/09-12-01-16/log,,c8d1b02d-95f6-4dbc-8f29-d94154e913f6,C6:E3:B0:8D:14:A4,70,1,2020-09-12 08:16:42,2020-09-12 08:17:51,70,a01e615b-c134-4796-b100-ee50e75c005e,1,,-,-,-,No
out/09-12-01-16/log,,83c5b206-29e3-4712-81f6-48b2b8377c35,6E:D7:A4:FD:3E:8C,324,1,2020-09-12 08:16:43,2020-09-12 08:17:51,324,285b1746-6ba9-4091-9998-ee8842aae864,1,,-,-,-,No
out/09-12-01-16/log,,9c405e26-8311-46fc-b322-f54c9060b08b,92:03:B8:51:4B:AD,868,1,2020-09-12 08:16:48,2020-09-12 08:17:51,868,8c5e0371-1241-461c-a3fc-6b15607d8769,1,,-,-,-,No
out/09-12-01-16/log,,cb1e0104-a37d-4a1d-84a2-f41eb7d2758d,56:CA:93:A2:F9:78,407,1,2020-09-12 08:16:42,2020-09-12 08:17:51,407,acf0a7d3-b6d1-4e2a-8256-5e33a98aeb6c,1,,-,-,-,No
out/09-12-01-16/log,,3b4539af-4ce9-4a0d-bb62-a5250f7c534c,D6:05:CF:3B:AA:7D,725,1,2020-09-12 08:16:50,2020-09-12 08:17:51,725,3a8cca4a-f321-40d7-a50b-028ba871d427,1,,-,-,-,No
out/09-12-01-16/log,,38e66b20-2f28-4c04-8f0b-c77413e53b2e,9E:1B:47:C1:59:5A,376,1,2020-09-12 08:16:46,2020-09-12 08:17:51,376,0955ed02-fa11-4727-94db-9dcde1e1dece,1,,-,-,-,No
out/09-12-01-16/log,,8bf7a83d-15ef-49d2-9ce4-9bc6c7e5498e,A6:9B:0B:4D:BA:1D,344,1,2020-09-12 08:16:42,2020-09-12 08:17:51,344,2edf7936-73d6-4d30-ac71-a6bee868b81a,1,,-,-,-,No
out/09-12-01-16/log,,7c38fbcc-e182-43c8-8b8f-5cfeeae2f551,D6:EB:02:36:5C:D5,852,1,2020-09-12 08:17:01,2020-09-12 08:17:51,852,020912ed-e1cc-42a1-a17b-496c7952e414,1,,-,-,-,No
out/09-12-01-16/log,,3af06f65-e628-45f2-a498-a2734059b649,EA:08:26:AD:62:F1,446,1,2020-09-12 08:16:52,2020-09-12 08:17:51,446,8ce9e7a7-ba73-4a2c-82c7-78fd4b3e1f6b,1,,-,-,-,No
out/09-12-01-16/log,,515f9585-3666-4f88-a9c7-95616303d005,2E:2D:CA:AB:A8:33,716,1,2020-09-12 08:17:02,2020-09-12 08:17:51,716,1cb4aa20-b37c-44e8-b455-bd590107593e,1,,-,-,-,No
out/09-12-01-16/log,,9b004ea5-781d-499b-9de4-d9ca385bafd6,06:15:08:BB:AF:55,281,1,2020-09-12 08:16:42,2020-09-12 08:17:51,281,ff0f9909-c0d0-4a77-bd7d-5c4ba20424a4,1,,-,-,-,No
out/09-12-01-16/log,,e6339e64-224d-4efd-bb2b-258055d8a6bf,3A:C8:7D:37:BD:E1,193,1,2020-09-12 08:16:42,2020-09-12 08:17:51,193,8c78991b-f021-4c50-80b9-b363abf10413,1,,-,-,-,No
out/09-12-01-16/log,,be2e2798-da36-4e0e-9776-d7ec2315126d,AE:C0:F6:5E:BE:05,899,1,2020-09-12 08:16:52,2020-09-12 08:17:51,899,91d68a57-3c1b-479c-a081-0ac69ace918f,1,,-,-,-,No
out/09-12-01-16/log,,c0729baa-236b-4610-9eb5-93a700a7d539,42:00:58:D2:73:0B,688,1,2020-09-12 08:16:52,2020-09-12 08:17:51,688,bd32b8d1-dc9e-414c-85ff-0403de65cffd,1,,-,-,-,No
out/09-12-01-16/log,,852a9deb-b0db-45df-b0f7-f22a095aba7e,52:E8:8E:A1:B2:9B,156,1,2020-09-12 08:16:42,2020-09-12 08:17:51,156,e505dc99-3fca-4bb2-a36e-444e6d1b0f35,1,,-,-,-,No
