textPayload,insertId,resource.type,resource.labels.function_name,resource.labels.region,resource.labels.project_id,timestamp,severity,labels.execution_id,logName,trace,receiveTimestamp
Address:  0xc0001024fd,000001-8166a615-3fde-49d5-bbc5-c24dc4bc25de,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:25.830Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Total average cycles spent:  3647,000000-5104b24c-38e3-44d7-8432-fd564a469770,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:27.497Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Address:  0xc0001024fe,000001-8ffc7322-e529-46f8-8efb-10c922312d0c,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:27.497Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Total average cycles spent:  3759,000000-9c881d64-707c-4994-aad1-9c6c9ad56f7a,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:29.152Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Address:  0xc0001024ff,000001-9d0be7f6-7e48-4064-91bb-9fc424c32b3e,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:29.152Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Total average cycles spent:  3793,000000-c4355167-c5a6-4c7a-b74d-7217782a2366,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:30.857Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Address:  0xc000102500,000001-5b3993fb-81c2-4165-8c84-b0a36e318342,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:30.857Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Total average cycles spent:  33,000000-e2a6b6dc-bc90-4804-b97f-c5ad6d2b82b7,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:32.557Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Address:  0xc000102501,000001-4e412cf1-beaa-4548-bfe4-b8d5f286a5a6,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:32.557Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Total average cycles spent:  58,000000-656a7b03-93b9-4b6d-8787-3e847ae8234b,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:34.218Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Address:  0xc000102502,000001-fa1e1c53-fd07-4642-ad8b-852d1f9a316c,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:34.218Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Total average cycles spent:  34,000000-da3409df-3124-41a5-9eac-e119b5d286f6,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:35.898Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Address:  0xc000102503,000001-e9745e98-c3e9-4c66-becc-da7d522dbdcf,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:35.898Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Total average cycles spent:  53,000000-9c14c6c9-d20e-4923-8348-c2f7f657f125,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:37.587Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Address:  0xc000102504,000001-c8c47362-f10a-4719-9d44-36bb64c793cc,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:37.587Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Total average cycles spent:  52,000000-9818a71f-0f95-4453-986c-36228c72f8fa,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:39.258Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Address:  0xc000102505,000000-49470b6e-452d-423f-b5f0-5990c63cd21e,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:39.259Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Total average cycles spent:  53,000000-6e48c249-52fd-428f-8ef0-f8dfe00b7079,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:40.935Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Address:  0xc000102506,000001-0f6d9044-3b90-44d4-b25d-4380caf26085,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:40.935Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
Total average cycles spent:  33,000000-259a7969-a34a-4807-b3b6-f4406ae42279,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:42.643Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
"Function execution took 38606 ms, finished with status code: 200",000000-28ab1639-0cb1-4f55-8b37-1d11aabc4c4c,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:42.644255847Z,DEBUG,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:45.296086352Z
