Id,RefDist,ClusterDist
885,0.0,0.0
470,4.0,3.33
42,0.0,0.0
735,0.0,0.0
382,4.67,5.33
883,0.0,0.0
986,1.0,2.0
520,4.33,2.67
668,5.33,2.0
162,3.67,4.67
968,3.0,2.0
623,3.67,4.0
280,5.33,4.67
722,5.0,2.67
30,0.67,1.33
808,0.0,0.0
519,4.67,4.67
806,1.67,3.33
228,6.33,2.67
117,7.0,1.33
493,3.33,4.0
662,1.0,2.0
1000,0.33,0.67
545,4.67,4.0
187,5.67,5.33
166,4.67,4.0
699,3.0,4.0
922,3.33,2.0
335,1.0,2.0
457,2.33,3.33
783,5.67,2.0
285,2.67,2.0
794,1.33,2.67
592,0.0,0.0
461,3.33,4.67
350,6.67,4.0
329,4.0,5.33
730,3.33,4.0
193,5.33,0.67
308,4.67,3.33
781,5.67,3.33
906,3.0,4.0
426,2.67,5.33
78,5.0,2.67
546,6.0,3.33
878,0.0,0.0
138,5.33,6.67
148,5.33,4.0
984,0.0,0.0
107,5.0,3.33
674,0.0,0.0
950,1.67,3.33
476,4.67,2.67
251,1.0,2.0
208,2.33,3.33
267,5.67,6.0
232,5.33,5.33
625,3.67,4.0
621,4.0,5.33
963,3.0,4.0
338,4.0,5.33
168,2.33,0.67
795,5.0,4.67
542,2.67,4.0
240,4.0,3.33
459,7.33,2.67
679,5.0,5.33
733,4.67,5.33
539,4.0,2.0
244,6.0,2.67
340,2.33,2.67
900,3.67,2.67
49,4.33,3.33
403,4.67,4.67
348,2.33,0.67
249,0.0,0.0
12,0.0,0.0
326,3.33,4.67
696,3.0,4.0
327,5.67,4.0
202,3.33,0.67
336,2.33,2.67
985,2.33,2.67
93,1.0,2.0
449,5.33,4.67
304,3.67,2.0
947,1.33,2.67
211,4.33,4.67
516,2.0,2.67
374,3.33,4.0
2,4.0,6.0
154,5.67,3.33
731,3.33,4.67
391,5.0,3.33
957,1.67,3.33
129,3.67,4.67
684,5.33,5.33
921,3.67,2.67
913,0.0,0.0
412,0.0,0.0
50,5.67,3.33
821,3.33,4.67
231,3.67,4.0
658,1.0,2.0
116,0.0,0.0
184,3.0,4.67
875,0.0,0.0
648,3.67,4.67
515,5.0,2.67
261,5.33,5.33
646,4.33,4.0
725,1.0,2.0
990,2.33,3.33
29,0.0,0.0
372,7.67,2.0
175,6.33,5.33
466,1.0,2.0
397,5.67,2.0
732,1.33,2.67
826,2.33,4.0
706,2.67,4.0
463,2.0,4.0
887,1.67,3.33
356,6.67,3.33
505,5.0,3.33
556,3.0,1.33
613,5.67,4.67
140,3.67,2.67
762,4.0,5.33
550,3.67,5.33
209,2.0,3.33
526,5.67,3.33
581,0.0,0.0
967,4.67,0.67
18,5.0,2.67
498,5.0,1.33
570,3.67,3.33
260,3.33,2.67
188,6.0,4.0
355,2.67,3.33
815,3.67,4.0
157,6.0,2.0
849,0.0,0.0
724,2.67,4.67
787,5.0,3.33
3,5.67,3.33
859,5.33,3.33
966,3.0,2.0
897,0.0,0.0
492,5.0,4.67
495,4.67,5.33
441,1.33,2.0
836,2.33,2.67
853,2.0,4.0
435,3.0,4.0
536,3.67,5.33
965,0.67,1.33
844,1.67,2.0
945,0.67,1.33
983,0.0,0.0
578,4.67,3.33
207,5.67,5.33
416,3.67,2.0
670,0.0,0.0
22,5.67,4.0
215,4.33,6.0
221,5.67,3.33
353,0.67,1.33
239,5.67,5.33
349,4.67,3.33
704,3.67,4.0
354,3.67,5.33
171,4.33,4.67
701,3.67,4.0
139,7.0,2.67
64,2.0,4.0
288,2.67,4.67
465,3.0,3.33
73,4.33,3.33
440,2.33,2.67
474,4.67,2.67
507,2.0,4.0
346,3.0,3.33
718,4.67,3.33
736,3.0,2.67
120,6.0,3.33
220,0.0,0.0
528,3.67,4.0
974,0.0,0.0
330,3.67,4.0
661,3.0,4.0
447,4.67,2.0
484,0.33,0.67
630,2.33,4.67
612,0.0,0.0
316,2.0,4.0
652,3.0,1.33
864,4.33,0.67
559,2.0,4.0
224,0.0,0.0
840,2.67,2.0
552,5.33,5.33
928,2.67,2.0
155,3.67,4.67
300,2.0,2.67
96,3.0,4.0
845,2.67,4.67
751,2.33,4.67
453,3.0,2.67
71,3.67,4.67
433,1.67,2.67
35,6.0,5.33
189,0.0,0.0
101,6.33,2.0
721,2.67,4.0
825,2.0,2.67
812,0.0,0.0
782,2.33,3.33
227,6.0,5.33
16,3.67,3.33
160,3.0,5.33
835,3.0,3.33
884,0.0,0.0
262,4.33,3.33
737,1.67,3.33
919,2.67,4.0
850,4.67,2.67
566,4.67,5.33
405,2.67,4.0
409,2.67,2.67
714,1.33,2.67
196,3.33,4.0
739,1.67,3.33
958,0.0,0.0
734,0.0,0.0
717,0.0,0.0
279,5.33,4.67
408,4.0,2.67
962,1.0,2.0
88,6.0,2.0
999,0.0,0.0
423,5.0,4.0
867,4.0,1.33
677,4.33,3.33
599,3.0,4.67
675,0.67,1.33
989,4.0,2.67
817,2.33,4.0
938,4.33,3.33
868,0.0,0.0
568,4.33,4.0
553,3.33,0.67
216,0.0,0.0
895,0.0,0.0
689,4.0,2.67
952,2.33,3.33
385,6.33,2.67
918,3.33,2.67
424,1.67,2.67
807,3.33,4.67
533,1.33,2.0
246,6.0,4.67
375,7.67,3.33
905,3.33,3.33
834,0.0,0.0
939,3.0,0.0
995,0.0,0.0
283,4.33,2.0
31,6.0,1.33
468,4.67,4.67
538,5.33,4.0
156,4.0,2.67
635,0.0,0.0
210,4.0,5.33
379,3.33,4.67
89,1.0,2.0
109,5.67,3.33
639,4.33,4.67
866,2.67,4.0
946,2.67,3.33
773,3.0,4.0
981,1.67,3.33
145,3.0,2.67
563,4.67,6.0
591,3.33,5.33
172,4.67,2.67
339,4.67,6.67
406,5.0,2.0
473,1.67,3.33
631,6.67,2.0
400,6.0,3.33
381,3.33,4.0
839,4.67,3.33
680,4.0,4.0
389,6.33,3.33
513,3.33,3.33
768,5.33,0.67
137,6.0,3.33
749,3.0,4.67
238,5.0,5.33
649,3.0,2.0
263,7.67,0.67
573,4.0,4.0
695,0.0,0.0
131,1.0,2.0
136,1.0,2.0
472,2.0,4.0
197,3.33,5.33
451,2.33,3.33
469,5.0,3.33
898,2.67,3.33
163,3.67,4.0
656,3.67,3.33
651,3.67,2.0
759,0.0,0.0
487,4.0,5.33
683,3.33,4.0
365,6.0,3.33
429,5.67,5.33
399,6.67,4.67
23,3.67,2.67
102,6.0,3.33
173,3.33,4.67
331,3.67,2.67
979,0.0,0.0
79,0.0,0.0
40,5.0,3.33
123,8.33,2.67
976,1.67,3.33
407,4.33,6.0
74,4.33,2.67
306,5.0,4.67
482,0.0,0.0
971,0.0,0.0
152,6.0,4.0
618,3.67,4.0
769,2.67,3.33
524,5.0,3.33
716,3.0,4.67
610,4.67,3.33
678,3.33,2.67
617,3.33,3.33
103,6.67,0.67
413,4.0,5.33
640,5.33,4.0
792,3.33,3.33
334,2.67,4.0
236,3.67,4.67
518,5.0,3.33
147,5.0,4.67
936,0.0,0.0
753,0.0,0.0
693,0.0,0.0
422,5.67,3.33
28,4.33,2.67
838,3.33,4.0
970,2.0,3.33
595,2.33,3.33
841,0.0,0.0
772,0.33,0.67
420,3.33,3.33
254,4.0,4.67
33,0.0,0.0
201,5.67,5.33
700,4.0,4.0
880,3.33,3.33
654,0.0,0.0
512,2.33,2.67
276,4.67,2.67
750,0.0,0.0
811,5.0,2.67
650,4.67,2.0
532,5.0,3.33
964,0.33,0.67
893,5.67,3.33
376,6.0,3.33
767,5.67,2.67
720,5.67,0.67
764,4.0,3.33
705,5.0,5.33
655,3.33,4.67
847,4.67,4.67
554,1.67,2.67
225,5.67,4.67
428,3.67,4.67
930,3.33,2.67
302,6.0,4.0
558,5.33,1.33
380,0.0,0.0
882,0.0,0.0
