Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-21-23-17/log,09-21-23-17-14,,53864462-d0df-401f-bafa-a1ad55a4c784,32:0B:D7:C6:F5:4C,14,1,2020-09-22 06:17:42,2020-09-22 06:18:21,14,c32aae47-2714-40b3-8d71-d732dab010ee,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-23,,47be0a76-0a36-4ef3-8a55-9e923474daf0,7E:01:A4:6B:9D:BE,23,1,2020-09-22 06:17:42,2020-09-22 06:18:21,23,bf65b579-5384-407c-9790-85a72e2aac36,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-57,,8979167c-e53a-47a7-8e3a-98dda2e91717,0A:19:77:D8:81:76,57,1,2020-09-22 06:17:42,2020-09-22 06:18:21,57,a5acda6c-edf2-42ce-9dba-ea815bf9384f,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-46,,fe0eb173-e4ee-4ac5-8197-dd9334ee0524,56:B7:20:8A:D9:01,46,1,2020-09-22 06:17:42,2020-09-22 06:18:21,46,bdcca123-4f6b-4fe6-8302-014d9caf33ea,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-36,,7219502e-f294-4848-85d3-dac8fc62b29f,2A:2A:9B:34:05:39,66,1,2020-09-22 06:17:42,2020-09-22 06:18:21,36,de1b688b-96c7-43ed-89d0-1b2fe27a8457,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-10,,40ed49ed-03da-4b0a-8dc0-8d919f482d6b,1E:8F:C2:2B:BE:80,10,1,2020-09-22 06:17:42,2020-09-22 06:18:21,10,6c4f2b15-cc6e-4378-941e-17d44a978632,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-37,,c612d6fe-fb45-420c-9dce-1505697b0c8b,26:15:00:57:37:76,37,1,2020-09-22 06:17:42,2020-09-22 06:18:21,37,43f41bf5-2e3e-45f8-ade3-5f86b613b7fb,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-69,,ddf7e97a-9c0c-4331-963d-786d98173f56,92:AD:74:8A:09:58,106,1,2020-09-22 06:17:42,2020-09-22 06:18:21,69,57f69eea-5f50-4510-89da-b951120f060e,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-68,,eef67528-f8e6-4b89-bc2c-34b70d358b4e,96:56:5A:8C:80:7F,68,1,2020-09-22 06:17:42,2020-09-22 06:18:21,68,c914372b-2299-42c3-b984-f0b2036ce4cb,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-92,,b3d60f4a-1e20-4ab8-b8d3-903213269d32,D6:ED:DA:60:64:E7,92,1,2020-09-22 06:17:42,2020-09-22 06:18:21,92,cede4567-4f24-4fbd-9f3d-95003faecc7e,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-55,,53e69a86-6f8f-4073-b7fd-1ad34e4218f4,AE:A6:4D:49:28:03,55,1,2020-09-22 06:17:42,2020-09-22 06:18:22,55,1d2ff846-1701-4ffb-8f8e-d0dde146b8ef,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-60,,23284558-cccf-4d79-9e3a-ee6f3ca84d51,C2:FC:F0:B3:8F:1D,60,1,2020-09-22 06:17:42,2020-09-22 06:18:21,60,d10ddb32-e48b-4c0e-9750-60bf9c8b24ee,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-59,,8fede8cb-b84e-44d6-acc6-6f2ff026ff13,B2:66:63:8B:E4:B9,59,1,2020-09-22 06:17:42,2020-09-22 06:18:21,59,8157a593-df97-46ca-9c88-bd8f45434fb8,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-80,,2ff881c6-15ce-41cf-b245-5171754cc63b,CE:AC:B0:63:0C:E5,80,1,2020-09-22 06:17:42,2020-09-22 06:18:21,80,85a441e0-79f9-41ea-bf23-38dec62a7d67,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-90,,1cae2acd-8067-445e-95d2-9d2928ffa182,F2:BF:6E:9F:94:A6,90,1,2020-09-22 06:17:42,2020-09-22 06:18:21,90,a48aebed-b44b-4dd4-b45c-0336f5f42658,1,,-,-,-,No
out/09-21-23-17/log,09-21-23-17-35,,870f5c98-39c9-4b6e-83b5-de560925d6be,CA:C2:61:6A:A5:BE,41,1,2020-09-22 06:17:42,2020-09-22 06:18:21,35,5b3b2923-72ab-41a5-933b-ab9ca48fb791,1,,-,-,-,No
