Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration,Rdrand Latency,Rdrand Stdev,Contention Rdrand Latency,Contention Rdrand Stdev,Total Latency,Boot ID,Elapsed Time
1575937417843,2500.01,52:8f:bf:e7:bd:a4,90.00B,90.00B,5.56009316444397,2.5770092010498046e-05,7.1864866651622694e-06,2.877316474914551e-05,0.00020711689851665732,3.0030727386474636e-06,394afec7-be50-47cd-9f86-9de6068cda4f,1558757379
1575937417859,2500.01,be:38:ae:61:e9:88,90.00B,176.00B,5.548552513122559,2.5781297683715822e-05,8.305578016993177e-06,2.5595569610595702e-05,7.313840179914519e-06,-1.857280731201197e-07,24c8f283-0349-486d-8072-564dcb381de7,1558757379
1575937417935,2500.012,6a:0a:ae:af:c4:a6,90.00B,176.00B,5.5130228996276855,2.4705982208251952e-05,4.764054130976622e-06,2.471308708190918e-05,4.631528034878179e-06,7.104873657228639e-09,f7aff462-7829-49cc-b7be-d8a29cb0b416,1558757655
1575937417878,2500.006,26:7e:e7:e5:9d:0c,90.00B,90.00B,5.553094863891602,2.5675106048583984e-05,7.1436483022057635e-06,2.6053857803344726e-05,8.51386591629776e-06,3.787517547607421e-07,b4f88205-54ca-4661-a109-fedb7f2bbb9c,1558757564
1575937417870,2500.0,fa:88:65:a5:69:a9,180.00B,90.00B,5.575558423995972,2.526082992553711e-05,6.4256533132577095e-06,2.5125598907470703e-05,5.921916407926454e-06,-1.3523101806640618e-07,3249c54c-4464-4495-989b-e9385b76691e,1558757059
1575937417848,2500.012,f2:60:6a:49:8e:89,90.00B,90.00B,5.591126203536987,2.6848649978637696e-05,4.572820171134787e-05,2.8781032562255858e-05,0.00019512338166605245,1.9323825836181616e-06,8a80dba4-373c-4c1e-b335-f98d15a95252,1558757369
1575937417877,2500.006,ca:e1:99:bd:59:e1,176.00B,90.00B,5.550580978393555,2.5791740417480468e-05,9.08382326962135e-06,2.590503692626953e-05,8.551900378876223e-06,1.1329650878906273e-07,9dcbf613-d93b-4e35-a817-e4c5520dd075,1558757367
1575937417853,2500.0,5e:81:32:77:90:b9,180.00B,90.00B,5.566121578216553,2.5661563873291017e-05,6.72812558872134e-06,2.691936492919922e-05,9.244690363000031e-05,1.2578010559082025e-06,0026160f-ba1d-423e-b254-284503dbf77d,1558757298
1575937417964,2500.012,7e:6d:c2:8d:c6:ea,90.00B,90.00B,5.512183427810669,2.4672937393188476e-05,5.615030014944253e-06,2.4763250350952147e-05,4.668867477555626e-06,9.031295776367146e-08,d51b0d5a-2d3e-415e-a397-db5cf938bef9,1558757656
1575937417860,2499.994,fa:83:0e:25:cd:cf,180.00B,90.00B,5.579352378845215,2.679586410522461e-05,3.9653293433008924e-05,2.5971460342407225e-05,8.66150633301672e-06,-8.244037628173842e-07,7bacbf5b-544f-47fd-bb69-505357c3fcbe,1558757422
1575937417852,2500.006,8e:70:61:7d:34:55,90.00B,90.00B,5.575773239135742,2.700066566467285e-05,5.7532529102816116e-05,2.6243066787719726e-05,7.092925533205024e-06,-7.575988769531246e-07,3c867db5-3ef5-440d-a0d0-fbeca125d99c,1558757175
1575937417864,2500.0,52:24:00:db:f5:e1,90.00B,90.00B,5.588133335113525,2.6332855224609373e-05,6.958057579291749e-06,2.6481103897094727e-05,8.257717060801208e-06,1.4824867248535334e-07,b2191f96-e7dc-43a1-aafa-234688f248dc,1558757570
1575937417887,2500.002,fa:c3:f0:6a:78:f1,90.00B,90.00B,5.567088842391968,2.5739479064941405e-05,7.545909526749187e-06,2.5365257263183594e-05,6.657357806526295e-06,-3.742218017578111e-07,94bda6c6-0921-4077-b899-e882a2dbdfbf,1558757359
1575937417949,2500.012,e2:98:75:7a:ac:44,90.00B,90.00B,5.525423049926758,2.659902572631836e-05,5.7944965322742646e-05,2.5599813461303712e-05,6.177044977503863e-06,-9.99212265014649e-07,84ace472-5e4f-4d05-ae2d-0c29c7e333ee,1558757301
1575937417910,2500.01,72:b1:a7:94:dc:40,90.00B,90.00B,5.545603513717651,2.5787878036499023e-05,9.262925338962527e-06,2.496170997619629e-05,6.057577075923482e-06,-8.261680603027334e-07,f658c9d9-02a9-4e8f-b4e2-60865683f0a7,1558757179
1575937417860,2500.008,1a:bc:5b:35:7c:a2,90.00B,90.00B,5.565216064453125,2.5941944122314455e-05,1.3420875189066506e-05,2.6044940948486327e-05,1.0503081630093922e-05,1.0299682617187213e-07,7d8235e8-b26e-48cb-94de-70e7d0af33d1,1558757549
1575937417880,2500.0,aa:3d:43:0e:12:55,90.00B,90.00B,5.583543539047241,2.622237205505371e-05,7.877720431635073e-06,2.5820064544677735e-05,6.410907921099603e-06,-4.0230751037597577e-07,4ca21bd1-2425-4417-b5c4-2187387c1f82,1558757303
1575937417924,2500.01,ba:6c:79:08:1a:40,90.00B,90.00B,5.56714940071106,2.548370361328125e-05,6.928995295939464e-06,2.543039321899414e-05,5.226846652204617e-06,-5.3310394287107104e-08,f449b74b-a39c-460f-918a-741434e0a47d,1558757301
1575937417865,2500.01,52:d3:fd:4e:25:3f,90.00B,90.00B,5.584991216659546,2.5858688354492186e-05,6.538324046538155e-06,2.5666093826293944e-05,7.678258808885576e-06,-1.9259452819824226e-07,fa6a24bb-0921-4a28-822f-c390c34bf6eb,1558757436
1575937417940,2500.01,d6:55:c0:18:eb:1e,90.00B,90.00B,5.55080246925354,2.5481986999511718e-05,7.759764286631748e-06,2.5108671188354493e-05,6.822032286058365e-06,-3.733158111572256e-07,b2d9c2e1-97b1-4eb1-9d83-7a5a0e5e4aed,1558757317
