Logs,GUID,CPU CPI,Error,IP Address,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Predecessors,Bit-1 Sample,End Time,Boot ID,Base Sample,Bit-0 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-02-23-18/log,02-02-23-18-43,7.728133,,169.254.76.1,1,43,-,82:CE:0B:FF:6F:C1,f1d9405c-f896-4989-9716-09de2576e567,2021-02-03 07:18:15,20,1,43,-1,-1,02-02-23-12-12,-,2021-02-03 07:18:49,a0e0866b-4cc4-413a-b589-571111579381,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-72,8.239196,,169.254.76.1,1,72,24,86:1B:F2:02:E0:65,8b2f6c93-5ad9-407e-af70-d76352b15373,2021-02-03 07:18:15,30,2,72,60,-1,02-02-23-12-87,-,2021-02-03 07:19:08,9ac3d14e-e9fc-4a74-9286-fdcee45d61db,-,out/02-02-23-18/bit0_samples72,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-86,7.688786,,169.254.76.1,1,86,-,82:3A:65:C7:13:7F,6490c6bd-817b-4135-a632-ccd28b2720d9,2021-02-03 07:18:15,20,1,86,-1,-1,02-02-23-12-86,-,2021-02-03 07:18:49,4385f056-8a1a-4d23-a900-d615fd38f372,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-30,8.425383,,169.254.76.1,1,30,25,06:3A:E9:13:B7:47,4246346c-fce0-4ec7-925c-5611b9ea4e4e,2021-02-03 07:18:15,30,2,30,21,-1,02-02-23-12-45,-,2021-02-03 07:19:08,735ad581-5e9e-4b0b-b693-a502c82813b1,-,out/02-02-23-18/bit0_samples30,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-76,7.806497,,169.254.76.1,1,76,-,06:85:9F:F8:13:14,c5291fd3-384a-4132-805d-1a7df1637967,2021-02-03 07:18:15,20,1,76,-1,-1,02-02-23-12-52,-,2021-02-03 07:18:49,00a9a9f0-c002-4f9b-91e3-d2f66d406eff,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-46,7.872679,,169.254.76.1,1,46,26,16:94:8D:E6:2C:12,14379849-e8b6-459c-82e8-46c6b3045ea5,2021-02-03 07:18:15,30,2,46,12,-1,02-02-23-12-60,-,2021-02-03 07:19:08,99e5cda1-6279-43cb-8ee4-960d0883ebed,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-21,7.772274,,169.254.76.1,1,21,25,4E:DF:3F:E8:D7:D1,bc85aee5-d5b7-4efc-bf5b-26e4379487e7,2021-02-03 07:18:15,30,2,30,21,-1,02-02-23-12-92,out/02-02-23-18/bit1_samples21,2021-02-03 07:19:08,c0a62156-5b76-48be-9fc4-6719072ea630,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-37,7.735606,,169.254.76.1,1,37,-,82:16:2F:61:BB:92,fbcd667d-5987-447b-9096-706775fd35d4,2021-02-03 07:18:15,20,1,37,-1,-1,02-02-23-12-40,-,2021-02-03 07:18:49,603a16be-a273-4069-98a4-fc557b1e914e,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-89,7.968029,,169.254.76.1,1,89,15,0E:FD:61:4C:3C:C5,707cae98-954c-4748-8101-801f7daced42,2021-02-03 07:18:15,30,3,99,89,74,02-02-23-12-54,out/02-02-23-18/bit1_samples89,2021-02-03 07:19:08,9bf3030d-2b8f-4d52-936f-0f471b72e298,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-80,7.752717,,169.254.76.1,1,80,-,D2:D2:DB:9D:B2:C6,7e3d33a8-e801-4523-ae61-b8153e256955,2021-02-03 07:18:15,20,1,80,-1,-1,02-02-23-12-58,-,2021-02-03 07:18:49,d57337e8-b272-4120-b71b-dfb7112d4abb,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-3,7.774833,,169.254.76.1,1,3,-,3A:4A:10:19:10:FD,bb17b969-bbae-4f3b-9464-94fcd40766f5,2021-02-03 07:18:15,20,1,3,-1,-1,",02-02-23-12-48",-,2021-02-03 07:18:49,ed060c47-7671-4d4b-8cf9-5afa028287b3,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-54,7.921981,,169.254.76.1,1,54,-,62:66:89:BD:8D:8B,5573680c-737d-45c6-88ce-1caf7c949414,2021-02-03 07:18:15,30,3,99,89,74,02-02-23-12-56,-,2021-02-03 07:18:59,7bd1e1e3-8520-4b90-bfe0-7f7fa5cb11e1,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-67,7.879297,,169.254.76.1,1,67,16,CA:05:4B:A6:72:B2,8a385e30-4e59-4505-b0b4-a0952861b429,2021-02-03 07:18:15,30,3,67,19,5,02-02-23-12-20,-,2021-02-03 07:19:08,6504d955-055d-4751-8b0f-973ad5445fc4,-,out/02-02-23-18/bit0_samples67,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-33,7.936448,,169.254.76.1,1,33,13,AA:EC:79:FE:B6:51,ae175956-6751-47e3-81e7-6fee4421b29c,2021-02-03 07:18:15,30,2,33,31,-1,02-02-23-12-62,-,2021-02-03 07:19:08,0abf726b-1bef-40c6-8047-bdacaee9c6d8,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-87,7.726593,,169.254.76.1,1,87,-,CE:35:B0:17:BB:F4,0bef0d9d-c358-4e65-ae1b-a916e26f25e3,2021-02-03 07:18:15,20,1,87,-1,-1,02-02-23-12-11,-,2021-02-03 07:18:49,43fb16d3-b931-468e-850e-c7809ce409b9,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-60,7.825074,,169.254.76.1,1,60,24,0E:7B:1D:15:0C:E4,c02a479d-f20c-406e-bd6b-b8d5a0f63329,2021-02-03 07:18:15,30,2,72,60,-1,02-02-23-12-4,out/02-02-23-18/bit1_samples60,2021-02-03 07:19:08,50ffc4a0-ded6-4ef7-a19d-7ae555933d6a,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-63,7.703535,,169.254.76.1,1,63,-,86:D1:28:74:E9:28,b7a532a9-5e8a-4a80-91cf-aa8645d55ec2,2021-02-03 07:18:15,20,1,63,-1,-1,02-02-23-12-64,-,2021-02-03 07:18:49,b7c3c276-be5a-487d-977d-470eee09580e,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-65,7.890101,,169.254.76.1,1,65,27,22:37:1B:63:9B:43,ed7cfe74-961e-427c-9d7b-6ad7ac535045,2021-02-03 07:18:15,30,2,65,28,-1,02-02-23-12-25,-,2021-02-03 07:19:08,7b05a893-397d-4f4e-bf37-9cab6f85ebb4,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-66,7.962682,,169.254.76.1,1,66,12,0E:E3:F0:EA:64:95,6bc311a2-9d4c-47b2-b0b8-902d262b368b,2021-02-03 07:18:15,30,2,66,32,-1,02-02-23-12-63,-,2021-02-03 07:19:08,c5f43640-b584-4880-97b8-1abb5c728ece,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-83,7.768077,,169.254.76.1,1,83,-,66:01:D0:A6:68:DB,c1bdee0f-33a6-4aa9-bbc4-1f0bb04d175f,2021-02-03 07:18:15,20,1,83,-1,-1,02-02-23-12-37,-,2021-02-03 07:18:49,28041aac-dca8-44d4-87ca-433c5387a2de,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-20,7.642686,,169.254.76.1,1,20,-,5E:39:B5:C4:31:B8,0642b740-09ae-4e61-8400-9ad4061d90a8,2021-02-03 07:18:15,20,1,20,-1,-1,02-02-23-12-78,-,2021-02-03 07:18:49,ee79b821-cee1-4e4d-a364-dcfb1eb58eab,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-74,7.845910,,169.254.76.1,1,74,-,F6:54:75:C5:67:D5,6d669842-0506-4ea5-bf4c-3b9a5fd38943,2021-02-03 07:18:15,30,3,99,89,74,02-02-23-12-41,-,2021-02-03 07:18:59,69f64020-3577-4e24-a670-0a4f93d452fb,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-44,7.843874,,169.254.76.1,1,44,-,C6:60:E4:6B:FD:23,3cfe6371-0c70-44d6-93b0-fa1171f2fa65,2021-02-03 07:18:15,30,3,99,89,74,02-02-23-12-77,-,2021-02-03 07:18:59,a9afac3c-5bcb-42c2-b2c7-91fde023d79a,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-71,7.821201,,169.254.76.1,1,71,22,E6:BE:DD:A2:1A:B3,c1a6bc68-9b01-4776-8cc1-2a3f307869ba,2021-02-03 07:18:15,30,2,71,13,-1,02-02-23-12-61,-,2021-02-03 07:19:08,32ccd4c8-4fa8-4984-863c-6e9b7128053e,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-64,7.774493,,169.254.76.1,1,64,20,86:B1:C1:7C:72:6A,b56fe4b3-d56f-4adb-b853-25233928fe59,2021-02-03 07:18:15,30,2,64,50,-1,02-02-23-12-2,-,2021-02-03 07:19:08,e19a40ff-7ae8-4294-b7da-9c36df6532b2,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-26,7.936424,,169.254.76.1,1,26,-,A2:E6:51:8F:1F:F2,6fa55762-d19c-457c-adf3-e2d9d070c02c,2021-02-03 07:18:15,20,1,26,-1,-1,02-02-23-12-97,-,2021-02-03 07:18:49,c6b58385-b37c-41a7-9435-48053c86e5b9,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-28,7.973627,,169.254.76.1,1,28,27,8E:5D:16:1F:49:DB,46cbae38-1d9a-4b9d-86ff-58c950451f26,2021-02-03 07:18:15,30,2,65,28,-1,02-02-23-12-74,out/02-02-23-18/bit1_samples28,2021-02-03 07:19:08,ad19fa1e-cdf0-4d75-8df5-d54480e647b3,-,-,Yes,DEFAULT,-,-
out/02-02-23-18/log,02-02-23-18-29,7.843150,,169.254.76.1,1,29,14,6E:A0:7B:9A:9A:18,97185def-25c5-4238-a829-b241155cb431,2021-02-03 07:18:15,30,2,62,29,-1,02-02-23-12-76,out/02-02-23-18/bit1_samples29,2021-02-03 07:19:08,cbb990d4-eff6-4098-a559-62910d506552,-,-,Yes,DEFAULT,-,-
