GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-10-12-03-332,1,332,a66b93bf-5472-4c52-b70e-759421e17fe4,2020-10-10 19:05:34,c1181a19-7aa4-4749-a307-3ee2f2eeb106,2020-10-10 19:03:36,3,984,984,984,out/10-10-12-03/log,out/10-10-12-03/base_samples332,,out/10-10-12-03/bit1_samples332,out/10-10-12-03/bit0_samples332,8.85404758176758,,0.902783266145254,C6:75:02:4D:70:E1,No,017371402075
10-10-12-03-759,1,759,50b79485-cc8f-4376-ac27-81f8841af998,2020-10-10 19:05:34,3f9f2f91-94ea-4bb2-b967-0588d75e2300,2020-10-10 19:03:40,3,825,825,825,out/10-10-12-03/log,out/10-10-12-03/base_samples759,,out/10-10-12-03/bit1_samples759,out/10-10-12-03/bit0_samples759,5.85693834016446,,0.280022792822299,66:52:35:20:E9:E4,No,017371402075
10-10-12-03-515,1,515,5c0b773c-fc3a-4658-a374-a78bd6a92e40,2020-10-10 19:05:34,6fd62cdd-3757-42ea-b32e-0bfefd7e0498,2020-10-10 19:03:36,3,966,966,966,out/10-10-12-03/log,out/10-10-12-03/base_samples515,,out/10-10-12-03/bit1_samples515,out/10-10-12-03/bit0_samples515,8.28310358208616,,0.0814482693498702,9A:13:8E:DF:F3:38,No,017371402075
10-10-12-03-875,1,875,acc95e29-2e05-4fb4-b945-8f4c8108dfbf,2020-10-10 19:05:34,f563add2-a115-417d-91d7-dfe1d4e27334,2020-10-10 19:03:42,3,876,876,876,out/10-10-12-03/log,out/10-10-12-03/base_samples875,,out/10-10-12-03/bit1_samples875,out/10-10-12-03/bit0_samples875,6.11976028354052,,0.172992685479597,D2:25:DF:E3:44:A2,No,017371402075
10-10-12-03-924,1,924,042188fd-a07b-4ffa-b169-febaf35bac14,2020-10-10 19:05:34,fb54af23-e527-40e3-b6d0-ee4ffd3c3407,2020-10-10 19:03:44,3,924,924,924,out/10-10-12-03/log,out/10-10-12-03/base_samples924,,out/10-10-12-03/bit1_samples924,out/10-10-12-03/bit0_samples924,0,,0.398558841834837,42:61:C6:23:10:21,No,017371402075
10-10-12-03-602,1,602,a4f6445e-b028-48ae-89b0-a24fae5839f3,2020-10-10 19:05:34,75cf5d13-932d-4820-b083-eb2b5eca9852,2020-10-10 19:03:43,3,824,824,824,out/10-10-12-03/log,out/10-10-12-03/base_samples602,,out/10-10-12-03/bit1_samples602,out/10-10-12-03/bit0_samples602,6.22288437128031,,0.140275787762819,1E:8B:AF:8C:DC:3C,No,017371402075
10-10-12-03-590,1,590,fdced4b8-e287-41ae-88e1-4c0f822ab149,2020-10-10 19:05:34,b0959cc7-c727-47a5-bb27-5e723376a3cd,2020-10-10 19:03:41,3,984,984,984,out/10-10-12-03/log,out/10-10-12-03/base_samples590,,out/10-10-12-03/bit1_samples590,out/10-10-12-03/bit0_samples590,8.52341132165647,,0.821740299902191,0E:65:24:F3:37:2C,No,017371402075
10-10-12-03-82,1,82,7a1138b3-4ae2-4caf-91af-cb00ce0e20a4,2020-10-10 19:05:34,ab3715ba-4197-403c-b593-f1deeb8c6398,2020-10-10 19:03:36,3,992,992,992,out/10-10-12-03/log,out/10-10-12-03/base_samples82,,out/10-10-12-03/bit1_samples82,out/10-10-12-03/bit0_samples82,7.57414266206386,,0.669195293357136,FA:6A:FC:9E:B7:1A,No,017371402075
10-10-12-03-537,1,537,ed6b38ce-cad9-474c-9780-a9604480c5ce,2020-10-10 19:05:34,a452c020-78ce-4ad5-a297-625c4bfa87a2,2020-10-10 19:03:42,3,965,965,965,out/10-10-12-03/log,out/10-10-12-03/base_samples537,,out/10-10-12-03/bit1_samples537,out/10-10-12-03/bit0_samples537,7.60375866623884,,0.733949400684367,26:E7:8F:1F:07:D1,No,017371402075
10-10-12-03-782,1,782,eec01424-5c0d-4fcb-add4-759b67ca345e,2020-10-10 19:05:34,0e87b7be-3e18-4383-ba03-ed1a1e63c2d1,2020-10-10 19:03:44,3,975,975,975,out/10-10-12-03/log,out/10-10-12-03/base_samples782,,out/10-10-12-03/bit1_samples782,out/10-10-12-03/bit0_samples782,7.37512006932927,,0.262611791548896,AE:98:CE:90:D5:C7,No,017371402075
