In,Start Time,Node Name,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575690055089,169.254.145.21,2500.004,12:3f:e6:e4:95:16,90.00B,90.00B,24.150285005569458,18.138333320617676
Both,1575690055047,169.254.107.181,2500.008,0e:e4:38:e1:76:84,90.00B,90.00B,24.205224990844727,18.192453622817993
Both,1575690054984,169.254.158.237,2500.002,f2:4d:47:63:62:b2,90.00B,176.00B,24.270872592926025,18.2579562664032
Both,1575690054997,169.254.205.77,2500.002,4a:aa:aa:3f:b5:30,90.00B,90.00B,24.257625102996826,18.245455980300903
Both,1575690055110,169.254.38.13,2500.01,06:70:62:05:ec:91,90.00B,90.00B,24.148259162902832,18.1357479095459
Both,1575690054996,169.254.179.157,2500.012,7e:52:35:c7:2b:bd,90.00B,90.00B,24.26238489151001,18.250196933746338
Both,1575690055059,169.254.35.45,2500.004,a6:b6:22:7e:9e:f1,90.00B,90.00B,24.195398330688477,18.183475255966187
Both,1575690055094,169.254.107.245,2500.008,4e:31:38:0a:1c:30,90.00B,90.00B,24.16293978691101,18.15129327774048
Both,1575690054994,169.254.203.45,2500.006,16:11:36:c5:62:8f,90.00B,90.00B,24.27457022666931,18.262168407440186
Both,1575690055065,169.254.100.109,2500.002,a6:7e:46:70:ee:ea,176.00B,90.00B,24.220402479171753,18.208368062973022
Both,1575690055116,169.254.35.61,2500.004,d2:02:97:3c:32:ca,176.00B,90.00B,24.185725212097168,18.17300581932068
Both,1575690055053,169.254.98.245,2500.01,42:e9:4d:d3:08:02,90.00B,176.00B,24.249415397644043,18.236970901489258
Both,1575690055093,169.254.108.181,2500.008,0a:e2:88:50:cd:07,90.00B,90.00B,24.212786436080933,18.20003628730774
Both,1575690055077,169.254.100.125,2500.002,de:56:5e:66:dd:6e,90.00B,90.00B,24.227003574371338,18.215020895004272
Both,1575690055048,169.254.179.165,2500.012,32:e9:c9:6d:1b:19,176.00B,90.00B,24.258419513702393,18.246124029159546
Both,1575690055049,169.254.161.29,2500.002,ea:50:53:e0:7c:75,90.00B,90.00B,24.25897526741028,18.24530792236328
Both,1575690055072,169.254.204.221,2500.006,a6:2e:f9:aa:67:e9,90.00B,90.00B,24.289366006851196,18.27656626701355
Both,1575690055073,169.254.204.109,2500.006,6e:a7:a3:c8:cc:90,90.00B,90.00B,24.290396213531494,18.278083324432373
Both,1575690055122,169.254.162.221,2500.002,1a:45:43:03:39:24,90.00B,180.00B,24.254435300827026,18.2418110370636
Both,1575690055086,169.254.100.141,2500.002,82:1a:8a:5c:68:23,90.00B,90.00B,24.29557204246521,18.283751249313354
Both,1575690055125,169.254.162.229,2500.002,f2:0b:0c:82:0d:d1,90.00B,90.00B,24.267151355743408,18.25511860847473
Both,1575690055063,169.254.122.229,2500.006,86:0b:c8:b7:83:9b,90.00B,90.00B,24.33553409576416,18.323306560516357
Both,1575690055130,169.254.100.157,2500.002,32:77:9c:41:b1:8a,180.00B,90.00B,24.286697387695312,18.274917602539062
Both,1575690055289,169.254.102.165,2500.006,92:f2:c7:ba:c6:b9,90.00B,180.00B,24.15786647796631,18.1459379196167
Both,1575690055140,169.254.180.133,2500.012,ce:d1:dd:95:90:df,90.00B,90.00B,24.324806690216064,18.312817335128784
Both,1575690056386,169.254.108.189,2500.01,2e:4f:df:6d:b1:90,90.00B,90.00B,23.610766649246216,17.599000930786133
