Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration,Rdrand Latency,Rdrand Stdev,Contention Rdrand Latency,Contention Rdrand Stdev,Total Latency,Boot ID,Elapsed Time
1575937477279,2500.002,da:3f:11:32:33:58,90.00B,90.00B,5.595870018005371,2.5703144073486327e-05,1.1940743042491296e-05,2.5378751754760743e-05,5.535003735339897e-06,-3.243923187255838e-07,7759a50e-efdc-42e0-aa56-fe0057fc189e,1558757454
1575937477310,2499.994,8a:5d:9e:ac:ff:f7,90.00B,90.00B,5.557274103164673,2.5311899185180665e-05,5.4730796116188965e-06,2.548370361328125e-05,6.794415506632069e-06,1.7180442810058364e-07,445ece28-fec0-4a1a-9691-defdb14f4c47,1558757303
1575937477278,2500.002,22:04:80:d9:93:91,90.00B,90.00B,5.607850074768066,2.6015520095825196e-05,1.1569340722724847e-05,2.578458786010742e-05,6.590020540712544e-06,-2.3093223571777564e-07,319fc901-d2d5-4339-ae99-deaa3101e661,1558757457
1575937477280,2500.01,b6:48:5f:04:a5:87,90.00B,90.00B,5.6035895347595215,2.611079216003418e-05,1.4149786088677224e-05,2.5517845153808594e-05,8.58929428185585e-06,-5.929470062255847e-07,ae7b0605-18e5-4ef4-a746-202a33224182,1558757218
1575937477399,2500.01,92:ea:d0:a1:56:34,90.00B,90.00B,5.516950845718384,2.550859451293945e-05,5.454386567757324e-06,2.6869392395019533e-05,8.553075166821246e-05,1.3607978820800814e-06,7ac8bba3-def1-4654-9b0c-f756a5d1dc0c,1558757651
1575937477403,2500.008,1a:68:03:ad:bc:a3,90.00B,90.00B,5.536300420761108,2.536473274230957e-05,4.806070264268243e-06,2.4947881698608397e-05,4.977726927213838e-06,-4.1685104370117276e-07,2953b9de-506b-46cb-961a-c674f786823e,1558757566
1575937477388,2500.01,72:b1:a7:94:dc:40,90.00B,90.00B,5.529240608215332,2.5079774856567383e-05,5.583008361637038e-06,2.4841403961181642e-05,3.795699209383779e-06,-2.383708953857406e-07,f658c9d9-02a9-4e8f-b4e2-60865683f0a7,1558757179
1575937477304,2500.046,3e:c1:85:31:5e:eb,90.00B,176.00B,5.576293468475342,2.559385299682617e-05,7.013073752335917e-06,2.556591033935547e-05,8.495813493088665e-06,-2.7942657470702377e-08,9e79f561-f32a-4a69-808d-a60c35de6861,1558757140
1575937477393,2500.01,d2:17:58:31:38:d0,180.00B,90.00B,5.538621664047241,2.516155242919922e-05,5.293692272514464e-06,2.547311782836914e-05,5.839019435681747e-06,3.115653991699208e-07,5a7168ea-223f-4149-965a-67fb1aed0616,1558757308
1575937477402,2500.012,46:5b:4c:fc:de:19,90.00B,90.00B,5.551494598388672,2.5773286819458008e-05,6.2708036604292385e-06,2.5890445709228515e-05,6.136123246759143e-06,1.1715888977050751e-07,c707cab4-a26e-4e61-8419-becdb84539e0,1558757652
1575937477290,2500.01,ae:d3:c0:ee:25:3b,176.00B,90.00B,5.595066785812378,2.730550765991211e-05,0.00010850584802545677,2.593097686767578e-05,8.50122500408751e-06,-1.3745307922363298e-06,c21caea3-13a1-4e6f-b144-b40763b5d7a8,1558757525
