Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Initial Iteration Latency,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575667171969,2500.002,9a:ef:30:d2:06:51,90.00B,90.00B,5.431575059890747,4.988861083984375e-06,5.172061920166016e-06,1.8320083618164057e-07
1575667171996,2500.006,fa:5e:fd:e7:3c:7b,90.00B,176.00B,5.445512533187866,5.6256771087646486e-06,5.1151275634765624e-06,-5.105495452880861e-07
1575667171993,2500.01,36:8e:ca:00:cf:93,90.00B,90.00B,5.4413487911224365,5.4312705993652344e-06,5.6972026824951175e-06,2.6593208312988306e-07
1575667172024,2500.006,1e:35:cf:99:fe:d7,90.00B,90.00B,5.453143358230591,5.760478973388672e-06,5.208492279052734e-06,-5.519866943359377e-07
1575667172018,2500.012,f2:87:59:b9:50:df,90.00B,90.00B,5.451932907104492,5.1980018615722655e-06,5.18503189086914e-06,-1.2969970703125266e-08
1575667171982,2500.01,1a:a8:e3:1d:5a:55,90.00B,90.00B,5.454932928085327,5.3461074829101566e-06,5.558490753173828e-06,2.1238327026367157e-07
1575667171959,2500.012,56:14:a1:e0:46:88,90.00B,90.00B,5.443359851837158,5.217409133911133e-06,5.098628997802735e-06,-1.1878013610839859e-07
1575667172020,2500.006,fa:60:dc:c9:ae:ae,176.00B,176.00B,5.4617414474487305,5.731201171875e-06,6.499671936035157e-06,7.684707641601567e-07
1575667172003,2500.006,be:21:12:7b:bb:67,176.00B,90.00B,5.455739974975586,5.6430339813232425e-06,5.092763900756836e-06,-5.502700805664062e-07
1575667172018,2500.006,52:d4:e4:03:99:4b,90.00B,90.00B,5.454906225204468,5.816125869750977e-06,5.126142501831054e-06,-6.899833679199223e-07
1575667171989,2500.012,0a:dc:db:92:0e:d9,90.00B,90.00B,5.46997332572937,5.751514434814453e-06,6.242609024047851e-06,4.910945892333982e-07
1575667171966,2500.01,06:7a:00:69:2d:e2,90.00B,90.00B,5.448376893997192,5.1990509033203125e-06,5.588722229003906e-06,3.896713256835936e-07
1575667171981,2500.0,0a:43:cd:d9:23:ce,90.00B,90.00B,5.46779465675354,5.2459716796875e-06,5.6380271911621095e-06,3.920555114746096e-07
1575667171992,2500.01,16:0f:1f:4f:e5:7b,90.00B,90.00B,5.452257871627808,5.598258972167968e-06,5.724096298217774e-06,1.2583732604980533e-07
1575667171966,2500.012,ee:3a:a6:6f:a0:65,90.00B,176.00B,5.434384346008301,5.214071273803711e-06,5.587339401245117e-06,3.732681274414062e-07
1575667171978,2500.002,16:6f:0b:28:d6:4a,90.00B,90.00B,5.432193994522095,4.835796356201172e-06,5.106639862060547e-06,2.708435058593748e-07
1575667171995,2500.012,46:7c:c9:47:4c:4b,90.00B,90.00B,5.467005729675293,5.547714233398437e-06,5.0730705261230466e-06,-4.7464370727539065e-07
1575667171991,2500.012,2e:84:d2:ec:5e:04,90.00B,90.00B,5.422915935516357,4.8879146575927735e-06,5.226850509643554e-06,3.3893585205078077e-07
