GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-22-14-58-33,1,33,1c8c99df-fa37-4ac3-9d47-8f66eabc4790,2020-09-22 21:59:08,6e71cebf-747d-4fd4-89b0-5fdea9288d9c,2020-09-22 21:58:10,3,55,55,55,out/09-22-14-58/log,out/09-22-14-58/base_samples33,,out/09-22-14-58/bit1_samples33,out/09-22-14-58/bit0_samples33,6.01022307849521,,0.242168922676051,C2:1D:5F:CE:9E:F7,No
09-22-14-58-99,1,99,49fe856b-ded1-41cb-a159-ad407f3886a6,2020-09-22 21:59:08,1cb8f396-1317-4441-a88b-05d51f146b05,2020-09-22 21:58:09,3,99,99,99,out/09-22-14-58/log,out/09-22-14-58/base_samples99,,out/09-22-14-58/bit1_samples99,out/09-22-14-58/bit0_samples99,0,,0.286815565030967,3E:1C:07:21:0C:83,No
09-22-14-58-39,1,39,383eb2a8-2a47-4d56-bbe8-9aa24f0dd811,2020-09-22 21:59:08,46b0a4f4-9c02-4281-9d42-6aca7580696b,2020-09-22 21:58:10,3,55,55,55,out/09-22-14-58/log,out/09-22-14-58/base_samples39,,out/09-22-14-58/bit1_samples39,out/09-22-14-58/bit0_samples39,6.00304247748344,,0.226072683876782,7A:87:42:DC:CE:43,No
09-22-14-58-60,1,60,6a5ecae3-c00c-4f9b-8e69-57d3e5126696,2020-09-22 21:59:08,a4a7f55f-052f-461e-802f-68de412361e1,2020-09-22 21:58:09,3,60,60,60,out/09-22-14-58/log,out/09-22-14-58/base_samples60,,out/09-22-14-58/bit1_samples60,out/09-22-14-58/bit0_samples60,0,,0.291727285985908,92:87:6C:C4:6D:9C,No
09-22-14-58-57,1,57,0ae2993f-77f1-493a-8772-5b257f1e941d,2020-09-22 21:59:08,a740dd9d-5d2e-419d-9d22-7cc6ab432660,2020-09-22 21:58:09,3,57,57,57,out/09-22-14-58/log,out/09-22-14-58/base_samples57,,out/09-22-14-58/bit1_samples57,out/09-22-14-58/bit0_samples57,0,,0.0896439652179666,36:AA:F2:11:99:24,No
09-22-14-58-87,1,87,ea32266c-58bc-4868-bdae-0be8ad765de5,2020-09-22 21:59:08,11046acc-89d9-47bc-9f1b-5a60769d0703,2020-09-22 21:58:09,3,91,91,91,out/09-22-14-58/log,out/09-22-14-58/base_samples87,,out/09-22-14-58/bit1_samples87,out/09-22-14-58/bit0_samples87,5.56297178584952,,0.0908146897555785,FA:47:B4:E0:E2:85,No
09-22-14-58-23,1,23,eb122485-2876-49a2-b86f-70bb7f2e7b65,2020-09-22 21:59:08,0e055721-c22e-42a4-81a0-bc2806a5fad3,2020-09-22 21:58:09,3,82,82,82,out/09-22-14-58/log,out/09-22-14-58/base_samples23,,out/09-22-14-58/bit1_samples23,out/09-22-14-58/bit0_samples23,5.71071021106591,,0.196232457848261,12:BB:58:8D:63:8F,No
09-22-14-58-97,1,97,ab760dd5-b09e-4b09-970f-743687d2d807,2020-09-22 21:59:08,e9a7761f-c1d3-47f9-b76c-60c34cee9c12,2020-09-22 21:58:09,3,97,97,97,out/09-22-14-58/log,out/09-22-14-58/base_samples97,,out/09-22-14-58/bit1_samples97,out/09-22-14-58/bit0_samples97,0,,0.502607171107752,AA:AF:31:0C:89:5F,No
09-22-14-58-71,1,71,ad244e48-e7f1-48b0-ba64-a0abaa026433,2020-09-22 21:59:08,89faa1ed-66fa-46ea-b6c7-72abcf6faa3c,2020-09-22 21:58:09,3,71,71,71,out/09-22-14-58/log,out/09-22-14-58/base_samples71,,out/09-22-14-58/bit1_samples71,out/09-22-14-58/bit0_samples71,0,,0.188929618325307,FE:8A:22:C1:92:28,No
09-22-14-58-72,1,72,cbf8ce93-b564-481f-b87b-102a3009c2f1,2020-09-22 21:59:08,b99e5b5a-a2ea-422e-bcbb-c75d54400029,2020-09-22 21:58:09,3,72,72,72,out/09-22-14-58/log,out/09-22-14-58/base_samples72,,out/09-22-14-58/bit1_samples72,out/09-22-14-58/bit0_samples72,0,,0.322151693676993,6A:23:94:3B:74:FE,No
