In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Exec Time
Both,1575667176293,2500.006,7a:2c:74:c4:10:5a,90.00B,90.00B,22.055370330810547
Both,1575667175894,2500.006,66:6c:38:68:34:a4,90.00B,90.00B,22.472891330718994
Both,1575667176292,2500.006,66:72:f9:fc:0e:c5,90.00B,90.00B,22.095568418502808
Both,1575667176183,2500.0,26:6d:2d:96:82:3c,176.00B,90.00B,22.219276666641235
Both,1575667176292,2500.006,9e:4a:db:df:9f:16,90.00B,90.00B,22.140947818756104
Both,1575667175892,2500.006,9e:4a:38:83:ee:7d,90.00B,90.00B,22.563716411590576
Both,1575667175893,2500.006,1e:54:09:a0:d6:87,90.00B,176.00B,22.56456756591797
Both,1575667176290,2300.014,ae:37:f0:4c:45:1d,90.00B,90.00B,22.20571255683899
Both,1575667175895,2500.012,76:94:d6:53:98:d4,90.00B,90.00B,22.645424604415894
Both,1575667176314,2300.014,1a:79:07:ac:8e:85,90.00B,90.00B,22.297035694122314
Both,1575667176203,2500.012,32:79:e8:12:bc:2c,90.00B,90.00B,22.417301177978516
Both,1575667175897,2500.006,32:43:ab:ea:d6:d9,90.00B,90.00B,22.75079870223999
Both,1575667176181,2500.012,8e:a1:47:5b:ae:b0,90.00B,90.00B,22.46601438522339
Both,1575667176179,2500.012,fa:72:ac:cf:2b:d4,90.00B,90.00B,22.505051851272583
Both,1575667175897,2500.006,ee:dc:2d:2c:49:2e,90.00B,90.00B,22.791425704956055
Both,1575667175898,2500.008,7e:aa:cc:4d:96:75,90.00B,90.00B,22.80059814453125
Both,1575667176215,2500.006,16:84:28:be:75:6f,90.00B,90.00B,22.483116388320923
Both,1575667175898,2500.008,da:18:b5:6d:e8:88,90.00B,90.00B,22.800085067749023
Both,1575667176198,2500.012,b6:4b:12:ea:02:02,90.00B,90.00B,22.512378454208374
Both,1575667176157,2500.012,fa:b3:b2:31:ea:16,90.00B,90.00B,22.67377519607544
Both,1575667176203,2500.012,66:ed:8d:66:b4:8a,90.00B,90.00B,22.672850131988525
Both,1575667176179,2500.006,32:59:cb:07:a5:c3,90.00B,180.00B,22.71572470664978
Both,1575667176204,2500.006,b6:f7:b7:10:de:de,90.00B,90.00B,22.704147577285767
Both,1575667176160,2500.006,c2:b4:58:be:b8:79,90.00B,90.00B,22.75987458229065
Both,1575667176293,2500.006,1e:19:dd:dc:93:c4,90.00B,176.00B,22.633508682250977
