In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Exec Time
Both,1575667715329,2500.01,1a:2a:df:e1:6e:1e,90.00B,90.00B,22.730122804641724
Both,1575667715339,2500.002,da:d2:1b:5f:e3:d9,90.00B,90.00B,22.742440462112427
Both,1575667715669,2500.0,de:57:6b:79:63:fc,180.00B,90.00B,22.40977144241333
Both,1575667715329,2500.012,72:e1:c8:c3:b7:ce,90.00B,90.00B,22.755494594573975
Both,1575667715338,2500.012,fa:43:4b:e8:bd:f2,90.00B,90.00B,22.753432989120483
Both,1575667715339,2500.012,3e:97:4a:48:f5:c7,90.00B,90.00B,22.761189699172974
Both,1575667715336,2500.012,26:86:c3:d9:cd:b5,90.00B,90.00B,22.76652431488037
Both,1575667715338,2500.006,a6:fd:d4:9d:8e:f7,90.00B,90.00B,22.775495767593384
Both,1575667715339,2500.002,0a:85:9a:c7:ec:46,90.00B,90.00B,22.770894527435303
Both,1575667715330,2500.01,22:09:a2:d7:0b:43,90.00B,90.00B,22.79737424850464
Both,1575667715335,2500.012,f2:34:bc:2f:52:f3,90.00B,90.00B,22.799412965774536
Both,1575667715664,2500.01,e6:50:f7:47:66:1d,90.00B,90.00B,22.49336862564087
Both,1575667715333,2500.012,ae:f4:a1:40:70:0b,90.00B,90.00B,22.838013887405396
Both,1575667715653,2500.01,f2:59:71:fc:2f:9f,180.00B,90.00B,22.51811671257019
Both,1575667715647,2500.002,92:9b:32:de:8e:49,90.00B,180.00B,22.527524709701538
Both,1575667715652,2500.006,92:16:ab:0e:8d:69,90.00B,90.00B,22.592838048934937
Both,1575667715633,2500.006,86:e4:5f:be:31:18,90.00B,90.00B,22.623188495635986
Both,1575667715692,2500.008,0a:2f:db:cd:38:97,90.00B,176.00B,22.565454483032227
Both,1575667715696,2500.008,7e:10:03:f3:db:f6,176.00B,90.00B,22.56726312637329
Both,1575667715701,2500.008,8e:88:bc:72:a3:8a,90.00B,90.00B,22.590686798095703
Both,1575667715623,2500.006,02:b7:3c:0b:ac:26,90.00B,90.00B,22.673716068267822
Both,1575667715652,2500.006,12:ce:c6:38:c5:62,90.00B,90.00B,22.647571325302124
Both,1575667715606,2500.012,b2:89:75:bd:42:18,90.00B,90.00B,22.704065084457397
Both,1575667715691,2500.008,b2:fd:e0:7d:e1:af,90.00B,90.00B,22.62189793586731
Both,1575667715639,2500.01,5e:95:48:e1:98:02,90.00B,90.00B,22.73205876350403
Both,1575667715670,2500.006,fe:a3:85:65:aa:aa,90.00B,90.00B,22.701395988464355
Both,1575667715634,2500.002,a2:6c:2e:54:ab:3a,90.00B,90.00B,22.74754309654236
Both,1575667715649,2500.0,46:cc:ae:df:40:a7,180.00B,90.00B,22.73230814933777
Both,1575667715616,2500.0,ee:16:1a:72:43:ae,90.00B,90.00B,22.76933479309082
Both,1575667715644,2500.01,5a:f3:1a:41:a0:eb,90.00B,90.00B,22.742764949798584
Both,1575667715629,2500.012,fa:92:ab:e5:d2:78,90.00B,90.00B,22.759859323501587
Both,1575667715620,2500.002,26:7f:65:17:d3:34,90.00B,90.00B,22.77132773399353
Both,1575667715337,2500.006,32:e3:2b:fa:9b:8d,90.00B,90.00B,23.062516927719116
Both,1575667715336,2500.006,ee:88:4c:21:d6:f3,90.00B,90.00B,23.06147837638855
Both,1575667715650,2500.012,3e:12:0f:e5:e2:83,90.00B,90.00B,22.742232084274292
