MAC Addr,IP,Duration
15:0a:16:41:f5:c6,localhost,31.269116163253784
5b:03:e5:39:47:2f,localhost,31.886173963546753
31:8a:3d:f6:20:6b,localhost,31.959373474121094
f7:f8:18:50:8f:75,localhost,32.019782066345215
59:33:e0:97:10:3f,localhost,31.44149112701416
83:26:fa:a4:4e:05,localhost,32.1975531578064
3f:4e:02:dd:0c:db,localhost,32.52816700935364
49:a7:b8:50:14:09,localhost,32.19073510169983
83:62:4c:d6:7c:97,localhost,31.981582164764404
41:1b:56:90:e8:95,localhost,32.130401611328125
41:34:48:6e:2b:00,localhost,32.367602586746216
2b:46:45:a0:75:ac,localhost,31.379806995391846
2b:36:f5:94:d8:25,localhost,32.16098093986511
ff:a9:9e:45:ae:f0,localhost,32.73878312110901
3b:a1:10:ce:da:96,localhost,33.034934282302856
19:67:53:a0:5c:ac,localhost,33.010446310043335
1d:d4:b4:22:50:26,localhost,31.57385015487671
55:24:d7:8a:17:d3,localhost,33.09805703163147
d9:b6:02:a4:fd:2c,localhost,32.373146057128906
ef:83:66:94:cd:3a,localhost,32.622589111328125
db:4a:8d:50:1a:ac,localhost,32.71987318992615
cf:1c:3c:eb:db:92,localhost,31.86267352104187
ff:32:3d:4d:41:15,localhost,31.83223795890808
4b:14:23:4c:14:d0,localhost,32.805410623550415
d7:89:7e:db:51:bc,localhost,32.902228355407715
35:72:86:f6:d8:a7,localhost,33.15551686286926
b1:b7:56:55:7b:80,localhost,33.43040108680725
ad:80:d4:b1:fb:33,localhost,34.01872110366821
e7:b1:1a:a8:b6:5f,localhost,32.37285494804382
a9:2f:8e:04:c0:38,localhost,34.37156367301941
8b:03:05:4b:ce:da,localhost,34.2026584148407
23:be:78:49:02:ad,localhost,34.698230504989624
e7:f6:6f:a4:9f:ff,localhost,31.631404876708984
43:6e:13:56:49:f9,localhost,34.52274250984192
01:0a:f4:c5:9b:d0,localhost,34.410184144973755
cf:84:7c:71:e8:08,localhost,34.57291531562805
eb:e2:b5:4b:87:bd,localhost,34.73347854614258
b9:cc:15:0f:00:30,localhost,32.883822441101074
7b:87:29:06:cc:bb,localhost,35.74087047576904
b1:ba:8d:65:6f:b8,localhost,33.97193002700806
eb:aa:13:e7:85:61,localhost,33.102290630340576
67:34:80:ec:ed:be,localhost,35.87694263458252
cd:ac:60:d5:17:aa,localhost,34.68622636795044
17:8a:3a:8b:9d:fa,localhost,33.90677332878113
1b:70:0c:0b:28:8f,localhost,34.60071897506714
ed:43:16:29:49:e5,localhost,34.104488372802734
87:78:f9:93:0c:20,localhost,34.9839231967926
df:53:1a:c0:fb:d8,localhost,34.19421362876892
05:a6:ac:dd:1b:0d,localhost,34.43506217002869
e9:f8:17:46:20:1d,localhost,35.12297344207764
ad:df:96:cc:ab:30,localhost,35.125205278396606
23:04:ea:65:91:2e,localhost,35.346291065216064
d3:c6:40:80:d8:07,localhost,34.12230038642883
73:bb:56:40:cd:e5,localhost,34.07695508003235
45:af:c4:4d:d8:0a,localhost,36.07782864570618
37:d5:72:9a:cc:77,localhost,36.304972410202026
11:f4:d7:0f:2e:34,localhost,35.95327186584473
f5:ff:3a:53:2a:dd,localhost,38.43563413619995
2d:41:e3:a9:54:d9,localhost,36.29327917098999
ed:15:80:f9:ca:d8,localhost,35.28981065750122
d9:2f:22:7f:ae:46,localhost,35.67931246757507
e3:9b:fb:06:86:cc,localhost,35.51660227775574
f9:68:9e:08:0b:8c,localhost,36.46019244194031
b9:fc:99:75:20:f6,localhost,35.21906232833862
