Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration Latency,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575671014270,2300.014,52:c5:6f:96:cb:b9,90.00B,90.00B,5.607192516326904,5.9428215026855465e-06,6.042098999023438e-06,9.927749633789134e-08
1575671014268,2300.016,56:21:fb:ff:45:f1,90.00B,90.00B,5.619916915893555,5.749845504760742e-06,5.860471725463867e-06,1.1062622070312552e-07
1575671014269,2300.014,b6:1a:67:89:c5:44,90.00B,90.00B,5.61097526550293,6.140041351318359e-06,6.164884567260742e-06,2.484321594238251e-08
1575671014296,2300.014,c2:4d:61:de:94:9d,90.00B,90.00B,5.635402202606201,6.086397171020507e-06,5.985593795776367e-06,-1.0080337524414032e-07
1575671014290,2300.016,5a:1b:49:03:48:95,90.00B,90.00B,5.613344669342041,6.015825271606445e-06,6.2198162078857425e-06,2.039909362792975e-07
1575671014293,2300.014,3a:24:98:69:aa:ce,90.00B,90.00B,5.6452555656433105,6.139898300170899e-06,6.009721755981446e-06,-1.3017654418945298e-07
1575671014293,2300.014,7a:51:b9:a4:54:3a,90.00B,90.00B,5.624063968658447,6.029176712036133e-06,5.9644222259521485e-06,-6.475448608398423e-08
1575671014269,2300.014,86:20:42:61:e4:17,90.00B,90.00B,5.612514019012451,6.132078170776367e-06,6.077051162719727e-06,-5.502700805664028e-08
1575671014268,2300.014,3a:82:e1:04:85:81,90.00B,176.00B,5.625269412994385,6.1224937438964845e-06,6.298017501831055e-06,1.7552375793457036e-07
1575671014269,2300.014,4a:b3:32:fe:da:21,90.00B,90.00B,5.608479022979736,6.0706615447998045e-06,6.15086555480957e-06,8.02040100097659e-08
1575671014293,2300.014,ce:c2:35:20:ca:e1,180.00B,180.00B,5.624780893325806,5.939626693725586e-06,5.849695205688476e-06,-8.993148803710985e-08
1575671014265,2300.016,82:fd:2b:50:2e:31,90.00B,90.00B,5.622480869293213,5.942106246948242e-06,5.960273742675781e-06,1.8167495727539073e-08
1575671014268,2300.014,82:4a:2d:53:26:bd,90.00B,90.00B,5.653764486312866,6.365060806274414e-06,6.194114685058594e-06,-1.7094612121582001e-07
1575671014294,2300.014,16:b8:9d:64:d7:6e,180.00B,90.00B,5.600533962249756,5.88979721069336e-06,5.982208251953125e-06,9.24110412597654e-08
1575671014686,2300.014,ce:e3:52:84:dc:b9,90.00B,90.00B,5.587486743927002,6.148481369018554e-06,6.041526794433594e-06,-1.069545745849607e-07
1575671014691,2300.014,d2:74:bd:c1:32:59,90.00B,90.00B,5.620730876922607,6.250667572021484e-06,6.119537353515625e-06,-1.311302185058587e-07
1575671014704,2300.014,12:d1:7e:c8:22:bf,90.00B,90.00B,5.630397319793701,6.212854385375976e-06,6.130504608154297e-06,-8.23497772216792e-08
1575671014677,2300.014,3a:26:21:b1:27:c1,90.00B,90.00B,5.615105152130127,6.06842041015625e-06,6.241750717163086e-06,1.73330307006836e-07
1575671014683,2300.014,5a:a3:41:78:c3:c8,90.00B,90.00B,5.623570442199707,6.077909469604492e-06,6.058502197265625e-06,-1.940727233886685e-08
1575671014695,2300.016,9a:ca:73:a6:4e:be,90.00B,90.00B,5.62148642539978,6.037187576293945e-06,5.932092666625977e-06,-1.0509490966796861e-07
1575671014727,2300.016,da:e9:b9:e7:ca:95,90.00B,90.00B,5.600159168243408,6.431055068969727e-06,6.463193893432617e-06,3.213882446289026e-08
1575671014710,2300.014,4e:21:a1:b7:1e:47,90.00B,90.00B,5.601831912994385,6.3636302947998044e-06,6.5091133117675785e-06,1.4548301696777404e-07
1575671014711,2300.014,8e:f0:b5:94:08:0d,90.00B,90.00B,5.585240602493286,5.863285064697266e-06,7.4512004852294924e-06,1.5879154205322265e-06
1575671014710,2300.014,26:44:a6:e5:d5:15,90.00B,90.00B,5.6288979053497314,6.175994873046875e-06,6.566333770751953e-06,3.903388977050781e-07
