Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
467,67,0,5,998,6134,3057,954,6014,1685,0.280267284907331,-120
2338,401,0,6,986,6348,3557,974,6228,3575,0.456493666885523,-120
1871,311,0,3,1000,6413,4157,994,6295,3901,0.513456532636867,-118
2567,450,0,4,936,6332,3754,989,6215,3552,0.483110026068378,-117
2350,403,0,9,985,6519,12445,1000,6404,3760,0.781231070907256,-115
2467,427,0,2,973,6038,3142,934,5924,2249,0.361026591307158,-114
803,123,0,2,967,6464,3598,995,6351,3485,0.480109493014624,-113
2039,341,0,5,1000,6100,2944,1000,5987,2074,0.321298397004994,-113
621,90,0,9,994,6307,3690,1000,6195,3610,0.493430047815232,-112
318,43,0,9,998,6340,3552,1000,6229,3166,0.461107659875218,-111
2056,344,0,9,983,7028,6151,973,6918,5254,0.670619187820748,-110
704,104,0,8,964,6164,2871,1000,6055,2348,0.358223795591325,-109
2515,437,0,9,1000,6392,4058,932,6283,3743,0.539202296762561,-109
239,32,0,9,979,6590,4592,985,6482,4276,0.589749868190658,-108
583,84,0,7,982,6454,4018,1000,6346,4075,0.552551116767776,-108
1356,217,0,8,970,6417,4380,986,6309,3565,0.550278462122795,-108
2560,449,0,3,1000,6228,3651,1000,6120,3133,0.477940604916761,-108
870,134,0,0,1000,6407,4184,958,6300,4231,0.573927399753246,-107
2186,371,0,9,1000,6674,4723,1000,6568,4410,0.604031922775247,-106
2671,472,0,9,1000,6610,4631,952,6504,4648,0.614010014915305,-106
2041,341,0,9,1000,6100,2944,1000,5995,2774,0.411926516939229,-105
1366,219,0,9,1000,6717,4760,986,6613,4705,0.624429341579323,-104
357,49,0,9,1000,6043,2808,1000,5941,2374,0.380602403662061,-102
429,61,0,9,981,6598,4580,966,6496,4145,0.606403939387275,-102
606,88,0,5,948,6147,2761,1000,6045,2331,0.379732155569476,-102
538,77,0,8,957,6311,3880,997,6210,3282,0.535400262147095,-101
2128,359,0,4,997,6277,2970,978,6176,2788,0.435975813922165,-101
11,2,0,2,1000,6448,3939,920,6348,3224,0.541542623612906,-100
1095,169,0,9,1000,7068,5589,986,6969,5448,0.689439502727449,-99
1221,193,0,9,971,6217,3240,964,6118,2291,0.437624392569961,-99
1759,291,0,4,1000,6845,4613,1000,6746,13470,0.826005896446583,-99
1322,211,0,2,1000,6197,3218,881,6100,3399,0.526804761735476,-97
1395,225,0,9,1000,6504,4001,939,6407,4023,0.594829063231641,-97
2411,416,0,4,990,6102,3089,947,6005,2630,0.456295962041244,-97
1749,289,0,9,954,7930,17960,980,7835,13470,0.895530634156117,-95
1145,178,0,9,977,6344,3605,1000,6250,3240,0.542462764865329,-94
1473,241,0,9,992,6654,7281,993,6561,4226,0.72792884060154,-93
2453,424,0,2,996,6671,4263,945,6578,4116,0.624967535104782,-93
303,41,0,7,1000,6687,4785,1000,6595,4636,0.662419121066471,-92
776,117,0,8,1000,7644,13075,1000,7553,15463,0.887013612609693,-91
135,17,0,9,947,6602,4315,972,6512,4257,0.645682422729419,-90
1506,249,0,8,958,6385,3656,979,6295,3509,0.58067639935331,-90
1861,309,0,1,969,5988,2864,998,5898,2366,0.44821245159613,-90
2527,440,0,9,1000,6745,15393,984,6655,4611,0.859543302467552,-90
699,104,0,0,964,6164,2871,998,6075,2472,0.462667189647048,-89
1684,278,0,7,985,6327,4579,1000,6239,3399,0.627335339879061,-88
1769,292,0,9,967,6552,4650,988,6466,4377,0.673929133613924,-86
