start_time,Boot ID,MAC Addr,IP,imax_value,iavg_value,fmax_value,favg_value
1575252395162,4c530d3b-57d6-42c6-811b-a3a72743f771,f2:61:40:e3:6b:eb,169.254.71.197,0.00016117095947265625,2.563481330871582e-05,0.00036025047302246094,2.805185317993164e-05
1575252395161,7d11fe95-b404-4b44-a514-a9599a1b5729,7e:3d:dd:a7:22:f0,169.254.68.173,0.001969575881958008,2.6200008392333984e-05,0.0009520053863525391,2.8310108184814455e-05
1575252395281,9412c2b8-137a-45ca-9057-0c1f4a0bbc74,a6:3a:44:64:13:a9,169.254.155.61,0.00024771690368652344,2.479228973388672e-05,0.00020694732666015625,2.5357437133789064e-05
1575252395205,36106529-9e54-4c81-9c47-884184d8d794,aa:4a:c7:2f:8a:68,169.254.228.21,0.00020265579223632812,2.6206159591674805e-05,0.00018334388732910156,2.7242422103881837e-05
1575252395211,b8caa155-bf07-44c1-b5cf-f92ca4d37259,42:63:eb:14:4b:72,169.254.189.85,0.00022149085998535156,2.5687837600708007e-05,0.000225067138671875,3.133382797241211e-05
1575252395218,4f24ab54-4206-4b54-bf58-53b7da7306fb,1e:f9:af:13:ba:8c,169.254.227.213,0.0002830028533935547,2.6607322692871093e-05,0.00023365020751953125,2.73193359375e-05
1575252395214,ce3dee4a-183f-493a-a371-c186cd7cc7fb,de:72:ab:02:80:2f,169.254.100.205,0.00019669532775878906,2.621040344238281e-05,0.0002849102020263672,2.769608497619629e-05
1575252395185,928ba9f7-50f4-49ac-8cec-982f5b53f3f8,5a:19:40:bb:05:e6,169.254.17.241,0.00015878677368164062,2.5679540634155275e-05,0.000274658203125,2.798604965209961e-05
1575252394636,48bb92ca-d453-420f-b121-dfed6c20be9d,fa:10:2f:a8:93:83,169.254.19.101,0.00018310546875,2.5713157653808593e-05,0.002124786376953125,4.962778091430664e-05
1575252395258,7ed13aa2-ff4b-482d-b195-c7cb345137bf,22:fd:a1:ab:83:e2,169.254.191.205,0.00018548965454101562,2.534041404724121e-05,0.00019025802612304688,2.63394832611084e-05
1575252395214,00be1fd9-5dbe-4245-b4ff-9144f02c5f21,ee:0f:29:5f:cf:1a,169.254.227.229,0.004262208938598633,2.7133750915527342e-05,0.0001995563507080078,2.7350091934204103e-05
1575252395207,3986be5a-c789-4e5c-b1a2-2bba95e1524e,96:69:7f:53:31:e0,169.254.107.117,0.0002372264862060547,2.612171173095703e-05,0.00023603439331054688,3.1224870681762695e-05
1575252395225,c375b4a1-9948-4697-9cf1-0551e9457b5e,ce:99:f8:26:c0:58,169.254.228.37,0.0002181529998779297,2.6502609252929687e-05,0.00031304359436035156,2.748570442199707e-05
