In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685736525,d2:74:5a:01:0b:e1,90.00B,90.00B,23.256690740585327,17.250086307525635
Both,1575685736586,e6:6d:76:f3:3b:16,90.00B,90.00B,23.20897936820984,17.202281713485718
Both,1575685736489,d2:bb:99:c2:20:64,176.00B,90.00B,23.31895661354065,17.31358242034912
Both,1575685736538,aa:8c:cf:94:90:42,90.00B,90.00B,23.27171564102173,17.265600204467773
Both,1575685736605,86:b8:fc:76:a4:fc,90.00B,90.00B,23.19621467590332,17.18944478034973
Both,1575685736594,1a:b6:15:0b:56:c0,90.00B,90.00B,23.228572130203247,17.22189211845398
Both,1575685736587,56:fa:79:6e:1d:50,90.00B,90.00B,23.237552165985107,17.23093342781067
Both,1575685736488,06:fe:de:3a:20:fe,90.00B,176.00B,23.342339754104614,17.335621118545532
Both,1575685736528,be:ec:c2:90:ba:94,90.00B,90.00B,23.307189226150513,17.30058264732361
Both,1575685736527,f6:b4:5f:72:5c:e1,90.00B,90.00B,23.30997085571289,17.303341150283813
Both,1575685736494,16:b0:6c:d2:1e:95,90.00B,90.00B,23.34786367416382,17.341251611709595
Both,1575685736545,4a:07:93:9c:c1:5c,90.00B,90.00B,23.304654121398926,17.298420906066895
Both,1575685736518,96:0c:51:47:cc:01,90.00B,90.00B,23.330878019332886,17.324261903762817
Both,1575685736501,36:e4:b6:52:8c:64,90.00B,90.00B,23.35861897468567,17.352117776870728
Both,1575685736484,4e:3d:f0:4c:b0:b0,90.00B,90.00B,23.378336906433105,17.371726989746094
Both,1575685736478,6a:c3:61:77:6d:23,90.00B,90.00B,23.398578643798828,17.391881942749023
Both,1575685736385,72:65:3a:d8:04:ff,180.00B,176.00B,23.49251961708069,17.485932111740112
Both,1575685736500,b2:3d:91:2e:1b:ae,90.00B,90.00B,23.381858825683594,17.37523317337036
Both,1575685736398,7e:b5:2e:f4:3e:b5,90.00B,90.00B,23.498680591583252,17.492071628570557
Both,1575685736583,42:9f:f6:5f:c7:43,90.00B,176.00B,23.32188892364502,17.315233945846558
Both,1575685736542,26:b6:4c:b2:52:db,90.00B,90.00B,23.365352630615234,17.358700275421143
Both,1575685736495,62:a7:6f:ab:f2:68,90.00B,90.00B,23.414142847061157,17.40754508972168
Both,1575685736455,6a:cd:c0:10:ca:ce,90.00B,90.00B,23.45584797859192,17.449240684509277
Both,1575685736501,26:76:9d:9c:5d:fd,90.00B,90.00B,23.407742977142334,17.40108036994934
Both,1575685736601,a6:cd:8f:53:b3:4a,90.00B,90.00B,23.30881690979004,17.3021879196167
Both,1575685736502,32:fa:f2:7d:9c:f4,90.00B,90.00B,23.416243076324463,17.409644842147827
Both,1575685736490,da:8e:a9:0c:40:4e,90.00B,90.00B,23.444779634475708,17.43816375732422
