Boot ID,MAC Addr,raw_device_num,UP Time 2,UP Time 1,File NR 3,File NR 2,File NR 1
cfc9267d-9b04-4409-a49b-8f51213d4db6,ea:b0:db:44:a7:5d,65024,1314.38,657.84,18779,0,320
9993b0ca-bfc5-4b17-be6a-549899f097a6,2e:e5:04:3e:20:53,65024,1748.31,874.83,18779,0,320
85c46be9-5234-42cc-8241-72fa59fa7540,4a:13:c1:be:c7:9f,65024,2066.71,1033.98,18779,0,320
8a59bc73-bac9-4c5e-acbe-759eaf4d6daf,16:57:6a:4f:17:61,65024,1765.86,883.49,18779,0,320
cbacb840-48a2-452c-aa4c-6c26800dad40,a6:0c:f4:9b:57:25,65024,2613.41,1307.43,18779,0,288
6f325513-b43f-496d-b4b6-9f4e60cdc04e,9e:53:e8:a1:4d:c0,65024,1487.35,744.28,18779,0,288
ee9bcc09-b311-46f3-8ee6-e4dc06700d71,56:5c:da:f7:56:94,65024,2468.14,1234.93,18779,0,288
710307a2-e78f-4382-a38e-e0d2a554ba30,8e:87:77:e7:17:ca,65024,1851.46,926.37,18779,0,320
41652934-c82c-4068-9a99-7c1f1b30f747,2a:3a:47:c0:9b:6b,65024,1203.09,602.22,18779,0,288
a4b55950-e939-48be-8a3f-ac08192bae38,82:e2:47:25:2c:63,65024,1659.78,830.47,18779,0,320
81de5d1c-3cb1-406f-a5cc-19ba7859272a,6e:11:be:2f:40:10,65024,1248.37,624.76,18779,0,288
