Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-22-22-34/log,09-22-22-34-49,,4ea222a0-a130-4041-83ed-e735452c9db5,FA:10:67:A5:E9:A1,49,49,49,3,2020-09-23 05:35:18,2020-09-23 05:37:13,49,ec8bd9ce-74d2-4ac3-af41-356c8eacd2d0,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-38,,386517cf-ea2c-4a30-bcab-19587820f036,9E:98:85:52:0F:B1,38,38,38,3,2020-09-23 05:35:10,2020-09-23 05:37:13,38,5051be89-fd72-4802-9117-39f9a7360153,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-40,,8f398b38-b907-4c83-b518-9aae46cb14d6,FA:EA:7E:5C:FC:90,40,40,40,3,2020-09-23 05:35:12,2020-09-23 05:37:13,40,a4563c8f-9e76-4dfb-91df-b1c7c24ee413,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-15,,49e08337-40a1-4e47-86b3-782b884c586e,82:A9:F9:80:F3:87,33,33,33,3,2020-09-23 05:34:54,2020-09-23 05:37:13,15,0293aab6-dcc3-4dbf-94ee-2bed4d0310a7,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-22,,5d05c0aa-ff28-49b5-9d46-5ce0bd1154a4,9A:2D:88:4E:4E:A6,22,22,22,3,2020-09-23 05:34:59,2020-09-23 05:37:13,22,bbc349cd-de22-47f2-923d-785c14152e34,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-30,,9d74a054-18ad-437f-9dae-8df19d0f4a64,B2:1A:76:63:96:C8,50,50,50,3,2020-09-23 05:35:04,2020-09-23 05:37:13,30,0e690822-55d6-40e1-8e06-350d8fa943b0,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-97,,ec291f23-98f7-4786-b84a-fb7331a227b6,2E:25:98:A2:30:5B,97,97,97,3,2020-09-23 05:35:52,2020-09-23 05:37:13,97,75835c3e-7e7f-4764-a50b-d9c6d7f58e0c,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-59,,4c400183-1317-41e5-a0eb-a453d36a44f9,EE:A9:37:C9:F7:7C,69,69,69,3,2020-09-23 05:35:25,2020-09-23 05:37:13,59,6bd431e4-9275-463b-97fb-276a6eeff978,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-47,,07157cd7-51e9-4936-a8f8-df495bef1185,8A:AF:30:DD:90:F8,47,47,47,3,2020-09-23 05:35:17,2020-09-23 05:37:13,47,4bc5f064-a06c-4fa4-b9c8-6e56ec86bec5,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-73,,ca3a0bf2-7da3-41d5-ba99-3a7158a2ad1c,92:07:08:D0:4D:75,73,73,73,3,2020-09-23 05:35:35,2020-09-23 05:37:13,73,afbb5c8a-4f55-41bd-b169-86c05bd00b41,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-89,,b407cc38-4dd9-4a5f-8586-5ef9cae4b74f,5A:41:C1:C9:5C:73,89,89,89,3,2020-09-23 05:35:46,2020-09-23 05:37:13,89,a1413d6f-b045-444e-80d1-6261277807be,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-85,,dc5125c0-aa83-40c9-9b1c-c017c1b62095,DA:11:10:D9:B1:7B,89,89,89,3,2020-09-23 05:35:43,2020-09-23 05:37:13,85,99940da4-44a7-4bd3-8847-3268f56eed2c,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-16,,3f333cde-a278-49ce-b75a-35dfbcc7f5dd,FE:C9:54:22:85:BD,38,38,38,3,2020-09-23 05:34:54,2020-09-23 05:37:13,16,558ed763-ff81-434e-99e1-3b4e196d59a2,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-82,,988251d3-68af-478c-b26b-7bcd89a1f8eb,96:26:4D:5F:C8:F8,82,82,82,3,2020-09-23 05:35:41,2020-09-23 05:37:13,82,529178ca-7170-4a58-bf63-4a9b0218fcc8,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-62,,2b7dfbed-e1a0-4f81-87b5-d5410059bba0,1E:55:42:D5:D0:75,62,62,62,3,2020-09-23 05:35:27,2020-09-23 05:37:13,62,e55dd32f-3021-49e6-b33f-d28ca8337a68,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-41,,2b419039-fa15-49c4-8d6f-06fcb03728f9,46:FB:26:81:76:34,41,41,41,3,2020-09-23 05:35:12,2020-09-23 05:37:13,41,a7696608-9151-448e-bdb3-82bc41cb1c76,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-10,,78af51e8-45d0-43af-a29a-cf3b9a11c067,4E:87:2E:8C:BF:E7,41,41,41,3,2020-09-23 05:34:50,2020-09-23 05:37:13,10,279fd0a8-a983-40c5-9542-7e6ccb8f1ffa,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-55,,d94253dc-a1a9-4fce-9632-71b0d5300c0e,56:49:50:C8:68:3D,55,55,55,3,2020-09-23 05:35:22,2020-09-23 05:37:13,55,c77ddf1c-472e-4b83-aef5-34a2fba52e44,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-34,,a22b5d55-f19a-4702-ae1b-7b44c96c9486,16:D7:C1:77:97:56,34,34,34,3,2020-09-23 05:35:07,2020-09-23 05:37:13,34,51eb63fb-4ac7-4e57-898e-f98edb8fb5d0,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-67,,9d2f80f1-0d0d-409a-a5be-6a026a8db638,DE:CF:47:2F:16:7E,67,67,67,3,2020-09-23 05:35:31,2020-09-23 05:37:13,67,a66968ad-1939-450d-939f-c6ac82fea58c,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-71,,ca672f60-fc85-4b2c-a81e-7d595fea37ad,96:88:87:4A:AE:69,71,71,71,3,2020-09-23 05:35:34,2020-09-23 05:37:13,71,105fc4be-b8d9-4999-a7bd-c74b362baeec,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-37,,08245e69-fc01-4340-9ed5-8d8c75c82bec,C2:82:7C:EF:DB:47,37,37,37,3,2020-09-23 05:35:09,2020-09-23 05:37:13,37,a85a8369-1e25-489e-b00f-f9b53fd7cc9c,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-70,,d448e23d-4b4f-4299-b6e1-16f2194c197c,DA:58:C6:1C:0D:66,89,89,89,3,2020-09-23 05:35:33,2020-09-23 05:37:13,70,df6fbbab-02cf-4485-a145-c3fb879b6c7a,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-87,,5ddce328-33b0-456f-bd0c-93620b605f9d,6E:A1:09:9D:75:56,87,87,87,3,2020-09-23 05:35:45,2020-09-23 05:37:13,87,9c3f5d05-47c1-416f-b0b5-aea869f77da6,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-92,,810d2ade-ca0d-4837-a9da-2be0b650c648,6E:57:28:DB:B6:75,92,92,92,3,2020-09-23 05:35:48,2020-09-23 05:37:13,92,363fb14e-255a-4161-bc24-7aad66252958,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-6,,fe70c38d-2dde-4800-ad90-42dd42cdad89,CE:88:C2:67:19:25,52,52,52,3,2020-09-23 05:34:47,2020-09-23 05:37:13,6,2c4c50ef-b8cb-47e5-ba2d-11f685ddb129,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-42,,40a68c39-f9b1-4435-9c09-fe57a9c487e8,D2:74:8A:D8:98:FB,42,42,42,3,2020-09-23 05:35:13,2020-09-23 05:37:13,42,c33af249-70d6-4f31-b086-8694f83884c2,1,,-,-,-,No
