Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Account
out/10-13-23-38/log,10-13-23-38-270,10-13-23-34-45,2fa01515-acc0-49da-bbdc-018e053d7975,9A:BE:4C:16:91:E0,976,976,976,3,2020-10-14 06:38:37,2020-10-14 06:40:36,270,a6c0589f-9106-4a7a-8200-dcf6079403b1,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-53,10-13-23-34-807,de283ac0-9814-45c5-93be-f51b640c73c0,B2:60:B2:4E:C6:82,798,798,798,3,2020-10-14 06:38:39,2020-10-14 06:40:36,53,83128359-5ba5-4ed3-9bf6-6b78e298ca55,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-436,10-13-23-34-830,9c0cfce5-c7f8-491c-ae78-22c4d7031c19,4A:8A:0A:64:AB:5A,947,947,947,3,2020-10-14 06:38:37,2020-10-14 06:40:36,436,07e84e6c-0118-43e1-9da5-373caa9d978e,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-365,10-13-23-34-956,1cc32784-f9d2-4131-806e-05a23e38921b,C2:FC:B9:93:BC:D1,947,947,947,3,2020-10-14 06:38:37,2020-10-14 06:40:36,365,b8609c09-6cad-430c-a928-ae7dcfd42582,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-858,10-13-23-34-897,d2d61b04-ab76-481a-afc1-4661189fcaf2,FE:83:55:5E:0F:8D,858,858,858,3,2020-10-14 06:38:44,2020-10-14 06:40:36,858,d2c30240-9591-49f9-9b1b-ac519e1299af,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-991,10-13-23-34-558,c107e030-f55e-44e8-8225-2388f4ac0e6d,9A:3E:90:33:10:08,991,991,991,3,2020-10-14 06:38:48,2020-10-14 06:40:36,991,180b68f0-1a61-4f0e-a82c-0cda388fd07a,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-438,10-13-23-34-252,00db1fa1-bc0d-46a5-b733-f2b161d0990e,4E:4E:0B:1E:0B:C8,823,823,823,3,2020-10-14 06:38:45,2020-10-14 06:40:36,438,03dce89a-29ca-4cef-8565-c3a3f2132c31,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-376,10-13-23-34-283,714a43e0-a372-4854-9480-58aa07482e1e,C6:03:D6:CE:90:81,981,981,981,3,2020-10-14 06:38:37,2020-10-14 06:40:36,376,5be03bc5-0053-48e6-aa5a-57bce3608378,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-292,10-13-23-34-756,e478daa6-906e-49da-9033-1ee91e654626,66:6F:51:3D:55:38,992,992,992,3,2020-10-14 06:38:37,2020-10-14 06:40:36,292,25e8c7c6-8877-4e89-95b6-10e946561e96,1,,-,-,-,Yes,017371402075
out/10-13-23-38/log,10-13-23-38-453,10-13-23-34-773,37c5c855-95e3-462f-98d8-9e3e76def94e,92:23:1B:64:A3:5C,923,923,923,3,2020-10-14 06:38:38,2020-10-14 06:40:36,453,cc9e0b47-3c9a-4d7b-a847-ad47ae9985f6,1,,-,-,-,Yes,017371402075
