Logs,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/09-09-01-47/log,740354f4-4189-4f98-bcb9-2f6f9e7f3c4e,5E:55:E8:1B:8E:C2,121,1,2020-09-09 08:47:35,2020-09-09 08:48:14,65,abe023f2-88e7-483c-acee-68370fde89fa,1,,-,-
out/09-09-01-47/log,f67c4efe-87c7-420e-ab25-90517dd0c6c1,16:42:12:33:A0:FF,725,1,2020-09-09 08:47:35,2020-09-09 08:48:13,32,ac4f8dac-6e61-43cd-8203-7d4c8533b519,1,,-,-
out/09-09-01-47/log,14423906-7571-4f00-8521-ffbdde4c20c6,FA:37:03:D8:62:84,736,1,2020-09-09 08:47:35,2020-09-09 08:48:13,86,e6866f3e-9d03-4323-9cbc-eb44047d17de,1,,-,-
out/09-09-01-47/log,c01330c1-79bf-4244-abc8-2eba22a8a3ac,A6:D0:4B:B9:15:3F,859,1,2020-09-09 08:47:35,2020-09-09 08:48:13,84,5de2553c-cbf4-43be-8611-92c8d995b62c,1,,-,-
out/09-09-01-47/log,b3ea576f-4e7f-45ac-bbf5-3a8fd7bf5eb6,86:A1:85:34:6E:04,130,1,2020-09-09 08:47:35,2020-09-09 08:48:13,62,b7749f0a-ada3-4edb-a6cd-6e9d5ad5e537,1,,-,-
out/09-09-01-47/log,ba657b73-6aab-4300-a472-ddefa10ad603,A2:FB:E9:F3:23:A3,636,1,2020-09-09 08:47:35,2020-09-09 08:48:14,91,5707afea-fb4a-4e9d-921d-5f305c0d61bb,1,,-,-
out/09-09-01-47/log,b4aaa03f-2c0c-493e-adca-0c78ffa9aa09,CE:0A:BE:55:EA:9E,264,1,2020-09-09 08:47:35,2020-09-09 08:48:13,44,29ecd773-af18-4014-a943-5711697a17bf,1,,-,-
out/09-09-01-47/log,6e20e070-301b-489d-996d-89a0f832337b,9A:C1:05:4A:B0:B2,772,1,2020-09-09 08:47:35,2020-09-09 08:48:14,53,22efc9e6-46db-4991-94f9-d2231d2e2885,1,,-,-
out/09-09-01-47/log,5e0d931c-7608-49a4-afab-9211f27dfd49,CA:FF:BD:A9:E0:84,764,1,2020-09-09 08:47:35,2020-09-09 08:48:13,34,ef63a7b4-eb83-410c-ae28-e744b3e22a5f,1,,-,-
out/09-09-01-47/log,3491575f-1f8c-493f-9e56-1ab3e7fac07f,C2:F9:0F:D2:91:00,143,1,2020-09-09 08:47:35,2020-09-09 08:48:14,21,19cd8311-4636-4137-9c30-d4a069a16ad2,1,,-,-
out/09-09-01-47/log,fa147789-f99d-4163-82f4-d5ccee327158,9E:32:4A:7B:06:A6,337,1,2020-09-09 08:47:35,2020-09-09 08:48:13,74,da23b3f1-6e40-4cff-ae29-df988d65b754,1,,-,-
out/09-09-01-47/log,222e51d7-de0e-405b-88cd-188e1b2425e7,8E:E1:84:B5:AD:4A,623,1,2020-09-09 08:47:35,2020-09-09 08:48:13,26,dadeab86-fc93-42e2-bf29-a4eefad48194,1,,-,-
out/09-09-01-47/log,84f57734-150c-45cf-b20f-c87d88cc1446,8E:FF:57:30:D2:CB,325,1,2020-09-09 08:47:35,2020-09-09 08:48:14,51,7da7d2cc-0dab-4dbe-998a-14decafc66d5,1,,-,-
