Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency
1575662228245,2500.0,1e:11:21:4f:cf:e8,90.00B,90.00B,4.698610305786133e-06,4.626655578613281e-06
1575662228206,2500.002,06:f4:72:22:f9:d3,90.00B,90.00B,4.679489135742187e-06,4.996061325073242e-06
1575662228201,2500.002,5e:f4:cf:f1:4c:d0,90.00B,90.00B,4.67681884765625e-06,4.982423782348633e-06
1575662228278,2500.002,02:fc:70:51:b9:41,180.00B,90.00B,4.606771469116211e-06,4.619598388671875e-06
1575662228224,2500.012,8e:c3:46:47:73:b1,90.00B,90.00B,4.5462608337402345e-06,4.6751499176025395e-06
1575662228239,2500.002,32:c3:e4:41:08:09,90.00B,90.00B,4.511594772338867e-06,4.474020004272461e-06
1575662228214,2500.008,fa:14:df:86:0f:3c,90.00B,90.00B,4.657411575317383e-06,4.768133163452148e-06
1575662228253,2500.002,46:d2:c5:28:d0:02,90.00B,90.00B,5.003166198730469e-06,4.85377311706543e-06
1575662228240,2500.008,ea:95:5e:d3:8d:f5,90.00B,90.00B,4.499292373657227e-06,4.368877410888672e-06
1575662228248,2500.002,66:26:53:5c:a4:b9,90.00B,90.00B,6.910228729248047e-06,4.908132553100586e-06
1575662228206,2500.002,12:7a:c9:2f:b2:e4,90.00B,180.00B,4.662990570068359e-06,4.936933517456055e-06
1575662228285,2500.012,86:4f:cc:aa:71:c9,90.00B,90.00B,4.538345336914062e-06,4.495859146118164e-06
1575662228243,2500.0,82:21:a3:63:fb:5e,90.00B,90.00B,4.608440399169922e-06,4.5806884765625e-06
1575662228203,2500.002,c2:04:7c:f9:2c:10,90.00B,90.00B,4.691600799560547e-06,4.980182647705078e-06
1575662228244,2500.006,46:94:f6:c0:29:a2,90.00B,90.00B,4.7090530395507814e-06,4.69818115234375e-06
1575662228278,2500.012,7a:13:04:f6:38:ec,90.00B,90.00B,4.633617401123047e-06,4.65993881225586e-06
1575662228282,2500.012,7e:5e:55:d8:7d:bb,90.00B,90.00B,4.79121208190918e-06,4.7895431518554685e-06
1575662228217,2500.006,f6:0a:de:cf:55:4d,90.00B,90.00B,4.686164855957031e-06,4.954671859741211e-06
1575662228283,2500.01,2a:43:90:25:02:12,90.00B,90.00B,4.560375213623047e-06,4.579353332519531e-06
1575662228224,2500.008,52:83:09:2a:03:e5,90.00B,90.00B,4.6151638031005856e-06,4.8942089080810545e-06
1575662228284,2500.002,de:73:d0:63:af:b1,90.00B,90.00B,4.5720577239990236e-06,4.569625854492187e-06
1575662228277,2500.006,86:57:ef:16:e7:82,90.00B,90.00B,4.693794250488281e-06,4.7174930572509766e-06
1575662228283,2500.0,be:7a:b4:90:54:c0,90.00B,90.00B,4.3697834014892576e-06,4.566669464111328e-06
1575662228283,2500.002,ba:23:6b:43:c9:c4,180.00B,90.00B,4.311752319335938e-06,4.8161029815673825e-06
1575662228213,2500.006,96:e7:9e:74:a0:d7,90.00B,90.00B,4.774713516235351e-06,4.964494705200196e-06
1575662228252,2500.004,1a:80:f4:98:b7:ab,90.00B,90.00B,4.766559600830078e-06,4.858255386352539e-06
1575662228277,2500.006,ae:e0:24:fd:6a:10,90.00B,90.00B,4.850006103515625e-06,4.613208770751953e-06
1575662228247,2500.002,06:20:be:ef:9b:79,90.00B,90.00B,5.000162124633789e-06,5.036020278930664e-06
1575662228283,2500.012,52:4a:4b:23:ac:b2,90.00B,90.00B,4.749870300292969e-06,4.8374176025390625e-06
1575662228279,2500.006,ee:33:74:1d:55:52,90.00B,90.00B,4.7092914581298824e-06,4.628610610961914e-06
