GUID,CPU CPI,MAC Address,Success,Id,Boot ID,End Time,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,Warm Start,Tag
10-16-03-03-2,93.054102,26:1A:A1:69:3C:4D,1,2,1d37a1bd-f44d-47ee-adf5-1eae724d9066,2020-10-16 10:04:10,eff05c36-4b8f-4bd0-b1e0-03ca879ea1ca,2020-10-16 10:03:43,1,3,2,2,2,out/10-16-03-03/log,out/10-16-03-03/base_samples2,,out/10-16-03-03/bit1_samples2,169.254.76.1,out/10-16-03-03/bit0_samples2,0,,0.514070692671772,No,DEFAULT
10-16-03-03-41,95.026464,FA:E3:65:92:6A:EB,1,41,1f3dc651-f8e5-46c4-b20f-236fcbfdb811,2020-10-16 10:04:11,d01b727f-2650-4513-98a2-5e930af4e18e,2020-10-16 10:03:44,1,3,41,41,41,out/10-16-03-03/log,out/10-16-03-03/base_samples41,,out/10-16-03-03/bit1_samples41,169.254.76.1,out/10-16-03-03/bit0_samples41,0,,0.149858229252747,No,DEFAULT
10-16-03-03-38,93.099671,52:8D:35:16:62:3B,1,38,1367f3cc-5498-4358-9af1-d2f99fbd29d2,2020-10-16 10:04:10,f2ed76ab-0384-4e96-8eae-1fd73dffa116,2020-10-16 10:03:43,1,3,38,38,38,out/10-16-03-03/log,out/10-16-03-03/base_samples38,,out/10-16-03-03/bit1_samples38,169.254.76.1,out/10-16-03-03/bit0_samples38,0,,2.02734435009164,No,DEFAULT
10-16-03-03-45,94.496211,B6:75:36:71:CB:6F,1,45,2a9643ec-644a-4eab-b9c2-aaeb11e02961,2020-10-16 10:04:11,bf5ee883-2445-4487-8ed9-e60b7232bbf7,2020-10-16 10:03:44,1,3,45,45,45,out/10-16-03-03/log,out/10-16-03-03/base_samples45,,out/10-16-03-03/bit1_samples45,169.254.76.1,out/10-16-03-03/bit0_samples45,0,,0.233111790151748,No,DEFAULT
10-16-03-03-42,94.534610,EA:D2:A2:C6:CE:4E,1,42,51d519ad-a752-4551-97ed-2d4453fdc681,2020-10-16 10:04:11,9e46d9d4-cc85-47da-8d55-392944dac27b,2020-10-16 10:03:43,1,3,42,42,42,out/10-16-03-03/log,out/10-16-03-03/base_samples42,,out/10-16-03-03/bit1_samples42,169.254.76.1,out/10-16-03-03/bit0_samples42,0,,0.181944703227949,No,DEFAULT
10-16-03-03-4,94.993186,B6:9F:8E:1A:CB:F9,1,4,1c28b672-ffff-4753-bba1-480ce8ba0d5d,2020-10-16 10:04:10,fdd90ea1-75f0-4884-9041-49b1ee0bb72e,2020-10-16 10:03:43,1,3,4,4,4,out/10-16-03-03/log,out/10-16-03-03/base_samples4,,out/10-16-03-03/bit1_samples4,169.254.76.1,out/10-16-03-03/bit0_samples4,0,,0.278330072359227,No,DEFAULT
10-16-03-03-8,93.560776,32:3F:96:C3:54:66,1,8,ce57c15b-8a20-4afc-8def-31ab7933e523,2020-10-16 10:04:11,27b0595c-f25a-4218-b822-114c6dbf687a,2020-10-16 10:03:43,1,3,8,8,8,out/10-16-03-03/log,out/10-16-03-03/base_samples8,10-16-03-02-4,out/10-16-03-03/bit1_samples8,169.254.76.1,out/10-16-03-03/bit0_samples8,0,,0.10911346234572,Yes,DEFAULT
10-16-03-03-6,93.982011,32:05:F1:3F:8A:8C,1,6,41e38224-5e44-4394-8cd2-fc7ae2aeca23,2020-10-16 10:04:11,ad77cf64-71ee-451f-aa9d-615add8793c2,2020-10-16 10:03:43,1,3,6,6,6,out/10-16-03-03/log,out/10-16-03-03/base_samples6,",10-16-03-02-2",out/10-16-03-03/bit1_samples6,169.254.76.1,out/10-16-03-03/bit0_samples6,0,,0.278991527748,Yes,DEFAULT
10-16-03-03-5,95.017391,76:E8:E3:94:4C:D7,1,5,fe039f59-213e-4bf9-868d-fec9e649bb34,2020-10-16 10:04:11,5b0798db-4d7e-4849-ba94-bcab4a3d1998,2020-10-16 10:03:44,1,3,5,5,5,out/10-16-03-03/log,out/10-16-03-03/base_samples5,,out/10-16-03-03/bit1_samples5,169.254.76.1,out/10-16-03-03/bit0_samples5,0,,0.253149379135758,No,DEFAULT
10-16-03-03-23,93.056116,C2:7C:B5:FC:A7:3D,1,23,9c3150da-d094-4ef9-8f36-6aa7bf25d571,2020-10-16 10:04:11,76c20ce1-2544-40f0-85e2-8846e0335d66,2020-10-16 10:03:43,1,3,23,23,23,out/10-16-03-03/log,out/10-16-03-03/base_samples23,10-16-03-02-10,out/10-16-03-03/bit1_samples23,169.254.76.1,out/10-16-03-03/bit0_samples23,0,,0.291962359939501,Yes,DEFAULT
10-16-03-03-32,94.573972,6A:C9:FC:05:2E:CF,1,32,4adafa9f-6726-427d-b403-6253a7e48c50,2020-10-16 10:04:10,f70bbe03-ed08-4437-833c-9b5a8f640d69,2020-10-16 10:03:43,1,3,32,32,32,out/10-16-03-03/log,out/10-16-03-03/base_samples32,,out/10-16-03-03/bit1_samples32,169.254.76.1,out/10-16-03-03/bit0_samples32,0,,0.229109843193399,No,DEFAULT
10-16-03-03-44,93.564385,72:1D:68:D9:E4:1A,1,44,280a8ca9-92f0-4b43-9ece-68b3d2e312be,2020-10-16 10:04:11,63ad6fb7-ea04-448c-8c90-c40bbb200556,2020-10-16 10:03:44,1,3,44,44,44,out/10-16-03-03/log,out/10-16-03-03/base_samples44,,out/10-16-03-03/bit1_samples44,169.254.76.1,out/10-16-03-03/bit0_samples44,0,,0.258567053465247,No,DEFAULT
10-16-03-03-35,92.568000,9E:2F:AC:40:7D:36,1,35,7cb73aae-3218-442d-85e0-04ae7f747f16,2020-10-16 10:04:11,05aaf3a8-3b0f-4367-803d-bae32acffd87,2020-10-16 10:03:44,1,3,35,35,35,out/10-16-03-03/log,out/10-16-03-03/base_samples35,,out/10-16-03-03/bit1_samples35,169.254.76.1,out/10-16-03-03/bit0_samples35,0,,0.715226718644275,No,DEFAULT
10-16-03-03-1,93.087248,B2:B3:A8:87:6B:BD,1,1,1db76891-a0fd-4a8f-8439-6d8ed1681980,2020-10-16 10:04:11,3a59fd2d-75be-4644-ab59-881c4cf43f31,2020-10-16 10:03:44,1,3,1,1,1,out/10-16-03-03/log,out/10-16-03-03/base_samples1,,out/10-16-03-03/bit1_samples1,169.254.76.1,out/10-16-03-03/bit0_samples1,0,,0.162287436085372,No,DEFAULT
10-16-03-03-3,93.562259,F2:7C:CA:47:FE:88,1,3,7c688942-1225-4702-8cef-321d57018ad6,2020-10-16 10:04:11,b0506509-b21c-4be8-81db-433b73b2e56b,2020-10-16 10:03:43,1,3,3,3,3,out/10-16-03-03/log,out/10-16-03-03/base_samples3,10-16-03-02-8,out/10-16-03-03/bit1_samples3,169.254.76.1,out/10-16-03-03/bit0_samples3,0,,1.2081581344754,Yes,DEFAULT
10-16-03-03-39,94.033044,C6:17:E6:FF:7D:5B,1,39,bb459199-038b-4097-ab81-180268a0c276,2020-10-16 10:04:11,ba5eb560-1237-4b88-bfa5-58a1add2f011,2020-10-16 10:03:43,1,3,39,39,39,out/10-16-03-03/log,out/10-16-03-03/base_samples39,,out/10-16-03-03/bit1_samples39,169.254.76.1,out/10-16-03-03/bit0_samples39,0,,0.451624571022583,No,DEFAULT
10-16-03-03-25,94.582445,4E:72:F3:61:5F:88,1,25,5a77d022-4485-4c33-90e1-5dc3b5c771c3,2020-10-16 10:04:11,e73431d3-d235-4136-8d62-840d3efae47f,2020-10-16 10:03:43,1,3,25,25,25,out/10-16-03-03/log,out/10-16-03-03/base_samples25,,out/10-16-03-03/bit1_samples25,169.254.76.1,out/10-16-03-03/bit0_samples25,0,,0.132314995465201,No,DEFAULT
10-16-03-03-34,95.025001,26:2C:6D:DC:55:D6,1,34,375201b3-3b46-485d-abc1-e1fe928f9359,2020-10-16 10:04:10,50658614-3f34-46fd-89c5-4910273eca16,2020-10-16 10:03:43,1,3,34,34,34,out/10-16-03-03/log,out/10-16-03-03/base_samples34,,out/10-16-03-03/bit1_samples34,169.254.76.1,out/10-16-03-03/bit0_samples34,0,,0.412866562585411,No,DEFAULT
10-16-03-03-13,93.519260,2A:C4:55:C7:66:1E,1,13,b93e1634-06a1-4e72-928e-c5d4f9c8a5e1,2020-10-16 10:04:11,0b3b801d-2fb5-4517-8b11-a5f6f7d2dbc4,2020-10-16 10:03:43,1,3,13,13,13,out/10-16-03-03/log,out/10-16-03-03/base_samples13,,out/10-16-03-03/bit1_samples13,169.254.76.1,out/10-16-03-03/bit0_samples13,0,,0.292924957324891,No,DEFAULT
10-16-03-03-16,93.069394,BE:25:F9:4B:85:B2,1,16,1dcb736c-23a5-448d-a937-54e7625247fd,2020-10-16 10:04:11,15cdec4f-24a0-4854-ba69-86f08a24298f,2020-10-16 10:03:43,1,3,16,16,16,out/10-16-03-03/log,out/10-16-03-03/base_samples16,10-16-03-02-1,out/10-16-03-03/bit1_samples16,169.254.76.1,out/10-16-03-03/bit0_samples16,0,,0.202120008417988,Yes,DEFAULT
